verdict	name	region	city	url	note
STRIKING_ONLY	Ringtime Fitness	CA	Santa Rosa	https://ringtimefitness.com/	Boxing only; schedule and programs list no grappling
DEAD	Roanoke Judo & Jiu Jitsu Club	VA	Vinton	https://instagram.com/roanokejudoandjiujitsu	Instagram: page isn't available, account removed
DEAD	Roanoke Jujutsu Club	VA	Salem	https://www.facebook.com/roanokejujutsu/	Facebook: content isn't available, page deleted
HIJACK	Rocket City MMA	AL	Huntsville	https://rocketcitymma.com/	Deterministic redirect to 310restaurant.com Indonesian gambling MDG188
DEAD	Rodriguez Brazilian Jiu Jitsu	IL	Peru	https://drodriguezbjj.business.site/	Google 404: requested URL not found
DEAD	Rogue 22 BJJ	LA	Bossier City	https://bookeo.com/rogue22bjj	Bookeo booking page 404, not found
DEAD	Rogue Jiu Jitsu Studio	TX	Grapevine	https://www.roguebjj.com	Wix: domain isn't connected to a site
OK	RuFFhouse MMA & Fitness	TX	Odessa	https://m.facebook.com/ruffhousemma/	1617 E. 8th, Odessa 79761; kids/adult BJJ
REPOINT	START Jiu Jitsu Academy	FL	Miramar	https://startjiujitsu.com/facilities-pembroke-pines/	Root works: https://startjiujitsu.com/ Pembroke Pines BJJ
DEAD	San Pedro Fight Club/ Ribeiro Jiu-Jitsu San Pedro	CA	San Pedro	https://www.facebook.com/ribeirojjsanpedro/	Facebook: content isn't available, page deleted
DEAD	Sardinha BJJ Cape Cod	MA	Dennis	https://www.sardinhabjjcapecod.com	Wix: domain isn't connected to a site
STRIKING_ONLY	School of Combative Arts	OH	Cincinnati	https://www.schoolcombativearts.com/schedule-a-class	Arts page: Muay Thai, Silat, Kali only
REPOINT	Sheridan Brazillian Jiu Jitsu	NJ	Vauxhall	https://www.sheridanbjj.com/home-adult-jiu-jitsu	Root works: https://www.sheridanbjj.com/ Vauxhall BJJ
OK	Silva BJJ Cajon CA (Aloisio Silva Associated Academy)	CA	El Cajon	https://silvabjjacademy.com/	Live BJJ/NoGi/Judo schedule; no street address shown
