date	verdict	name	region	city	url	note	slice
2026-08-20	PARKED	Murdoc’s Brazilian Jiu-Jitsu (MWBJJ) & Self Defense Academy (GD JJ Affiliate)	AZ	Gilbert	https://www.murdocsbjj.com/	Redirects to /lander - empty title, zero body text, zero links on 2 separate loads (www + apex). Classic parked lander. NOTE: record name uses a CURLY apostrophe - any blanking row must match it exactly.	00
2026-08-20	DEAD	Gracie Barra Boise	ID	Garden City	https://gbboise.com/	https fails ERR_SSL_VERSION_OR_CIPHER_MISMATCH on apex and www; http redirects to graciebarra.com/boise-id/ which returns WordPress 'This site has been archived or suspended.'	00
2026-08-20	DEAD	Jit Pit Academy	CO	Parker	https://jitpit.com/	https load errors out (no document); http lands on /cgi-sys/defaultwebpage.cgi cPanel 'Default Web Site Page' placeholder.	00
2026-08-20	DEAD	Austin Jiu-Jitsu	TX	Austin	http://austinjiujitsu.com/ajj/	Deep path returns '404 - Not found'; ROOT ALSO CHECKED and also returns 404, so no repoint is available.	00
2026-08-20	DEAD	Ottumwa BJJ	IA	Ottumwa	https://ottumwabjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
2026-08-20	DEAD	Galesburg BJJ	IL	Galesburg	https://galesburgbjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
2026-08-20	DEAD	Springfield BJJ Illinois	IL	Springfield	https://springfieldbjjil.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www, http and https.	00
2026-08-20	DEAD	Flin Flon BJJ	MB	Flin Flon	https://flinflobbjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www. (Domain is also spelled 'flinflob' not 'flinflon' - possible typo at source.)	00
2026-08-20	DEAD	Mankato BJJ	MN	Mankato	https://mankatobjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www. NOTE: Kato Jiujitsu (also Mankato MN, katojiujitsu.com) is alive - possible duplicate of the same school.	00
2026-08-20	DEAD	Laconia BJJ	NH	Laconia	https://laconiabjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
2026-08-20	DEAD	Alliance Jiu Jitsu Pittsburgh	PA	Pittsburgh	https://alliancejiujitsupittsburgh.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
2026-08-20	DEAD	Saguenay BJJ	QC	Saguenay	https://saguenaybjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
2026-08-20	DEAD	Alliance BJJ Spokane	WA	Spokane	https://alliancebjjspokane.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
2026-08-20	DEAD	Janesville BJJ	WI	Janesville	https://janesvillebjj.com	DNS_PROBE_FINISHED_NXDOMAIN on apex and www.	00
