id	region	name	city	current_url
8	AZ	Checkmat Phoenix	Phoenix	https://mkbjj.com/
16	CA	Brazilian Jiu Jitsu Academy of Sacramento	Gold River	http://elementsofjiujitsu.com/
24	CA	Institute of Combat	Arcata	https://www.instituteofcombat.com/
32	CA	Synergy Jiu-Jitsu Academy	Rocklin	http://www.bjj-rocklin.com/
40	CT	Hartford Dojo	Wethersfield	http://gracieacademy.com/
48	FL	Central Florida BJJ	Orlando	https://offers.avbjj.com/free-2-week-pass
56	FL	Rilion Gracie Jiu-Jitsu Panama City	Panama City	http://jiujitsulynnhaven.com/
64	GA	American Top Team Valdosta	Valdosta	http://att229.com/
72	GA	Liberty Jiu-Jitsu Grovetown	Grovetown	http://libertybjj.community/
80	IN	Muncie Brazilian Jiu-Jitsu	Muncie	munciebjj.com
88	MA	Fighting Arts Academy	Springfield	fightingartsacademy.com
96	MI	Gracie Barra Livonia	Livonia	http://graciebarralivonia.com/
104	MO	K2L Martial Arts	Lee's Summit	http://www.kids2leaders.com/
112	NC	Saunders Brazilian Jiu-Jitsu	Durham	http://www.saundersbjj.com/
120	NJ	Unity Jiu Jitsu New Jersey	Clifton	http://unitybjjnj.com
128	NV	Kifaru Jitsu Academy of Martial Arts	North Las Vegas	http://www.kifarujitsu.com
136	NY	Brandon Abdullah's Martial Arts and Fitness	Albany	https://www.albanybjj.com/
144	NY	Gracie Barra North Babylon	North Babylon	https://gbnorthbabylon.com
152	NY	Utica Combat Athletics	Utica	http://www.uticacombat.com
160	ON	Yorkdale Martial Arts	Toronto	https://yorkdalemartialarts.com
168	TX	Advantage BJJ Martial Arts & Fitness	Houston	https://advantagebjj.com/
176	TX	Semper Fortis	San Antonio	https://www.brazil021sanantonio.com
184	WA	Brazilian Jiu-Jitsu Academy of Tacoma (Marcello C. Monteiro)	Tacoma	www.253bjj.com
