id	region	name	city	current_url
4	AZ	Baker's MMA & Fitness LLC	Surprise	http://bakersmmaandfitness.com/
12	AZ	TeckHit Boxing, Kickboxing, & MMA Gym	Tucson	https://teckhit.com/
20	CA	Fabio Santos BJJ	San Diego	http://www.fabiojiujitsu.com/
28	CA	Phenom Brazilian Jiu Jitsu	Irvine	http://phenombjjoc.com/
36	CO	Mountain Beast MMA & Fitness	Granby	http://www.mountainbeast.com
44	CT	Strikezone MMA	New London	http://www.strikezonemma.com/
52	FL	Kokopelli's Gym	Longwood	http://www.kokogym.com/
60	FL	Team Nogueira Bloise Academy	Jupiter	http://www.teamnog.com/
68	GA	Coastal Combatives	Pooler	http://www.coastalcombatives.com/
76	IL	Alton Family Martial Arts & Fitness	Alton	https://www.altonfma.com/
84	LA	NOLA BJJ Westbank	New Orleans	http://westbanksocialclub.com/
92	MD	Infinite Fighting Concepts MMA	Gaithersburg	ifcmma.com
100	MI	New Way Martial Arts Academy	Shelby Charter Township	http://newwaymartialarts.com
108	NB	Evolution Training Centre	Fredericton	https://www.evolutiontrainingcenter.ca
116	NJ	Martial Way MMA	Newton	https://martialwaymma.com/
124	NV	Asylum Fight Team	Las Vegas	http://www.asylumfightteam.com
132	NV	Team Reno	Reno	https://www.momentumreno.com/brazilian-jiu-jitsu
140	NY	Curtis Tillman's Mixed Martial Arts Academy	Cicero	http://tillman-mma.com
148	NY	Kfm Martial Arts & Fitness Academy	Lynbrook	http://www.kfmnewyork.com
156	OH	Rising Dragon Mixed Martial Arts & Fitness	Bedford Heights	http://risingdragonmma.com/
164	PA	Kozma Brazilian Jiu-Jitsu	Huntingdon Valley	http://www.kozmabjj.com
172	TX	Gracie Gym Richardson / Brazilian Jiu-Jitsu	Richardson	http://graciegymrichardson.com/
180	VA	Gustavo Machado Norfolk	Norfolk	http://www.gustavomachadonorfolk.com
