id	region	name	city	current_url
7	AZ	Cannon Brazilian Jiu-Jitsu	Glendale	https://www.cannonbjj.net/
15	CA	Atos BJJ San Diego	San Diego	https://atosjiujitsu.com
23	CA	Infinite Jiu-Jitsu	Rocklin	http://www.infinitejiujitsu.net/
31	CA	Salinas Jiu Jitsu & Personal Training	Salinas	http://www.salinasbjj.com/
39	CT	Casa of Jiu Jitsu	Ansonia	http://www.casabjj.com/
47	FL	Black House Miami Beach	Miami Beach	http://www.blackhousemiamibeach.com
55	FL	Refit Academy - Wynwood	Miami	http://www.refit-academy.com
63	GA	AllAmbition Brazilian Jiu Jitsu	Cartersville	http://allambitionbjj.com/
71	GA	KBX Gym	Alpharetta	http://www.kbxgym.com/
79	IN	Indiana Brazilian Jiu-Jitsu Academy	Greenwood	https://ibjja.com
87	MA	Dragon Within Mixed Martial Arts	Salem	dragonwithinmartialarts.com
95	MI	East Lansing Underground Martial Arts	East Lansing	http://www.elunderground.com/
103	MO	Gracie Humaita Columbia	Columbia	https://graciehumaitacolumbia.com
111	NC	Chuva Brazilian Jiu Jitsu	Clayton	http://chuvabjj.com/
119	NJ	The Shark Tank BJJ	Vineland	http://sharktankbjj.com/
127	NV	Jiu-Jitsu Methods	Las Vegas	http://jiujitsumethods.com
135	NY	American Academy Of Self Defense	Deer Park	http://www.aaofsd.com
143	NY	Fight-Sport Training Center	Niagara Falls	https://www.fightsporttrainingcenter.com/
151	NY	Touro Fajardo Brazilian Jiu Jitsu	Queens	https://www.tourofajardobrazilianjiujitsu.com
159	OK	Relentless Martial Arts	Tulsa	relentlessmartialarts.com
167	TX	ACS Mixed Martial Arts	La Marque	http://acsmmatx.com/
175	TX	Marcos Santos Academy	Fort Worth	http://fwbjj.com/
183	VT	Northeast Kingdom BJJ	St. Johnsbury	https://nekbjj.com
