verdict	id	region	name	city	current_url	replacement_url	action	evidence	source_url
DEAD	5	AZ	Black Flag Submission Co.	Glendale	https://www.blackflagsubco.com/		BLANK_IT	DNS NXDOMAIN (Status 3) on both blackflagsubco.com and www.blackflagsubco.com	
DEAD	13	AZ	The Desert Dojo	Chandler	https://thedesertdojo.com/		BLANK_IT	Cloudflare nameservers delegated but no A record at apex (Status 0, no Answer array); www.thedesertdojo.com is NXDOMAIN	
KEEP	21	CA	Global Fighting Legion / Jiu-Jitsu Chula Vista CA 91914	Chula Vista	https://theinstituteofhealthandfitness.com/Home		KEEP_AS_IS	Page renders "The Institute Of Health And Fitness / Global Figthing Legion, 871 Harold Place, Suite 106, Chula Vista, CA 91914, (619) 651-1862"; group class list names "Brazilian Jiu Jitsu" and an MMA program	https://theinstituteofhealthandfitness.com/Home
KEEP	29	CA	Ralph Gracie Vacaville	Vacaville	http://ralphgracievacaville.com/		KEEP_AS_IS	Homepage renders Ralph Gracie BJJ content: "The Vacaville Academy is dedicated to developing the Jiu-Jitsu lifestyle for all ages and abilities" (no street address published on the page)	http://ralphgracievacaville.com/
DEAD	37	CO	Northern Colorado Jiu Jitsu	Loveland	http://www.nocojiujitsu.com		BLANK_IT	DNS REFUSED (Status 2, lame delegation at nocojiujitsu.com) for both apex and www	
KEEP	45	CT	Thunder Martial Arts Academy	Watertown	http://teamthundermma.net/		KEEP_AS_IS	Contact page: "30 Echo Lake Road Watertown, CT 06795, Phone: (203) 909-6464"; instructor page names BJJ blue belts and a Combat Sambo world champion who "traveled 5,000 plus miles to Thunder Martial Arts"	http://www.teamthundermma.net/contact-us.html
KEEP	53	FL	Ludus Martial Arts LLC	Jacksonville Beach	http://ludusmartialarts.com/	https://www.ludusmartialarts.com/	REPLACE	Apex serves an empty body on http and https; www renders. www footer: "730 Beach Blvd, Unit 105, Jacksonville Beach, FL 32250, (904) 374-4186"; classes page names standalone "Brazilian Jiu Jitsu" and "Wrestling" classes	https://www.ludusmartialarts.com/classes-and-calendar/
NEEDS_BROWSER	61	FL	The Jupiter Jiu Jitsu Academy in Jupiter Fl	Jupiter	http://www.jupiterjiujitsu.com/		NEEDS_BROWSER	Host resolves (192.185.4.149, cPanel shared host) but every fetch of apex and www, http and https, and /index.php returned an empty body - no content readable, so death cannot be confirmed	
KEEP	69	GA	Fusion MMA	Marietta	http://fusionfitnessandmma.com/		KEEP_AS_IS	Homepage: "Fusion is a complete training facility located in Marietta, Georgia"; owner named as Brian Hill. Program list on their own page names Adult MMA, Youth/Mighty MMA and "Adult MMA Striking and Conditioning" but no standalone grappling class; third-party listings (yellowpages, hub.biz) list "Grappling" and the address 1075 Whitlock Ave SW Ste E - that address is NOT on the school's own page	http://fusionfitnessandmma.com/
NEEDS_BROWSER	77	IL	Mequinho Jiu Jitsu	Lisle	http://www.downersgrovejiujitsu.com		NEEDS_BROWSER	Host resolves (216.40.34.41, Tucows) but apex and www on both schemes returned an empty body every time - nothing readable. Third-party listings (Yelp, matmade) still name downersgrovejiujitsu.com for Mequinho at 5800 Forest View Rd, Lisle IL	
KEEP	85	MA	Brazilian Top Team Boston	Everett	bttboston.com		KEEP_AS_IS	Contacts section: "305 Broadway Everett, MA 02149" and "(617) 389-7973"; BJJ gi/no-gi programs and instructors Joao Amaral and Daniel Gazzoni named. (Stale meta description still references Boca Raton, but all page content is Everett/Boston.)	https://bttboston.com/
DEAD	93	MD	New Wave Martial Arts Perry Hall	Nottingham	newwavema.com		BLANK_IT	GoDaddy nameservers delegated but no A record at apex (Status 0, no Answer array); www.newwavema.com is only a CNAME back to the apex, so it resolves to nothing	
NOT_GRAPPLING	101	MI	REAL WORLD MMA & Fitness	Fowlerville	http://independentmartialarts.us/		BLANK_IT	Site is Noonan Independent Martial Arts operating inside Real World MMA, downtown Fowlerville MI, 517-861-7648. Its own Programs page lists only: Yoga Martial Fitness (Madjapahit Silat), Bruce Lee Jun Fan Gung Fu / Jeet Kune Do Concepts, Rapid Assault Tactics, and Filipino Martial Arts (Kali/Eskrima, weapons emphasis). No BJJ, judo, wrestling or submission grappling class is offered	http://independentmartialarts.us/page/programs
