id	region	name	city	current_url
2	AL	Samuel Puccio Brazilian Jiu-Jitsu	Birmingham	https://bhmbjj.com/
10	AZ	Lopez Martial Arts	Chandler	https://lopezjiujitsu.com/
18	CA	Catch MMA	Oakland	https://www.catchmma.com/
26	CA	Marcelo Garcia Academy LA	Los Angeles	https://marcelogarciaacademy.com/la
34	CO	Golden Fights MMA Gym	Grand Junction	https://cagewarsnow.com
42	CT	Royce Gracie Brazilian Jiu Jitsu	West Hartford	http://gracie-jiu-jitsu.com/
50	FL	GB Lake Park	West Palm Beach	https://lp.gblakepark.com/
58	FL	Team Carvalho Treasure Coast	Fort Pierce	http://www.teamcarvalho.com/
66	GA	Black Sheep MMA	Leesburg	http://www.blacksheep-mma.com/
74	GA	Tonchu Martial Arts Academy	Smyrna	http://www.tonchumartialarts.com/
82	KY	Hidden Samurai Martial Arts	Owensboro	https://www.hiddensamurai.cmasdirect.com
90	MA	Terrinha Draculino BJJ Team	Hopkinton	tdtbjj.com
98	MI	Master Gauss Martial Arts Center	Westland	http://www.gaussmartialarts.com/
106	MO	St. Charles MMA and BJJ	St Charles	http://www.stcharlesmma.com/
114	NJ	Kombat Brazilian Jiu-Jitsu	Clark	https://www.kombatbjj.com/
122	NL	Velocity Martial Arts Academy	Clarenville	https://www.velocitynl.com
130	NV	Ronin Jiu-Jitsu North Las Vegas	North Las Vegas	http://www.roninbjj.org
138	NY	Bwarrior MMA	New York	http://bwarrior.com
146	NY	International Training Center of New York	Long Island City	https://www.itcny.com/
154	NY	Westchester Mixed Martial Arts & Fitness	Mount Kisco	http://www.westchestermmafit.com
162	OR	White Panther Tae Kwon Do Boxing and Filipino Martial Arts	Astoria	http://www.whitepantherastoria.com/
170	TX	Austin Martial Arts Academy	Austin	http://www.austinmartialarts.com/
178	VA	DCB MMA & Athletic Training	Fredericksburg	http://www.dcbmma.com/
