id	region	name	city	current_url
5	AZ	Black Flag Submission Co.	Glendale	https://www.blackflagsubco.com/
13	AZ	The Desert Dojo	Chandler	https://thedesertdojo.com/
21	CA	Global Fighting Legion / Jiu-Jitsu Chula Vista CA 91914	Chula Vista	https://theinstituteofhealthandfitness.com/Home
29	CA	Ralph Gracie Vacaville	Vacaville	http://ralphgracievacaville.com/
37	CO	Northern Colorado Jiu Jitsu	Loveland	http://www.nocojiujitsu.com
45	CT	Thunder Martial Arts Academy	Watertown	http://teamthundermma.net/
53	FL	Ludus Martial Arts LLC	Jacksonville Beach	http://ludusmartialarts.com/
61	FL	The Jupiter Jiu Jitsu Academy in Jupiter Fl	Jupiter	http://www.jupiterjiujitsu.com/
69	GA	Fusion MMA	Marietta	http://fusionfitnessandmma.com/
77	IL	Mequinho Jiu Jitsu	Lisle	http://www.downersgrovejiujitsu.com
85	MA	Brazilian Top Team Boston	Everett	bttboston.com
93	MD	New Wave Martial Arts Perry Hall	Nottingham	newwavema.com
101	MI	REAL WORLD MMA & Fitness	Fowlerville	http://independentmartialarts.us/
109	NC	Atos Jiu Jitsu of Charlotte	Charlotte	http://martialartscharlottenc.com/
117	NJ	Notorious Mixed Martial Arts	East Rutherford	http://www.notoriousbjj.com/
125	NV	Atos Jiu Jitsu Las Vegas	Las Vegas	http://www.atosjiujitsulv.com
133	NY	10th Planet Rochester	Rochester	http://www.10thplanetjiujitsurochester.com
141	NY	D'Arce Brazilian Jiu-Jitsu	Patchogue	http://www.darcejiujitsu.com
149	NY	Longo and Weidman MMA	Garden City	http://lawmma.com
157	OH	Team Chard BJJ	Walton Hills	http://ohiobjjc.com/
165	PE	Souris Brazilian Jiu-Jitsu	Souris	https://sourisbjj.com
173	TX	Harlingen Jiu-Jitsu Club	Harlingen	http://www.harlingenjjc.com/
181	VA	Hybrid Martial Arts Center	Roanoke	http://www.hybridroanoke.com/
