verdict	id	region	name	city	current_url	replacement_url	action	evidence	source_url
DEAD	7	AZ	Cannon Brazilian Jiu-Jitsu	Glendale	https://www.cannonbjj.net/		BLANK_IT	NXDOMAIN (DNS Status 3) on both cannonbjj.net and www.cannonbjj.net
UNRESOLVED	15	CA	Atos BJJ San Diego	San Diego	https://atosjiujitsu.com	https://atosjiujitsuhq.com/	REPLACE	atosjiujitsu.com resolves (AWS 3.33.251.168/15.197.225.128) but returns an empty body on http and https, apex and www - no readable content, and it is not the academy's own domain. The academy's own site atosjiujitsuhq.com renders: 4810 Mercury St. San Diego, CA 92111, (858) 292-5040, Adult/Women's/Kids Jiu-Jitsu classes	https://atosjiujitsuhq.com/contact-us/
KEEP	23	CA	Infinite Jiu-Jitsu	Rocklin	http://www.infinitejiujitsu.net/		KEEP_AS_IS	Site's own page: 6508 Lonetree Blvd 106 Rocklin CA 95765; Gi Classes and No-Gi Classes named	http://www.infinitejiujitsu.net/
KEEP	31	CA	Salinas Jiu Jitsu & Personal Training	Salinas	http://www.salinasbjj.com/		KEEP_AS_IS	Site's own footer: 1903 Natividad Road, Salinas, CA 93906, 831-262-8159; "jiu jitsu training for kids/adults"	http://www.salinasbjj.com/
KEEP	39	CT	Casa of Jiu Jitsu	Ansonia	http://www.casabjj.com/		KEEP_AS_IS	Site is live and is the right school. NOTE: the homepage body would not render to web_fetch (empty on http/https, apex/www), but the site's own schedule page reads "Classes at Casa of Jiu Jitsu are conducted in both Gi and No Gi in all ages and gender" plus Fundamentals/Competition/Kids BJJ class descriptions. No street address is printed on that page; third-party listings disagree (Yelp 301 Main St vs another listing 240 Main St) so I did not record one	http://www.casabjj.com/schedule-3
KEEP	47	FL	Black House Miami Beach	Miami Beach	http://www.blackhousemiamibeach.com	https://blackhousemiamibeach.com/	REPLACE	Host/scheme normalisation: stored http://www host returns an empty body; https://blackhousemiamibeach.com/ renders the real gym - "Black House Miami Beach", offers Brazilian Jiu-Jitsu and Youth Brazilian Jiu-Jitsu, BJJ Head Coach William Abreu. No street address is printed on the homepage; entity matched on business name + BJJ head coach only	https://blackhousemiamibeach.com/
DEAD	55	FL	Refit Academy - Wynwood	Miami	http://www.refit-academy.com		BLANK_IT	Apex refit-academy.com returns DNS Status 0 with no Answer and no A records (Cloudflare SOA only); www.refit-academy.com is NXDOMAIN
KEEP	63	GA	AllAmbition Brazilian Jiu Jitsu	Cartersville	http://allambitionbjj.com/		KEEP_AS_IS	Site's own page: 121 E Felton St, Cartersville, Ga 30120, text 704-363-9368; "ALL AMBITION / Brazilian Jiu Jitsu"	http://allambitionbjj.com/
KEEP	71	GA	KBX Gym	Alpharetta	http://www.kbxgym.com/		KEEP_AS_IS	Site's own page: 795 Union Hill Road, Alpharetta, GA 30004; "Brazilian Jiu Jitsu / MMA classes" taught by Freddy Assuncao, Mon-Thu 6-8PM	http://www.kbxgym.com/
KEEP	79	IN	Indiana Brazilian Jiu-Jitsu Academy	Greenwood	https://ibjja.com		KEEP_AS_IS	Site's own page: 647 U.S. 31 N, Greenwood, IN 46142, (317) 961-6565; Brazilian Jiu-Jitsu and Judo named as programs	https://ibjja.com/
KEEP	87	MA	Dragon Within Mixed Martial Arts	Salem	dragonwithinmartialarts.com	https://www.dragonwithinmartialarts.com/	REPLACE	Host/scheme normalisation: apex and http://www return empty bodies; only https://www renders. That page is the real school - "DWMMA, Inc - 11 Franklin St. Salem MA 01970", (978) 745-8511, head instructor Dennis Cregier, named Brazilian Jiu-Jitsu program. (Third-party listings show 41 Mason St; I used the site's own address)	https://www.dragonwithinmartialarts.com/
