id	region	name	city	current_url
3	AZ	Alliance Jiu Jitsu - Vail	Tucson	https://alliancejiujitsuvail.com/
11	AZ	Southwest MMA	Mesa	http://southwestmma.com/
19	CA	Eric Nolan’s Xtreme Training Center	Bakersfield	http://www.ericnolan.com/
27	CA	OC Carlson Gracie Jiu Jitsu	Orange	https://www.carlsongracieoc.com/
35	CO	Jit Pit Academy	Parker	http://www.jitpit.com
43	CT	Stamford Judo	Stamford	http://www.stamfordjudo.us/
51	FL	Gamblers Jiu-Jitsu & Kickboxing Club	Palm Beach Gardens	http://gamblersjiujitsuclub.com/sign-up-for-free-trial/
59	FL	Team Nogueira	West Palm Beach	http://www.teamnog.com/
67	GA	Champions Training Center	Savannah	http://www.ctcsavannah.com
75	GA	Veritas Brazilian Jiu-Jitsu - Kuzushi Club Dalton	Dalton	http://veritasbjj.com/
83	LA	Gladiators Academy of Breaux Bridge	Breaux Bridge	http://www.gladiatorsbb.com/
91	MA	Thurston Academy (NEU BJJ affiliate)	Kingston	thurstonacademy.com
99	MI	Michigan Sports Camps	Coldwater	https://www.ttsfitness.com/
107	MO	Sullivan Athletic Club	Sullivan	http://www.sullivanathleticclub.net/
115	NJ	Legion Mixed Martial Arts	Vineland	http://legionmixedmartialarts.com/
123	NV	American Top Team Nevada	Henderson	http://www.attnevada.com
131	NV	Summerlin BJJ	Las Vegas	https://summerlinbjj.com
139	NY	Crossfit 585 BJJ	Rochester	http://www.crossfit585bjj.com/home
147	NY	JG Monster Jiujitsu Fitness	Brooklyn	http://www.jgmonsterjiujitsufitness.com
155	NY	Yojimbo BJJ	New York	http://www.yojimbonyc.com
163	PA	Ephrata Martial Arts	Ephrata	https://www.ephratamartialarts.com/
171	TX	Genesis Jiu Jitsu	River Oaks	http://www.genesisjiujitsu.com
179	VA	Gustavo Machado Brazilian Jiu Jitsu Chesapeake	Chesapeake	https://www.gmbjjchesapeake.com
