verdict	id	region	name	city	current_url	replacement_url	action	evidence	source_url
NEEDS_BROWSER	1	AK	Evolution Jiu Jitsu	Juneau	https://evojj.com/		NEEDS_BROWSER	DNS alive (A 173.236.252.74, apex and www); web_fetch returns empty body on /, /about, /contact, /schedule (http and https) - JS-rendered or bot-blocked, not evidence of death	https://evojj.com/
DEAD	9	AZ	Courage Honor Strength Brazilian Jiu-Jitsu	Chandler	http://www.chsbjj.com/		BLANK_IT	NXDOMAIN (Status 3) on both chsbjj.com and www.chsbjj.com	https://dns.google/resolve?name=chsbjj.com&type=A
KEEP	17	CA	Bruno Lima Brazilian Jiu Jitsu	Chico	http://www.brunolimabjj.com/		KEEP_AS_IS	Home page serves the school's own BJJ copy: "family-oriented community of Chico locals and college students that belong to our team" - matches name and city; no street address rendered (sub-pages return empty body)	http://www.brunolimabjj.com/
PARKED	25	CA	Madera Martial Arts	Madera	http://maderamma.com/		BLANK_IT	Redirects to www.maderamma.com serving a Namecheap parking page: "has been recently registered with namecheap.com" plus domain-auction ads	http://maderamma.com/
NEEDS_BROWSER	33	CO	Combative Fighting Systems Brazilian Jiu Jitsu	Peyton	https://cfsfalcon.com		NEEDS_BROWSER	DNS alive (A 151.101.2.159, Fastly-fronted); web_fetch returns empty body on /, /about, /classes, /index.html (http and https) - cannot read landing page without a browser	https://cfsfalcon.com
DEAD	41	CT	Ronin Martial Arts - Westport	Norwalk	https://www.westportmma.com/		BLANK_IT	Authoritative nameservers REFUSED (Status 2, lame delegation) for both westportmma.com and www.westportmma.com	https://dns.google/resolve?name=westportmma.com&type=A
KEEP	49	FL	Fight Sports Miami	Miami	https://fightsportsmiami.com/		KEEP_AS_IS	339 NE 61st St, Miami FL 33137; +1 (786) 290 6875; weekly schedule lists All Levels BJJ, Fundamentals BJJ, Judo and No-Gi classes	https://fightsportsmiami.com/schedule/
KEEP	57	FL	Team Carvalho Academy	Dunnellon	http://www.teamcarvalho.com/home.html		KEEP_AS_IS	20545 SW 5th Place, Dunnellon, FL 34431; phone (844) JUDO-BJJ; site is Team Carvalho Judo & Brazilian Jiu-Jitsu Academy with a Dunnellon dojo schedule page	http://www.teamcarvalho.com/home.html
KEEP	65	GA	Athens Fitness and MMA	Athens	http://www.athensfitnessandmma.com/	https://sbgathens.com/	REPLACE	Old domain 301s to the school's current site SBG Athens: 240 Collins Industrial Blvd Suite G, Athens GA 30601, 706-850-8444; named Brazilian Jiu-Jitsu, Kids Jiu Jitsu and MMA class pages. Redirect works, but the canonical URL is cleaner	http://www.athensfitnessandmma.com/
KEEP	73	GA	Nucleus Brazilian Jiu Jitsu	Norcross	https://nucleusbjj.com		KEEP_AS_IS	3030 Business Park Drive Unit G, Norcross, GA 30071; "specializes in Brazilian Jiu Jitsu and submission grappling"; https root returns empty but http://nucleusbjj.com serves the site	http://nucleusbjj.com
KEEP	81	KY	Hicsmma	Bowling Green	https://www.hicsmma.com/		KEEP_AS_IS	150 Dishman Ln. Bldg. D, Bowling Green, KY 42101; phone 270.996.1092 (Donny Wallace); HICSMMA offers Judo and Brazilian Jiu-Jitsu instruction	http://hicsmma.com
DEAD	89	MA	Nexus Martial Arts & Fitness	Wareham	nexusma.com		BLANK_IT	Status 0 but no A record (SOA-only response) for both nexusma.com and www.nexusma.com	https://dns.google/resolve?name=nexusma.com&type=A
KEEP	97	MI	Gracie Jiu-Jitsu Keego Harbor	Keego Harbor	http://www.graciejiujitsumichigan.com		KEEP_AS_IS	2965 Orchard Lake Road, Suite 4, Keego Harbor, MI 48320; named Gracie Combatives and Master Cycle class times posted	http://www.graciejiujitsumichigan.com
KEEP	105	MO	Kifaru Jitsu Martial Arts	Salem	http://www.kifarujitsu.com/		KEEP_AS_IS	Site is "Kifaru Jitsu Academy of Martial Arts" - exact name match, live at the apex (www CNAMEs to it). Page describes Soke Dr. Stanford McNeal Sr. with Judo and Jujitsu ranks; no street address and no named grappling class rendered on the page I read, so grappling scope is implied rather than confirmed	https://kifarujitsu.com/
WRONG_ENTITY	113	NJ	Guerrero BJJ & MMA	Caldwell	http://kneeonbelly.com/		BLANK_IT	Domain now redirects to njkick.com = "No Limit Martial Arts", 1001 Pleasant Valley Way, West Orange NJ 07052, (973) 228-3424 - a different school in a different town, no mention of Guerrero BJJ or Caldwell	http://kneeonbelly.com/
DEAD	121	NL	Labrador City BJJ	Labrador City	https://www.novauniao.ca/lab-city		BLANK_IT	NXDOMAIN (Status 3) on both novauniao.ca and www.novauniao.ca	https://dns.google/resolve?name=novauniao.ca&type=A
KEEP	129	NV	Momentum Martial Arts	Reno	http://momentumreno.com	https://mmarenonv.com/	REPLACE	301s to the school's current domain mmarenonv.com: 920 Matley Ln #5, Reno, NV 89502, (775) 433-1226; named Gracie Jiu Jitsu foundations / advanced fundamentals / competition team classes	http://momentumreno.com
KEEP	137	NY	Butch's Boxing & MMA	Queens	http://www.ny-mma.com		KEEP_AS_IS	Site is Butch's Boxing & MMA, Bayside Queens, 646-421-9749; has dedicated "Brazilian Jiu-Jitsu (BJJ) Class in Queens" and "Kids BJJ Class" pages	http://www.ny-mma.com
DEAD	145	NY	Gracie Jiu-Jitsu Point Lookout	Point Lookout	https://graciejiujitsuli.com		BLANK_IT	NXDOMAIN (Status 3) on both graciejiujitsuli.com and www.graciejiujitsuli.com	https://dns.google/resolve?name=graciejiujitsuli.com&type=A
NEEDS_BROWSER	153	NY	Westchester Fight Club	New Rochelle	https://westchesterfightclub.com		NEEDS_BROWSER	DNS alive (A 50.87.144.127, apex and www); web_fetch returns empty body on /, /about/, /schedule, /contact/, /index.php (http and https) - cannot read landing page without a browser	https://westchesterfightclub.com
NOT_GRAPPLING	161	OR	Spartan Team Brazilian Jiu-Jitsu	Medford	http://spartanboxinggym.com/		BLANK_IT	Live site is "Spartan Boxing Gym", a non-profit boxing club at 729 Welch St. Medford, OR 97501, (541) 973-2182. Programs page lists only Youth Boxing, Adult Boxing, MMA (15+) and Morning Runs - no BJJ or any named grappling class, and the name does not match the record	http://www.spartanboxinggym.com/programs-offered
WRONG_ENTITY	169	TX	Aloisio Silva Brazilian Jiu-Jitsu Academy	Arlington	https://www.aloisiosilvabjj.com/	https://silvabjjtx.com/	REPLACE	Current URL redirects to silvabjj.com, the Silva BJJ Association HQ page, not the Arlington academy. That association contact page lists the Arlington location separately as silvabjjtx.com, which resolves to the school itself: Flores Martial Arts (formerly Aloisio Silva BJJ - its own Yelp link reads /aloisio-silva-brazilian-jiu-jitsu-academy-pantego), 1144 W. Main Street, Arlington TX 76013, (817) 937-1771, with named BJJ and Kids BJJ classes	https://silvabjj.com/contact-us/
NEEDS_BROWSER	177	VA	Cheeseman Martial Arts Brazilian Jiu Jitsu	Hampton	http://cheesemanmartialarts.net/		NEEDS_BROWSER	DNS alive (A 108.179.232.73, cPanel host); web_fetch returns empty body on /, /index.html, /contact (http and https) - cannot read landing page without a browser	http://cheesemanmartialarts.net/
