verdict	id	region	name	city	current_url	replacement_url	action	evidence	source_url
DEAD	2	AL	Samuel Puccio Brazilian Jiu-Jitsu	Birmingham	https://bhmbjj.com/		BLANK_IT	NXDOMAIN (Status 3) for both bhmbjj.com and www.bhmbjj.com; no A records, SOA returned from com. gTLD servers	https://dns.google/resolve?name=bhmbjj.com&type=A
KEEP	10	AZ	Lopez Martial Arts	Chandler	https://lopezjiujitsu.com/		KEEP_AS_IS	Root renders empty (JS) but interior pages serve: About page reads "Welcome to Lopez Jiu Jitsu in Chandler, Arizona... World Class Training Centers located in Chandler and Tempe" - correct entity and city, grappling named	https://lopezjiujitsu.com/about-us-1
PARKED	18	CA	Catch MMA	Oakland	https://www.catchmma.com/	https://catchmma.com/	REPLACE	Stored www host is a CNAME to exp.gname.net (Gname expired-domain host) and serves an empty document. Apex catchmma.com serves the real gym: "Situated in the pulsing heart of Oakland, CATCH MMA"; named classes "Jiu Jitsu... both traditional Gi and wresting focused No-Gi", plus BJJ/Muay Thai/Wrestling/MMA mat space	https://catchmma.com/mma-bjj-kickboxing
UNRESOLVED	26	CA	Marcelo Garcia Academy LA	Los Angeles	https://marcelogarciaacademy.com/la		BLANK_IT	Domain resolves (15.197.142.173 / 3.33.152.147, GoDaddy nameservers) but /la, apex, /robots.txt and /sitemap.xml ALL return an empty body - no readable content of any kind. Marcelo Garcia Jiu-Jitsu's own site lists only MGJJ NYC and MGJJ Hawaii, and its full association directory contains no Los Angeles academy	https://marcelogarciajj.com/mgjj/associations/
KEEP	34	CO	Golden Fights MMA Gym	Grand Junction	https://cagewarsnow.com		KEEP_AS_IS	Live school site branded "Golden Fights Gym" / "Training by Cage Wars MMa"; named classes include "Jiu Jitsu" ("will not only teach you grappling skills") and "TGR Wrestling"; self-describes as "The Most Active Fight Team on the Western Slope" (Grand Junction region). No street address is printed on the page	https://cagewarsnow.com/
KEEP	42	CT	Royce Gracie Brazilian Jiu Jitsu	West Hartford	http://gracie-jiu-jitsu.com/		KEEP_AS_IS	Live site: "Welcome to Royce Gracie Brazilian Jiu Jitsu Self Defense"; lists West Hartford and Glastonbury CT locations; phone 860 233 3000	http://gracie-jiu-jitsu.com/
KEEP	50	FL	GB Lake Park	West Palm Beach	https://lp.gblakepark.com/	https://gblakepark.com/	REPLACE	Stored lp. subdomain returns an empty document. Same owner's main domain serves the full site: "WELCOME TO GRACIE BARRA LAKE PARK FAMILY", named GB I / GBK I / GBK II Jiu-Jitsu programs, address 804 Federal Hwy #7, West Palm Beach, FL 33403, phone +1 561-313-6177	https://gblakepark.com/
WRONG_ENTITY	58	FL	Team Carvalho Treasure Coast	Fort Pierce	http://www.teamcarvalho.com/	https://www.teamcarvalhotreasurecoast.com/	REPLACE	teamcarvalho.com is Team Carvalho Internacional Judo & BJJ - its contact page gives 20545 SW 5th Place, Dunnellon, FL 34431 and its only dojos are Dunnellon FL and Paterson NJ (85-99 Hazel Street). No Fort Pierce/Treasure Coast location. The Fort Pierce academy has its own site: "Team Carvalho Treasure Coast", 113 Orange Avenue Fort Pierce FL 34950, head instructor Bruno Carvalho, adult and kids BJJ	https://www.teamcarvalhotreasurecoast.com/
KEEP	66	GA	Black Sheep MMA	Leesburg	http://www.blacksheep-mma.com/		KEEP_AS_IS	1451 US Hwy 19 S, Suite C, Leesburg, GA 31763; (229) 376-3645; "come here for your Self-Defense, Jiu-Jitsu and MMA needs"	http://www.blacksheep-mma.com/
NEEDS_BROWSER	74	GA	Tonchu Martial Arts Academy	Smyrna	http://www.tonchumartialarts.com/		NEEDS_BROWSER	Domain is alive on Google Sites infrastructure (apex A 216.239.32-38.21, www CNAME ghs.googlehosted.com). Every path - /, /home, /locations/smyrna, /sitemap.xml - returns the same JS shell with only <title>Tonchu Martial Arts Academy</title> and no body text. Cannot read class listings without a browser	https://www.tonchumartialarts.com/
