id	region	name	city	current_url
6	AZ	Bridge City Combat	Lake Havasu City	http://aaeamerica.com/
14	CA	4S Brazilian Jiu Jitsu / Jiu-Jitsu San Diego CA 92127	San Diego	http://www.4sbjj.com/
22	CA	Gracie Jiu-Jitsu Academy	Torrance	http://www.gracieacademy.com/
30	CA	SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	Rocklin	http://sllgrapplingacademy.com/
38	CO	The Dojo LLC	Fort Collins	http://www.thedojofc.com
46	FL	American Combat Club	Orlando	http://www.americancombatclub.com/
54	FL	RAIVA Brazilian Jiu Jitsu	Davie	http://www.raivabjj.com
62	FL	Valente Brothers Jiu-Jitsu Pembroke Pines	Pembroke Pines	http://www.graciemiami.com
70	GA	Hanto Jiu-Jitsu Academy	Statesboro	https://hantojiu-jitsuacademy.com/
78	IL	TDC MMA + Fitness	Chicago	http://www.tdcmmaandfitness.com
86	MA	CrossFit Arsenal (and BJJ)	Watertown	crossfitarsenal.com
94	ME	Presque Isle BJJ	Presque Isle	https://presqueislebjj.com
102	MI	Royce Gracie Jiu-Jitsu Academy of Michigan	Southgate	http://www.roycegracieaom.com/
110	NC	Chapel Hill Gracie Jiu Jitsu	Chapel Hill	http://www.chapelhilljiujitsu.net/
118	NJ	Straight Blast Gym New Jersey	Montclair	https://www.sbgnj.com/
126	NV	Drysdale Fight For Us Jiu Jitsu	Las Vegas	http://www.drysdalefightforus.com
134	NY	Alpha Omega MMA	Rockville Centre	http://www.alphaomegamma.com
142	NY	East West MMA	Seldon	http://www.circleofoneny.com
150	NY	Peloton Martial Arts Center	Spencerport	http://www.peloton-bjj.com
158	OK	Omar French Brazilian Jiu Jitsu	Bixby	omarfrench.com
166	RI	Bristol BJJ	Bristol	https://bristolbjj.com
174	TX	Ion Jiu Jitsu	Sulphur Springs	http://www.ionjiujitsuandfitness.com/
182	VT	Montpelier BJJ	Montpelier	https://montpelierbjj.com
