region	city	name	url
FL	Fleming Island	GB Fleming Island	https://graciebarra.com/fleming-island-fl/
FL	Fort Lauderdale	Gracie Barra Fort Lauderdale	https://graciebarra.com/fort-lauderdale-fl/
CA	Fullerton	GB Fullerton	https://graciebarra.com/fullerton-ca/
TX	Fulshear	GB Fulshear	https://graciebarra.com/fulshear-tx/
GA	Gainesville	Gracie Barra Gainesville	https://graciebarra.com/gainesville-ga/
MO	Hannibal	GB Hannibal	https://graciebarra.com/hannibal-mo/
HI	Honolulu	Gracie Barra Aloha Stadium	https://graciebarra.com/honolulu-hi
ID	Caldwell	Gracie Barra Caldwell	https://graciebarra.com/id-caldwell
CA	Irvine	GB HQ - Irvine	https://graciebarra.com/irvine-ca/
MO	Jefferson City	GB Jefferson City	https://graciebarra.com/jefferson-city-mo/
FL	Jupiter	GB Jupiter	https://graciebarra.com/jupiter-fl/
HI	Kapolei	Gracie Barra Kapolei	https://graciebarra.com/kapolei-hi
CA	La Cañada Flintridge	GB La Canada Flintridge	https://graciebarra.com/la-canada-ca/
CA	La Crescenta	GB La Crescenta	https://graciebarra.com/la-canada-ca/
CA	Lake Elsinore	GB Lake Elsinore	https://graciebarra.com/lake-elsinore-ca/
CA	West Lancaster	GB West Lancaster	https://graciebarra.com/lancaster-ca/
GA	Lawrenceville	GB Lawrenceville	https://graciebarra.com/lawrenceville-ga/
FL	Longwood	GB Seminole	https://graciebarra.com/longwood-fl/
FL	West Melbourne	GB Melbourne	https://graciebarra.com/melbourne-fl/
CA	Morgan Hill	GB Morgan Hill	https://graciebarra.com/morgan-hill-ca/
CA	Thousand Oaks	GB Thousand Oaks	https://graciebarra.com/newbury-park-ca/
CA	Newport Beach	GB Newport Beach	https://graciebarra.com/newport-beach-ca/
CA	Oceanside	GB Oceanside	https://graciebarra.com/oceanside-ca/
FL	Orlando	GB Palm Coast	https://graciebarra.com/palm-coast-fl/
CA	Palm Desert	GB Palm Desert	https://graciebarra.com/palm-desert-ca/
FL	Palmetto Bay	GB Palmetto Bay	https://graciebarra.com/palmetto-bay-fl/
CA	Pasadena	Gracie Barra Pasadena	https://graciebarra.com/pasadena-ca/
CA	Riverside	Gracie Barra Riverside Brazilian Jiu-Jitsu Martial Arts	https://graciebarra.com/riverside-ca/
FL	Rockledge	GB Rockledge	https://graciebarra.com/rockledge-fl/
CA	Rohnert Park	GB Rohnert Park	https://graciebarra.com/rohnert-park-ca/
NM	Roswell	Gracie Barra Roswell	https://graciebarra.com/roswell-nm
FL	St. Augustine	GB Saint Augustine	https://graciebarra.com/saint-augustine-fl/
CA	San Clemente	GB San Clemente	https://graciebarra.com/san-clemente-ca/
CA	San Ysidro	GB San Ysidro	https://graciebarra.com/san-ysidro-ca/
UT	Sandy	Gracie Barra Sandy	https://graciebarra.com/sandy-ut
