verdict	region	name	url	note
OK	NY	Tiger Schulmann's Martial Arts Greenpoint (Brooklyn) NY	https://tsk.com/locations/ny/brooklyn-greenpoint	211 McGuinness Blvd, Brooklyn NY 11222
OK	NY	Tiger Schulmann's Martial Arts Chelsea (New York City) NY	https://tsk.com/locations/ny/chelsea	688 Ave of Americas, New York NY 10010
OK	NY	Tiger Schulmann's Martial Arts Garden City NY	https://tsk.com/locations/ny/garden-city	650 Stewart Ave, Garden City NY 11530
OK	NY	Tiger Schulmann's Martial Arts Huntington NY	https://tsk.com/locations/ny/huntington	1842 E Jericho Tpke, Huntington NY 11743
OK	NY	Tiger Schulmann's Martial Arts Manhasset NY	https://tsk.com/locations/ny/manhasset	1205 Northern Blvd, Manhasset NY 11030
OK	NY	Tiger Schulmann's Martial Arts Merrick NY	https://tsk.com/locations/ny/merrick	2128 Merrick Ave, Merrick NY 11566
OK	NY	Tiger Schulmann's Martial Arts Nanuet NY	https://tsk.com/locations/ny/nanuet	419 Market St, Nanuet NY 10954
OK	NY	Tiger Schulmann's Martial Arts New Windsor NY	https://tsk.com/locations/ny/new-windsor	317 Windsor Hwy, New Windsor NY 12553
OK	NY	Tiger Schulmann's Martial Arts Astoria (Queens) NY	https://tsk.com/locations/ny/queens-astoria	31-01 Steinway St, Astoria NY 11103
OK	NY	Tiger Schulmann's Martial Arts Bayside (Queens) NY	https://tsk.com/locations/ny/queens-bayside	215-15 Northern Blvd, Bayside NY 11361
OK	NY	Tiger Schulmann's Martial Arts Fresh Meadows (Queens) NY	https://tsk.com/locations/ny/queens-fresh-meadows	Fresh Meadows NY 11366 address shown
OK	NY	Tiger Schulmann's Martial Arts Glendale (Queens) NY	https://tsk.com/locations/ny/queens-glendale	Glendale NY 11385 address shown
OK	NY	Tiger Schulmann's Martial Arts Jackson Heights (Queens) NY	https://tsk.com/locations/ny/queens-jackson-heights	Jackson Heights NY 11372 address shown
OK	NY	Tiger Schulmann's Martial Arts Middle Village (Queens) NY	https://tsk.com/locations/ny/queens-middle-village	Middle Village NY page live
OK	NY	Tiger Schulmann's Martial Arts Rego Park (Queens) NY	https://tsk.com/locations/ny/queens-rego-park	Rego Park NY 11374 address shown
OK	NY	Tiger Schulmann's Martial Arts Rockville Centre NY	https://tsk.com/locations/ny/rockville-centre	Rockville Centre NY 11570 address shown
OK	NY	Tiger Schulmann's Martial Arts Smithtown NY	https://tsk.com/locations/ny/smithtown	Smithtown NY 11787 address shown
OK	NY	Tiger Schulmann's Martial Arts New Dorp (Staten Island) NY	https://tsk.com/locations/ny/staten-island-new-dorp	Staten Island NY 10306 address shown
OK	NY	Tiger Schulmann's Martial Arts Tottenville (Staten Island) NY	https://tsk.com/locations/ny/staten-island-tottenville	Tottenville, Staten Island page live
OK	NY	Tiger Schulmann's Martial Arts Syosset NY	https://tsk.com/locations/ny/syosset	Jericho Tpke, Syosset NY 11791
OK	NY	Tiger Schulmann's Martial Arts Upper East Side (New York City) NY	https://tsk.com/locations/ny/upper-east-side	New York NY 10075 address shown
OK	NY	Tiger Schulmann's Martial Arts Yonkers NY	https://tsk.com/locations/ny/yonkers	Central Park Ave, Yonkers NY 10710
OK	PA	Tiger Schulmann's Mixed Martial Arts Bethlehem	https://tsk.com/locations/pa/bethlehem/	Bethlehem PA 18017 address shown
OK	PA	Tiger Schulmann's Mixed Martial Arts Colmar	https://tsk.com/locations/pa/colmar/	Bethlehem Pike, Colmar PA 18915
OK	PA	Tiger Schulmann's Mixed Martial Arts Feasterville	https://tsk.com/locations/pa/feasterville/	Feasterville PA 19053 address shown
OK	PA	Tiger Schulmann's Mixed Martial Arts Horsham	https://tsk.com/locations/pa/horsham/	Horsham Rd, Horsham PA 19044
OK	MB	WAMMA Dauphin	https://wamma.site/dauphin	304 Main St North, Dauphin MB R7N 0Y5
OK	MB	WAMMA Flin Flon	https://wamma.site/flinflon	363 Princess Blvd, Flin Flon MB R8A 0K8
OK	MB	WAMMA Thompson	https://wamma.site/thompson	25 Station Rd, Thompson MB R8N
OK	OK	10th Planet Jiu-Jitsu Altus	https://www.10thplanetjj.com/locations/altus/	Altus OK page, coach Jason Greer
OK	CA	10th Planet Long Beach CA	https://www.10thplanetjj.com/locations/long-beach-ca/	10th Planet Long Beach, CA page live
OK	AZ	10th Planet Marine Corps Air Station Yuma	https://www.10thplanetjj.com/locations/yuma-arizona/	11825 S Fortuna Rd, Yuma AZ 85367
OK	LA	Gracie Barra Amite	https://www.championfactory.com/gyms/amite	102 Central Ave, Amite LA; now Gracie United
OK	MS	Gracie United Hattiesburg	https://www.championfactory.com/gyms/hattiesburg	5004 Lincoln Rd, Hattiesburg MS 39402
OK	MS	Gracie United Wiggins	https://www.championfactory.com/gyms/wiggins	323 S Magnolia Dr, Wiggins MS 39577
REPLACE	AK	Gracie Jiu-Jitsu North Pole	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=yxZXrgNU%2BwRZsUTND1HmMw%3D%3D
OK	CO	Gracie Jiu-Jitsu Grand Junction	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=iDCGTlWq4tRja4132BcL9g%3D%3D	CTC detail page, Gracie JJ Grand Junction
OK	CA	Gracie Jiu-Jitsu Woodland Hills	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=qLoBB8zQLaHlpiOPxVswyw%3D%3D	CTC detail page, Gracie JJ Woodland Hills
OK	AR	Gracie Jiu-Jitsu Harrison	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=rl%2fmiDVLPwJnWoJzeXHm5w%3d%3d	CTC detail page, Gracie JJ Harrison
