region	city	name	url
WA	Edmonds	Gracie Barra Edmonds	graciebarra.com/edmonds-wa
WA	Renton	GB Renton	graciebarra.com/renton-wa
WA	Seattle	Gracie Barra Seattle	graciebarra.com/seattle-wa
WA	Fircrest	GB Tacoma	graciebarra.com/tacoma-wa
NV	Henderson	UFC Gym Green Valley	http://ufcgym.com/greenvalley
CA	Concord	UFC GYM Concord	http://www.ufcgym.com/concord
CA	Sunnyvale	UFC GYM Sunnyvale	http://www.ufcgym.com/sunnyvale
CO	Denver	10th Planet Denver	https://10thplanetjiujitsu.com/denver
AB	Calgary	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	https://arashido.com/location/calgary-deerfoot-north/
AB	Calgary	Arashi-Do Martial Arts Calgary SE Deerfoot Douglasdale	https://arashido.com/location/calgary-deerfoot-south-douglasdale/
AB	Calgary	Arashi-Do Martial Arts Calgary South Acadia	https://arashido.com/location/calgary-south-acadia/
AB	Calgary	Arashi-Do Martial Arts Calgary SW Rutland Park	https://arashido.com/location/calgary-south-rutland-park/
AB	Calgary	Arashi-Do Martial Arts Calgary West Springbank	https://arashido.com/location/calgary-west-springbank/
AB	Cochrane	Arashi-Do Martial Arts Cochrane	https://arashido.com/location/cochrane/
AB	Edmonton	Arashi-Do Martial Arts Edmonton East	https://arashido.com/location/edmonton-east/
AB	Edmonton	Arashi-Do Martial Arts Edmonton North	https://arashido.com/location/edmonton-north/
AB	Edmonton	Arashi-Do Martial Arts Edmonton South	https://arashido.com/location/edmonton-south/
AB	Edmonton	Arashi-Do Martial Arts Edmonton West Mayfield	https://arashido.com/location/edmonton-west-mayfield/
AB	Edson	Arashi-Do Martial Arts Edson	https://arashido.com/location/edson/
AB	Hinton	Arashi-Do Martial Arts Hinton	https://arashido.com/location/hinton/
AB	Leduc	Arashi-Do Martial Arts Leduc	https://arashido.com/location/leduc/
AB	Olds	Arashi-Do Martial Arts Olds	https://arashido.com/location/olds/
AB	Penhold	Arashi-Do Martial Arts Penhold	https://arashido.com/location/penhold/
AB	Red Deer	Arashi-Do Martial Arts Red Deer	https://arashido.com/location/red-deer/
AB	Sherwood Park	Arashi-Do Martial Arts Sherwood Park	https://arashido.com/location/sherwood-park/
AB	Sylvan Lake	Arashi-Do Martial Arts Sylvan Lake	https://arashido.com/location/sylvan-lake/
NC	Charlotte	Checkmat Charlotte	https://checkmat.com/charlotte
CO	Wheat Ridge	Easton BJJ Arvada	https://eastonbjj.com/arvada
CO	Boulder	Easton Training Center - Boulder	https://eastonbjj.com/boulder/
CO	Centennial	Easton Training Center Centennial	https://eastonbjj.com/centennial
CO	Denver	Easton Training Center	https://eastonbjj.com/denver/
CO	Littleton	Easton Training Center Littleton	https://eastonbjj.com/littleton/
CO	Longmont	Easton BJJ Longmont	https://eastonbjj.com/longmont
CO	Denver	Easton BJJ Lowry	https://eastonbjj.com/lowry
CO	Thornton	Easton Brazilian Jiu Jitsu Thornton	https://eastonbjj.com/thornton/
TX	San Antonio	GB Alamo Ranch	https://graciebarra.com/alamo-ranch-tx/
NC	Asheville	GB Asheville	https://graciebarra.com/asheville-nc/
AZ	Avondale	Gracie Barra Avondale	https://graciebarra.com/avondale-az/
PA	Beaver County	GB Beaver County	https://graciebarra.com/beaver-pa/
GA	Blue Ridge	Gracie Barra Blue Ridge	https://graciebarra.com/blue-ridge-ga/
TX	Boerne	GB Boerne	https://graciebarra.com/boerne-tx/
AZ	Buckeye	Gracie Barra Buckeye	https://graciebarra.com/buckeye-az/
BC	Richmond	Gracie Barra Central Richmond	https://graciebarra.com/central-richmond-bc-canada
VA	Chantilly	GB Chantilly	https://graciebarra.com/chantilly-va/
FL	Clermont	GB Clermont	https://graciebarra.com/clermont-fl/
CO	Pueblo	Gracie Barra Pueblo	https://graciebarra.com/co-pueblo
IL	Collinsville	GB Collinsville	https://graciebarra.com/collinsville-il/
CO	Colorado Springs	GB Colorado Springs	https://graciebarra.com/colorado-springs-co/
MO	Columbia	GB Columbia	https://graciebarra.com/columbia-mo/
CA	Corona	GB Corona	https://graciebarra.com/corona-ca/
FL	Crestview	GB Crestview	https://graciebarra.com/crestview-fl/
GA	Cumming	GB South Forsyth	https://graciebarra.com/cumming-ga/
CA	Dana Point	GB Dana Point	https://graciebarra.com/dana-point-ca/
IL	Deerfield	GB Deerfield	https://graciebarra.com/deerfield-il/
CA	Diamond Bar	GB Diamond Bar	https://graciebarra.com/diamond-bar-ca/
CA	Downey	GB Downey	https://graciebarra.com/downey-ca/
OH	Dublin	GB Columbus	https://graciebarra.com/dublin-oh/
TX	El Paso	GB East El Paso	https://graciebarra.com/east-el-paso-tx/
AB	Edmonton	Gracie Barra Edmonton	https://graciebarra.com/edmonton-alberta-canada/
TX	El Paso	GB El Paso	https://graciebarra.com/el-paso-tx/
CA	Encinitas	GB Encinitas	https://graciebarra.com/encinitas-ca/
CA	Escondido	GB Escondido	https://graciebarra.com/escondido-ca/
NM	Espanola	Gracie Barra Espanola	https://graciebarra.com/espanola-nm
IL	Evanston	GB Evanston	https://graciebarra.com/evanston-il/
AZ	Flagstaff	Gracie Barra Flagstaff Jiu Jitsu and Self Defense	https://graciebarra.com/flagstaff-az/
