name	stored_url	stored_host	alt_host	original_reason
FastKick Martial Arts	http://www.ifastkick.com	www.ifastkick.com	ifastkick.com	Cloudflare 522, origin server connection timed o
Fight Flow Academy	http://fightflowmma.com/	fightflowmma.com	www.fightflowmma.com	Wix placeholder, domain not connected to site
G13 Brazilian Jiu Jitsu HQ US	http://g13bjj.us/hq/	g13bjj.us	www.g13bjj.us	does not load in browser, renderer hangs
GB Burton	https://graciebarra.com/burton-mi/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Clermont	https://graciebarra.com/clermont-fl/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Ellijay	https://graciebarra.com/ellijay-ga/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Fleming Island	https://graciebarra.com/fleming-island-fl/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Las Vegas	https://graciebarra.com/las-vegas-nv	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Libertyville	https://graciebarra.com/libertyville-il/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB McAllen	https://graciebarra.com/mcallen-tx/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB New Lenox	https://graciebarra.com/new-lenox-il/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Oro Valley	https://graciebarra.com/oro-valley-az/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Palmetto Bay	https://graciebarra.com/palmetto-bay-fl/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
GB Snoqualmie Valley	graciebarra.com/snoqualmie-wa	graciebarra.com	www.graciebarra.com	Location page 404s, domain resolves
GB Windermere	https://graciebarra.com/windermere-fl/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
Gracie Barra Blue Ridge	https://graciebarra.com/blue-ridge-ga/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
Gracie Barra Boise	https://graciebarra.com/boise-id	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
Gracie Barra Des Plaines	https://graciebarra.com/des-plaines-il/	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
Gracie Barra Livonia	http://graciebarralivonia.com/	graciebarralivonia.com	www.graciebarralivonia.com	Flywheel unknown domain, site not set up
Gracie Barra Madison	graciebarramadison.com	graciebarramadison.com	www.graciebarramadison.com	redirects to Gracie Barra 404, school page gone
Gracie Barra Pueblo	https://graciebarra.com/co-pueblo	graciebarra.com	www.graciebarra.com	location page 404s, domain resolves
Gracie Barra Puyallup	graciebarra.com/puyallup-wa	graciebarra.com	www.graciebarra.com	Location page 404s, domain resolves
Gracie Barra Waunakee	graciebarramadison.com	graciebarramadison.com	www.graciebarramadison.com	redirects to Gracie Barra 404, school page gone
Grpl Club	grpl-club-jiu-jitsu-brasileiro.business.site	grpl-club-jiu-jitsu-brasileiro.business.site	www.grpl-club-jiu-jitsu-brasileiro.business.site	Google Business Site retired, no content
Gustavo Machado Norfolk	http://www.gustavomachadonorfolk.com	www.gustavomachadonorfolk.com	gustavomachadonorfolk.com	404 page not found, site gone
