name	stored_url	stored_host	alt_host	original_reason
Indigo Brazilian Jiu Jitsu Sulphur	http://indigobjj.com/	indigobjj.com	www.indigobjj.com	Wix placeholder, domain not connected to site
Ion Jiu Jitsu	http://www.ionjiujitsuandfitness.com/	www.ionjiujitsuandfitness.com	ionjiujitsuandfitness.com	does not load in browser
JJ Machado Austin Jiujitsu	http://www.jjmachadoaustin.com/	www.jjmachadoaustin.com	jjmachadoaustin.com	Wix placeholder, domain not connected to site
Kingsport BJJ	https://kingsportbjj.com	kingsportbjj.com	www.kingsportbjj.com	parking IP, no content at root
Krav Maga Salem	http://www.kravsalem.com/schedule	www.kravsalem.com	kravsalem.com	404 and root is empty shell page
Kurusan Jiu-Jitsu & Kickboxing	http://www.kurusan.com	www.kurusan.com	kurusan.com	loads completely blank, no content
Leadership Academy Martial Arts and Fitness	leadershipacademyinc.com	leadershipacademyinc.com	www.leadershipacademyinc.com	404 page not found, no site
Legends MMA	http://www.legendsmmaofparkhills.com/	www.legendsmmaofparkhills.com	legendsmmaofparkhills.com	Flywheel unknown domain, site not set up
Lucas Leite Brazilian Jiu-Jitsu	http://www.lucasleitebjj.net/	www.lucasleitebjj.net	lucasleitebjj.net	Squarespace account expired placeholder
Martial Arts America Russellville	https://russellvilletkd.com	russellvilletkd.com	www.russellvilletkd.com	404 at root, domain resolves
Mena Fitness Training & Brazilian Jiu Jitsu	menafitnesstraining.com	menafitnesstraining.com	www.menafitnesstraining.com	under construction placeholder, no site content
Miami Beach Brazilian Jiu-Jitsu	http://www.rioheroes-jorgepereira.com	www.rioheroes-jorgepereira.com	rioheroes-jorgepereira.com	loads completely blank, no content
Modern Combatives Mixed Martial Arts	http://www.moderncombatives.com/	www.moderncombatives.com	moderncombatives.com	Wix placeholder, domain not connected to site
New Britain Judo and Dynamic Arts	http://www.newbritainjudo.org/	www.newbritainjudo.org	newbritainjudo.org	does not load in browser
Next Level Athletic Performance	http://www.nxtleveltraining.com	www.nxtleveltraining.com	nxtleveltraining.com	connection reset, site cannot be reached
Northeast Elite Wrestling Center	http://northeastelitewrestling.com/	northeastelitewrestling.com	www.northeastelitewrestling.com	Cloudflare 522, origin server connection timed o
Nova Uniao Las Vegas	http://www.ryukotrainingcenter.com	www.ryukotrainingcenter.com	ryukotrainingcenter.com	Squarespace account expired placeholder
Pennsylvania Combat Sports	http://www.pacombatsports.com/	www.pacombatsports.com	pacombatsports.com	does not load in browser
Porrada Jiu Jitsu Academy	http://www.porradajiujitsu.com/	www.porradajiujitsu.com	porradajiujitsu.com	loads completely blank, no content
Port City Combat Sports	https://www.pckickboxing.com/fairhope-schedule/	www.pckickboxing.com	pckickboxing.com	location page 404s, domain resolves
Ralph Gracie Jiu Jitsu - Santa Clara	http://www.ralphgraciesc.com/	www.ralphgraciesc.com	ralphgraciesc.com	Wix placeholder, domain not connected to site
Relson Gracie Jiu-Jitsu Academy St. Augustine	http://www.mma4florida.com/	www.mma4florida.com	mma4florida.com	SSL cipher mismatch, site cannot be loaded
Renzo Gracie Houston	http://graciebarrasugarland.com	graciebarrasugarland.com	www.graciebarrasugarland.com	redirects to gbfortbend.com, Wix domain not conn
Renzo Gracie Pennsylvania	http://www.renzograciepa.com	www.renzograciepa.com	renzograciepa.com	OpenResty error page, site currently unavailable
Riverside MMA	http://mmariverside.com/	mmariverside.com	www.mmariverside.com	Wix placeholder, domain not connected to site
