verdict	name	working_url	note
WRONG_BUSINESS	FastKick Martial Arts		Taekwondo-only school, Belleville NJ; no grappling offered
CONFIRMED_DEAD	Fight Flow Academy		Wix "domain isn't connected" on both apex and www
PARKED	G13 Brazilian Jiu Jitsu HQ US		Both forms redirect to findakey.net keyword lander
CONFIRMED_DEAD	GB Burton		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Clermont		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Ellijay		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Fleming Island		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Las Vegas		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Libertyville		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB McAllen		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB New Lenox		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Oro Valley		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Palmetto Bay		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Snoqualmie Valley		404 on both graciebarra.com and www form
CONFIRMED_DEAD	GB Windermere		404 on both graciebarra.com and www form
CONFIRMED_DEAD	Gracie Barra Blue Ridge		404 on both graciebarra.com and www form
CONFIRMED_DEAD	Gracie Barra Boise		410 Gone on both graciebarra.com and www form
CONFIRMED_DEAD	Gracie Barra Des Plaines		404 on both graciebarra.com and www form
CONFIRMED_DEAD	Gracie Barra Livonia		Flywheel unknown-domain placeholder on both apex and www
CONFIRMED_DEAD	Gracie Barra Madison		Redirects to graciebarra.com 404; www also 404
CONFIRMED_DEAD	Gracie Barra Pueblo		404 on both graciebarra.com and www form
CONFIRMED_DEAD	Gracie Barra Puyallup		404 on both graciebarra.com and www form
CONFIRMED_DEAD	Gracie Barra Waunakee		Redirects to graciebarra.com 404; www also 404
CONFIRMED_DEAD	Grpl Club		Google 404 error page; www form connection error
CONFIRMED_DEAD	Gustavo Machado Norfolk		404 page on both apex and www forms
