name	stored_url	stored_host	alt_host	original_verdict	original_note
10th Planet Denver	https://10thplanetjiujitsu.com/denver	10thplanetjiujitsu.com	www.10thplanetjiujitsu.com	PARKED	HugeDomains for-sale lander, $13,495
10th Planet Irvine	http://www.10thplanetmonstersquad.com/	www.10thplanetmonstersquad.com	10thplanetmonstersquad.com	PARKED	redirects to explorads.com parked-domain ad fe
10th Planet Jiu Jitsu Perry	http://www.10thplanetperry.com/	www.10thplanetperry.com	10thplanetperry.com	HIJACK	redirects to WARGAPOKER Indonesian IDN poker/g
10th Planet Jiu Jitsu San Francisco	http://10thplanetjiujitsusf.com/	10thplanetjiujitsusf.com	www.10thplanetjiujitsusf.com	HIJACK	San Francisco party-bus / limousine-rental SEO
5th St. Gym	https://www.5thstreetgym.com/	www.5thstreetgym.com	5thstreetgym.com	PARKED	Afternic for-sale IPs, blank lander
ATP Brazilian Jiu Jitsu	http://www.atpbjj.com/	www.atpbjj.com	atpbjj.com	PARKED	redirects to findakey.net ad directory parking
Abdias Brazilian Jiu-Jitsu	https://www.bushidostrength.com	www.bushidostrength.com	bushidostrength.com	HIJACK	redirects offsite to destination blocked by br
Active Martial Arts	http://www.activegonzales.com/	www.activegonzales.com	activegonzales.com	DEAD	
Alliance Pennsylvania Jiu-Jitsu	http://www.bajji.com/	www.bajji.com	bajji.com	PARKED	Afternic lander, bajji.com listed for sale
Alliance South Florida Team Rollyson	https://alliancesouthflorida.com/	alliancesouthflorida.com	www.alliancesouthflorida.com	PARKED	GoDaddy for-sale lander, no price
American Fight Club	http://afcva.com/	afcva.com	www.afcva.com	PARKED	HugeDomains for-sale lander
American Top Team Miramar Jiu Jitsu & MMA	http://www.attmiramar.com/	www.attmiramar.com	attmiramar.com	HIJACK	redirects to ANGKATOTO2 Indonesian togel/lotte
Anibal Lobo Jiu Jitsu	http://lobojiujitsu.com/	lobojiujitsu.com	www.lobojiujitsu.com	PARKED	GoDaddy parked-free lander, domain not in use
Ares BJJ Reno	http://aresbjjreno.com	aresbjjreno.com	www.aresbjjreno.com	PARKED	GoDaddy parked-free lander, domain not in use
Asheville BJJ	https://ashevillebjj.com	ashevillebjj.com	www.ashevillebjj.com	PARKED	GoDaddy/Afternic for-sale lander
Asylum Fight Team	http://www.asylumfightteam.com	www.asylumfightteam.com	asylumfightteam.com	PARKED	redirects to asylumfightteamvegas.com/lander p
Attitude First MMA	http://www.attitudefirst.net/	www.attitudefirst.net	attitudefirst.net	PARKED	redirects to /lander, domain parking page
Avenge Jiu Jitsu	http://avengejiujitsu.com	avengejiujitsu.com	www.avengejiujitsu.com	PARKED	"HugeDomains ""for sale"" lander"
Awesome Martial Arts Academy	awesomesportsandcamps.com	awesomesportsandcamps.com	www.awesomesportsandcamps.com	WRONG_BUSINESS	now after-school and summer camp business, no 
