verdict	name	working_url	note
FALSE_POSITIVE	Mid Shore Martial Arts	https://fitnessrxworkout.com/	Easton MD; teaches jiu-jitsu, judo, wrestling
CONFIRMED	Midwest Judo & Jujitsu Club		HugeDomains for-sale lander, $1,195
FALSE_POSITIVE	Miller's Martial Arts Academy	https://www.mmaa.com/	Kirkland WA; Six Blades Brazilian Jiu Jitsu
CONFIRMED	Mix-It-Up Kickboxing & Brazilian Jiu-Jitsu		Spanish language school, Gran Canaria
CONFIRMED	Mmaxout Fitness And Martial Arts		Chinese sports-betting/World Cup spam page
CONFIRMED	Mountain Warrior Academy Of Martial Arts (Impact JJ)		HugeDomains for-sale lander, $8,195
CONFIRMED	Mt. Hood Impact Jiu Jitsu		HugeDomains for-sale lander, $4,295
CONFIRMED	Murfreesboro BJJ		Redirects to /lander parking page, blank
CONFIRMED	Myrmidon Training Systems		Redirects to /lander parking page, blank
CONFIRMED	NH BJJ		Redirects to /lander parking page, blank
CONFIRMED	Neutral Grounds		GoDaddy for-sale lander, $399
CONFIRMED	New Vision Academy of Jiu Jitsu		She777 Indonesian slot/casino APK site
CONFIRMED	Oc Jiu-Jitsu & Mixed Martial Arts		GoDaddy for-sale lander, $22,999
FALSE_POSITIVE	Odyssey MMA	https://odysseymma.com/	200 John T. O'Leary Blvd, South Amboy NJ
CONFIRMED	Onnit Gym MMA		Redirects to 10th Planet Austin, different school
CONFIRMED	Patriot Sports and Fitness		Redirects to Stronger Fighter MMA, Round Rock TX
CONFIRMED	Peak MMA & Fitness LLC Auburn		HUBET Vietnamese casino/sportsbook site
CONFIRMED	Pejak Martial Arts		Babe88 Indonesian slot gambling site
CONFIRMED	Pinelands Brazilian Jiu-Jitsu		Redirects to /lander parking page, blank
CONFIRMED	Precision Movement		Massage/Reformer Pilates studio, no jiu-jitsu page
CONFIRMED	Private Jewels Fitness		PGBET Indonesian slot gambling site
CONFIRMED	Progressive Jiu Jitsu MMA and Fitness		HugeDomains for-sale lander
CONFIRMED	Quest Grappling Academy		go2net domain-search parking, "may be for sale"
CHANGED	RYSE Academy of Martial Arts		Blank page iframing spam site youcangetwomen.com
CONFIRMED	Relevant Martial Arts		GoDaddy Auctions lander, domain for sale
CONFIRMED	Renzo Gracie Pittsburgh		DAUN123 Indonesian gambling site
CONFIRMED	Resolution Jiu Jitsu		HugeDomains for-sale lander
CONFIRMED	Reyes Jiu-Jitsu		HugeDomains for-sale lander
CONFIRMED	Ricardo Barros Brazilian Jiu-Jitsu		Market Muscles "Website Unavailable" placeholder
CONFIRMED	Ring Sports United		Vodkabet Turkish casino spam blog
CONFIRMED	Rio Pro Brazilian Jiu Jitsu		Redirects to /lander parking page, blank
CHANGED	Risen Jiu-Jitsu and Fitness		Now "Buy this domain" lander; www redirects survey spam
CONFIRMED_DEAD	Rocknroll Brazilian Jiu Jitsu & Fitness		Both forms SERVFAIL (DNS status 2), no records
CONFIRMED	Rosendo Diaz Brazilian Jiu-Jitsu		Shopify "Gracie PA Merch" store only
CONFIRMED	Royal Art BJJ		Redirects to MACAN123 Indonesian casino domain
CONFIRMED	Ryoku Judo Club		Remipoker Indonesian slot gambling site
CONFIRMED	SCHOOL Brazilian Jiu-Jitsu Arcadia		UpLaunch Agency WordPress multisite signup page
CONFIRMED	SIMGO Academy		Redirects to /lander parking page, blank
CONFIRMED	Sandro Sampaio Brazilian Jiu-Jitsu Academy		Redirects to Highland Jiu Jitsu, Bethany OK
CONFIRMED	Satsuma Jiu Jitsu		"Coming Soon" host placeholder page
FALSE_POSITIVE	School of Combat Arts	https://www.schoolofcombatarts.com/	Valparaiso/Niceville FL; Brazilian Jiu-Jitsu academy
CONFIRMED	Scorpion MMA (Aloisio Silva Associated Academy)		Auto-generated thebest100hotels.com places-review page
CONFIRMED	Scr Fight Club		STL Property & Real Estate site
