verdict	name	working_url	note
CONFIRMED	Seigneury Dojo - Jujitsu, Judo & MMA Training		GoDaddy "Launching Soon" placeholder, no school content
CONFIRMED	Shetucket Valley Judo and Sambo		HugeDomains for-sale lander, $3,395
CONFIRMED	Sik-Jitsu Mixed Martial Arts		Empty /lander parking page, both hosts
CONFIRMED	Sityodtong Northshore		Thai gambling site luxury88
CONFIRMED	Southwest Judo Academy		HugeDomains for-sale lander, $6,895
CONFIRMED	Spokane Valley Brazilian Jiu-Jitsu		GoDaddy parked-free lander
CONFIRMED	Studio 1908 (Miyao Brothers)		Empty GoDaddy /lander parking page
CONFIRMED	Synergy Martial Arts		Odenton MD karate school, zero grappling mentioned
CONFIRMED	Team Jucao Brazilian Jiu Jitsu		Redirects to go2net.com domain parking page
CONFIRMED	Team Link BJJ (Brazilian Jiu Jitsu) Marlborough		Generic Facebook homepage, not a school page
CONFIRMED	Team O'Connor Brazilian Jiu-Jitsu		Blank page both hosts, https refused
CONFIRMED	Team Oliveira Brazilian Jiu Jitsu		HugeDomains for-sale lander, $2,195
FALSE_POSITIVE	Team Reno	http://www.momentumreno.com/	920 Matley Ln #5, Reno, NV 89502
CONFIRMED	Texas Barbell Syndicate		Powerlifting gym; site states closed March 2025
CONFIRMED	Texas Gladiators Academy		Redirects to SOMATOTO Indonesian slot gambling site
CONFIRMED	The Cage Training Center		Redirects to 99 BXNG boxing gym, Tulsa
CONFIRMED	The Dirty Gym		Barbell club, Dayton OH, no martial arts
CONFIRMED	The School of Self Defense		Kenpo/Wing Chun/JKD Noblesville IN, no grappling classes
CHANGED	Torres MMA Sport		Now fake "MacOS Security Center" scareware redirect
CONFIRMED	Total Performance Sports		Strength/personal training gym Malden, no grappling
CONFIRMED	Tribull MMA Center		Typepad closed; Network Solutions migration page
CONFIRMED	U A Jiu Jitsu		HugeDomains for-sale lander, $995
CONFIRMED	USMMA Martial Arts and Yoga		Generic Mindbody business sign-in page
FALSE_POSITIVE	Ultimate MMA Training Center	http://www.ultimatemmact.com/	79 State Street, North Haven, CT 06473
CONFIRMED	Union Combat Academy		Redirects to JDM88 Indonesian gambling site
CONFIRMED	United Martial Arts Academy		GoDaddy for-sale lander, no price shown
CONFIRMED	United Mixed Martial Arts		GoDaddy domain-for-sale lander, $500
CONFIRMED	United Training Center		CyberPanel default install placeholder page
CONFIRMED	Unlimited MMA		Indonesian togel/SGP gambling SEO content farm
CONFIRMED	Valhalla Combat		Empty /lander domain parking page
CONFIRMED	Vancouver Elite Martial Arts		ParkLogic.com parking page with ad categories
CONFIRMED	Victory MMA		HTTP 500 server error on both hosts
CONFIRMED	Victory Training		Personal-training gym, Roscoe Village Chicago, no grappling
CONFIRMED	Villardo Jiu-Jitsu Academy		GoDaddy "BRJJ Launching Soon" placeholder page
CONFIRMED	Warrior Tribe		GoDaddy domain-for-sale lander
CONFIRMED	Way Of Life BJJ		Wix 404 page-not-found at subdomain root
FALSE_POSITIVE	Wolfpack Brazilian Jiu Jitsu - Martial Arts	https://wolfpackbjj.com/	Sarasota FL; now SRQ Jiu Jitsu, two locations
CONFIRMED	Zai Martial Arts Academy		Page states the academy is closed
CONFIRMED	Zenith Authentic Brazilian Jiu-Jitsu		Indonesian MAXWIN89 slot gambling site
CONFIRMED	wolfpac combat ju-jitsu		Redirects to ellisvlad.co.nr "Cool things are coming"
