verdict	name	working_url	note
CONFIRMED	Dan Henderson's Athletic Fitness Center		GoDaddy expired-domain parking lander, both host forms
CONFIRMED	Daniel Gracie Academy Hyannis		Google 404, business.site page no longer exists
CONFIRMED	Daniel Gracie Academy Orleans		Google 404, business.site page no longer exists
CONFIRMED	Dark Gift Combat		Chinese gambling/sportsbook page over http, https times out
CONFIRMED	David Jacobs BJJ Academy		memorial tribute page, academy no longer operating
CONFIRMED	Defense Combatives DEFCOM Alpha Fort Atkinson		Aviator crash-game casino affiliate spam
CONFIRMED	Defense Combatives DEFCOM HQ		Aviator crash-game casino affiliate spam
FALSE_POSITIVE	Disciple MMA Academy	https://www.disciplemmaacademy.com/	Northern Virginia; follows Loudoun County school calendar
CONFIRMED	Dot Your Eye, INC MMA		GoDaddy domain-for-sale lander, both host forms
CONFIRMED	Drysdale Fight For Us Jiu Jitsu		cPanel default web site page, no site
CONFIRMED	Dynamic MMA		HugeDomains for-sale lander, $995
CONFIRMED	Dynamic Martial Arts & Fitness Studios		GoDaddy for-sale lander, $2,988
CONFIRMED	ECF Martial Arts & Fitness / Brazilian Top Team BTT Charlotte		redirects to SportHiatus sports/nutrition content farm
CONFIRMED	ETHOS Colorado		personal training and nutrition, Arvada; no grappling
CONFIRMED	East Lansing Underground Martial Arts		Chinese Macau gambling casino page over http
CONFIRMED	EchoValor Striking & MMA		Echo Valor veteran storytelling podcast, music, Etsy
CONFIRMED	EchoValor Striking & MMA Beaverton		Echo Valor veteran storytelling podcast, music, Etsy
CONFIRMED	Eclectic Combat Systems		Afternic for-sale lander with eczema ad links
CONFIRMED	Edge Fitness Studio		HugeDomains for-sale lander, $1,995
CONFIRMED	Elemental Brazilian Jiu Jitsu		Elemental BJJ Camp travel/seminar site, Medellin
FALSE_POSITIVE	Elementum Jiu-jitsu	https://elementumjiujitsu.com/	1154 Solana Ave, Winter Park, Florida 32789
CONFIRMED	Enzo Jiu Jitsu / BJJ McAllen TX 78501		HugeDomains for-sale lander, $495
CONFIRMED	Evolution Mixed Martial Arts Chicago - Schaumburg		redirects to blank /lander parking page
CONFIRMED	Evolutionary Martial Arts		redirects to blank /lander parking page
CONFIRMED	FUJI Martial Arts Jiu-Jitsu & Judo Woburn		redirects to Travis Stevens Academy, Wakefield MA
CONFIRMED	Fayetteville BJJ		redirects to blank /lander parking page
CONFIRMED	Fearless Fitness		"Fearless Fitness Launching Soon" placeholder, no content
CONFIRMED	Fight Firm		ExpiredDomains.com for-sale listing, $195
CONFIRMED	Fight to Win Jiu Jitsu Asheville		ExpiredDomains.com for-sale listing, $195
CONFIRMED	First Shield Defense		church security and defense training, Fort Wayne
CONFIRMED	Fit Club BJJ		Fit Club strength and conditioning, Fairfield CT
CONFIRMED	Fit to Fight Atlanta		ExpiredDomains.com for-sale listing, $195
CONFIRMED	Full Contact Fight Academy		redirects to findakey.net ad-link parking page
CONFIRMED	Fusion Jiu Jitsu		bare "Fusion Jiu Jitsu coming soon" placeholder
CONFIRMED	Gameness Sports		BJJ gi and apparel e-commerce, Carrollton TX
CONFIRMED	Girl Fight		redirects to blank /lander parking page
CONFIRMED	Girl Fight Martial Arts Center		Namecheap parked page with domain auction ads
CONFIRMED	Gorilla Judo and BJJ Club		ExpiredDomains.com for-sale listing, $195
CONFIRMED	Gotham Gym/ Savage MMA and Fitness LLC		GymMaster login portal branded The Foundry
CONFIRMED	Gracie Barra Richmond Steveston		redirects to blank /lander parking page
CONFIRMED	Gracie Jiu Jitsu Carlsbad and San Marcos		GoDaddy expired-domain parking lander, ad links
FALSE_POSITIVE	Gracie Jiu-Jitsu Altamonte Springs	https://graciejjcfl.com/	Altamonte Springs, Florida; site graciejiujitsualtamonte.com
FALSE_POSITIVE	Gracie Jiu-Jitsu Balance Academy	https://graciebalance.com/	Peachtree City, Georgia
