verdict	name	working_url	note
CONFIRMED	10th Planet Denver		HugeDomains for-sale lander, $13,495
CONFIRMED	10th Planet Irvine		Empty "Redirecting..." shell, both www and apex
CONFIRMED	10th Planet Jiu Jitsu Perry		Redirects to WARGAPOKER Indonesian poker site
CONFIRMED	10th Planet Jiu Jitsu San Francisco		Party-bus rental SEO spam, school title only
CONFIRMED	5th St. Gym		Empty /lander parking page, both forms
CONFIRMED	ATP Brazilian Jiu Jitsu		"Buy this domain" parking lander
CONFIRMED	Abdias Brazilian Jiu-Jitsu		Empty "Redirecting..." shell, no content, both forms
FALSE_POSITIVE	Active Martial Arts	https://herogonzales.com/	316 E. Highway 30, Gonzales, LA; rebranded Hero's
CONFIRMED	Alliance Pennsylvania Jiu-Jitsu		Empty /lander parking page, both forms
CONFIRMED	Alliance South Florida Team Rollyson		Redirects to forsale.godaddy.com for-sale lander
CONFIRMED	American Fight Club		HugeDomains for-sale lander, $695
CONFIRMED	American Top Team Miramar Jiu Jitsu & MMA		Redirects to ANGKATOTO2 Indonesian togel gambling site
CONFIRMED	Anibal Lobo Jiu Jitsu		GoDaddy parked-free lander, "Get This Domain"
CONFIRMED	Ares BJJ Reno		GoDaddy parked-free lander with ad links
CONFIRMED	Asheville BJJ		Empty /lander parking page
CONFIRMED	Asylum Fight Team		Redirects to asylumfightteamvegas.com/lander, empty parking page
CONFIRMED	Attitude First MMA		Empty /lander parking page
CONFIRMED	Avenge Jiu Jitsu		HugeDomains for-sale lander, $995
CONFIRMED	Awesome Martial Arts Academy		After-school and summer camp business, Clarksville IN
CONFIRMED	Big John Mccarthy's Ultimate Training Gym		Empty /lander parking page
FALSE_POSITIVE	Black Flag Jiu-Jitsu Club	https://blackflagjiujitsuclub.com/	6960 N 57th Dr, Glendale AZ 85301
CONFIRMED	Black Tie Jiu Jitsu Clare		GoDaddy for-sale lander, $3,799
CONFIRMED	Black Trunk Martial Arts		Empty /lander parking page
CONFIRMED	Boston Brazilian Jiu-Jitsu Newton		Redirects to Indonesian Togel SDY gambling site
CONFIRMED	Brantford BJJ		Empty /lander parking page
CONFIRMED	Buckeye Mixed Martial Arts & Fitness		"Buy this domain" parking page
CONFIRMED	CageworX Brazilian Jiu-Jitsu/Muay Thai/Fitness		GoDaddy for-sale lander, $6,940
FALSE_POSITIVE	Cascade Jiu-Jitsu	https://everettbjj.com/	2221 Everett Ave #3, Everett, WA 98201
CONFIRMED	Checkmates Boxing and MMA Striking Skills		ExpiredDomains.com for-sale listing, $195
CONFIRMED	College Park Mixed Martial Arts		Redirects to syairtogel.info Indonesian togel site
CONFIRMED	Combat Athletix		Combat-sports apparel e-commerce shop, no school
FALSE_POSITIVE	Combat CFMA - Functional Martial Arts	https://combatcfma.com/	Babcock Ranch, Florida 33982; teaches jiu jitsu, grappling
CONFIRMED	Comet BJJ		Vietnamese Sunwin casino gambling portal
CONFIRMED	Compass Jiu Jitsu		HugeDomains for-sale lander, $4,295
CONFIRMED	Connecticut Martial Arts Training Center		GoDaddy "registered, but may still be available" page
CONFIRMED	Conquer Martial Arts		American Sport Karate school, no grappling offered
CONFIRMED	Cornerstone Brazilian Jiu Jitsu		Redirects to LOGOTOTO Indonesian togel/slots site
CHANGED	Crazy Monkey USA		Chinese-language safety-culture products company site, not gaming
CONFIRMED	CrossFit Tigard - PAW		Redirects to crossfittigard.com CrossFit gym, no grappling
CONFIRMED	Cruvinel Brothers Brazilian Jiujitsu / GFTeam		GoDaddy Auctions parking lander, domain for sale
CONFIRMED	Cutting Edge Brazilian Jiu Jitsu		Redirects to Arta189 Indonesian gambling site
CONFIRMED	DC Fighters USA		browserleakscheck.com browser-fingerprint diagnostic site
CONFIRMED	Daimyo Brazilian Jiujitsu		Cloudflare 520 origin error, both www and apex
