name	stored_url	stored_host	alt_host	original_verdict	original_note
Seigneury Dojo - Jujitsu, Judo & MMA Training	seigneurydojo.com	seigneurydojo.com	www.seigneurydojo.com	PARKED	"GoDaddy builder ""Launching Soon"" placeholder"
Shetucket Valley Judo and Sambo	http://www.judoct.com/	www.judoct.com	judoct.com	PARKED	"HugeDomains ""for sale"" lander"
Sik-Jitsu Mixed Martial Arts	excitefight.com	excitefight.com	www.excitefight.com	PARKED	redirects to /lander domain parking page
Sityodtong Northshore	sityodtongnorthshore.com	sityodtongnorthshore.com	www.sityodtongnorthshore.com	HIJACK	Thai slot gambling site, luxury88
Southwest Judo Academy	http://www.southwestjudo.com	www.southwestjudo.com	southwestjudo.com	PARKED	HugeDomains for-sale page
Spokane Valley Brazilian Jiu-Jitsu	www.spokanevalleybjj.com	www.spokanevalleybjj.com	spokanevalleybjj.com	PARKED	GoDaddy parked-free lander, domain not in use
Studio 1908 (Miyao Brothers)	https://www.studio1908bjj.com/	www.studio1908bjj.com	studio1908bjj.com	PARKED	GoDaddy/Afternic for-sale lander
Synergy Martial Arts	synergykarate.com	synergykarate.com	www.synergykarate.com	WRONG_BUSINESS	Odenton MD karate school, no grappling offered
Team Jucao Brazilian Jiu Jitsu	https://teamjucao.com	teamjucao.com	www.teamjucao.com	PARKED	Trellian/Above.com parking lander, no price
Team Link BJJ (Brazilian Jiu Jitsu) Marlborough	m.facebook.com	m.facebook.com	www.m.facebook.com	WRONG_BUSINESS	Bare Facebook mobile homepage, not school
Team O'Connor Brazilian Jiu-Jitsu	team-oconnor.com	team-oconnor.com	www.team-oconnor.com	PARKED	Sedo parking IP, blank page
Team Oliveira Brazilian Jiu Jitsu	http://www.teamoliveirabjj.com/	www.teamoliveirabjj.com	teamoliveirabjj.com	PARKED	HugeDomains domain-for-sale lander
Team Reno	https://www.momentumreno.com/brazilian-jiu-jitsu	www.momentumreno.com	momentumreno.com	DEAD	blank page at root, domain resolves
Texas Barbell Syndicate	http://www.texasbarbellsyndicate.com	www.texasbarbellsyndicate.com	texasbarbellsyndicate.com	WRONG_BUSINESS	powerlifting/strength gym; page states it clos
Texas Gladiators Academy	http://texasgladiators.org/	texasgladiators.org	www.texasgladiators.org	HIJACK	redirects to SOMATOTO Indonesian toto/slot gam
The Cage Training Center	htc918.com	htc918.com	www.htc918.com	WRONG_BUSINESS	Redirects to 99 BXNG boxing gym, Tulsa
The Dirty Gym	http://thedirtygym.com/	thedirtygym.com	www.thedirtygym.com	WRONG_BUSINESS	barbell/powerlifting club; no martial arts pro
The School of Self Defense	the-school-of-self-defense.com	the-school-of-self-defense.com	www.the-school-of-self-defense.com	WRONG_BUSINESS	Kenpo/kung fu, Noblesville not Carmel
Torres MMA Sport	http://www.torresmmasport.com/Contact-Us.html	www.torresmmasport.com	torresmmasport.com	PARKED	redirects to World of Tanks affiliate ad campa
Total Performance Sports	totalperformancesports.com	totalperformancesports.com	www.totalperformancesports.com	WRONG_BUSINESS	strength and personal training gym, no grappli
Tribull MMA Center	http://tribullmma.typepad.com/my_weblog/	tribullmma.typepad.com	www.tribullmma.typepad.com	DEAD	Typepad shut down, redirects to Network Soluti
U A Jiu Jitsu	https://uajiujitsu.com	uajiujitsu.com	www.uajiujitsu.com	PARKED	HugeDomains for-sale lander
USMMA Martial Arts and Yoga	clients.mindbodyonline.com	clients.mindbodyonline.com	www.clients.mindbodyonline.com	WRONG_BUSINESS	generic Mindbody business sign-in page, not a 
Ultimate MMA Training Center	http://www.ultimatemmact.com/	www.ultimatemmact.com	ultimatemmact.com	HIJACK	injected spam: Russian-language casino/slots p
Union Combat Academy	http://www.unioncombat.com/	www.unioncombat.com	unioncombat.com	HIJACK	redirects to JDM88 Indonesian online gambling/
United Martial Arts Academy	https://www.kentuckymartialarts.com/	www.kentuckymartialarts.com	kentuckymartialarts.com	PARKED	GoDaddy for-sale lander, no price shown
United Mixed Martial Arts	http://www.unitedmixedmartialarts.com/	www.unitedmixedmartialarts.com	unitedmixedmartialarts.com	PARKED	GoDaddy domain-for-sale lander ($500)
United Training Center	www.utcmma.com	www.utcmma.com	utcmma.com	PARKED	CyberPanel default install placeholder page
Unlimited MMA	http://unlimitedmma.com/	unlimitedmma.com	www.unlimitedmma.com	HIJACK	Indonesian togel/slots gambling SEO farm - SBO
Valhalla Combat	http://valhallacombat.com/	valhallacombat.com	www.valhallacombat.com	PARKED	redirects to /lander domain parking page
Vancouver Elite Martial Arts	www.vancouverelitemma.com	www.vancouverelitemma.com	vancouverelitemma.com	PARKED	ParkLogic.com parking page with ad categories
Victory MMA	http://www.coloradovictorymma.com	www.coloradovictorymma.com	coloradovictorymma.com	DEAD	HTTP 500 server error, site not working
Victory Training	http://www.feelthevictory.com	www.feelthevictory.com	feelthevictory.com	WRONG_BUSINESS	personal-training / reserved-space fitness gym
Villardo Jiu-Jitsu Academy	http://www.brjj.com/	www.brjj.com	brjj.com	PARKED	"GoDaddy ""Launching Soon"" placeholder"
Warrior Tribe	http://www.sedonaselfdefense.com/	www.sedonaselfdefense.com	sedonaselfdefense.com	PARKED	GoDaddy domain-for-sale lander
Way Of Life BJJ	wayoflifebjj.wixsite.com	wayoflifebjj.wixsite.com	www.wayoflifebjj.wixsite.com	DEAD	Bare Wix subdomain, no page served
Wolfpack Brazilian Jiu Jitsu - Martial Arts	http://www.wolfpackbjj.com/	www.wolfpackbjj.com	wolfpackbjj.com	DEAD	
Zai Martial Arts Academy	http://www.zaixma.com	www.zaixma.com	zaixma.com	DEAD	page states the academy is closed
Zenith Authentic Brazilian Jiu-Jitsu	http://www.authenticbjj.com	www.authenticbjj.com	authenticbjj.com	HIJACK	"Indonesian slot-gambling site ""MAXWIN89 Slot D"
wolfpac combat ju-jitsu	http://www.wolfpac.co.nr/	www.wolfpac.co.nr	wolfpac.co.nr	PARKED	"redirects to ellisvlad.co.nr ""Cool things are "
