name	stored_url	stored_host	alt_host	original_verdict	original_note
Gracie Jiu-Jitsu Brazil	graciebrazilindiana.com	graciebrazilindiana.com	www.graciebrazilindiana.com	DEAD	page renders no text content, broken shell
Grappling Zone Pearland	http://www.grapplingzonepearland.com	www.grapplingzonepearland.com	grapplingzonepearland.com	PARKED	redirects to /lander domain parking page
Grassroots Jiu-Jitsu	https://grassrootsjiujitsu.com	grassrootsjiujitsu.com	www.grassrootsjiujitsu.com	PARKED	GoDaddy/Afternic lander, no price shown
Grit Training Center	http://www.gritmartialarts.com	www.gritmartialarts.com	gritmartialarts.com	PARKED	GoDaddy domain-for-sale lander
Ground Up Brazilian Jiu-Jitsu	http://mpcle.com/class/ground-up-bjj/	mpcle.com	www.mpcle.com	WRONG_BUSINESS	Miracle Performance strength/conditioning gym;
Hahn Mixed Martial Arts & Fight Promotions	http://www.hahnmma.com/	www.hahnmma.com	hahnmma.com	HIJACK	Chinese Kaiyun (开元) gambling-branded rigging-e
Hard Knocks Muay Thai & Mma	hardknockseverett.com	hardknockseverett.com	www.hardknockseverett.com	WRONG_BUSINESS	Muay Thai and fitness only, no grappling
Hardstyle KBJJ	http://www.hardstylekettlebell.com/	www.hardstylekettlebell.com	hardstylekettlebell.com	WRONG_BUSINESS	kettlebell/strength-training course site, no m
Hayastan MMA	http://www.gokor.com/	www.gokor.com	gokor.com	HIJACK	real gym page carrying an injected German phar
Henry Matamoros Brazilian Jiu-Jitsu	justjitsu.com	justjitsu.com	www.justjitsu.com	PARKED	GoDaddy Auctions lander, domain for sale
Hero MMA Academy	herommaacademy.com	herommaacademy.com	www.herommaacademy.com	PARKED	"Bluehost ""Coming Soon"" placeholder page"
High Voltage Gym	http://www.highvoltagegym.net/	www.highvoltagegym.net	highvoltagegym.net	HIJACK	redirects to Indonesian slots/poker site PEDRO
Hyannis Mixed Martial Arts of Cape Cod	hyannismixedmartialarts.com	hyannismixedmartialarts.com	www.hyannismixedmartialarts.com	WRONG_BUSINESS	now boxing fitness yoga pilates gym, no grappl
Hybrid Nation Martial Arts	http://www.avonmartialarts.com	www.avonmartialarts.com	avonmartialarts.com	HIJACK	redirects to Indonesian slot/togel gambling si
Iceman's Martial Arts Academy	http://www.icemansmartialarts.com/	www.icemansmartialarts.com	icemansmartialarts.com	PARKED	GoDaddy Auctions lander, domain for sale
Impact School Of Martial Arts	groundwarrior.com	groundwarrior.com	www.groundwarrior.com	PARKED	Redirects to BrandBucket domain-for-sale marke
Imperial Martial Arts	http://www.imperialmartialarts.com/	www.imperialmartialarts.com	imperialmartialarts.com	PARKED	GoDaddy domain-for-sale lander
Indiana Combat Grappling	indianama.com	indianama.com	www.indianama.com	WRONG_BUSINESS	Ryukyu Kempo karate school, no grappling
Infinite Jiu-Jitsu Academy	http://www.infinitejiujitsuloveland.com	www.infinitejiujitsuloveland.com	infinitejiujitsuloveland.com	HIJACK	redirects to demoslotjackpot.com Indonesian sl
Invictus Defense Academy	http://invictusdefenseacademy.com/	invictusdefenseacademy.com	www.invictusdefenseacademy.com	PARKED	redirects to kineticharbor.com parked content-
JAO Martial Arts Academy/Caio Terra Brazilian Jiu Jitsu NY	http://www.jao-maa.com	www.jao-maa.com	jao-maa.com	HIJACK	"Chinese ""AG"" gambling-branded SEO site"
John's Gym Mixed Martial Arts & Fitness	https://www.johnsgym.com/	www.johnsgym.com	johnsgym.com	PARKED	GoDaddy/Afternic lander, no price shown
Kajupit MMA & Fitness	http://www.freewebs.com/kajupit/	www.freewebs.com	freewebs.com	PARKED	Webs.com host shutdown notice, redirects to Vi
Kang's Mixed Martial Arts	tigermma.com	tigermma.com	www.tigermma.com	WRONG_BUSINESS	Taekwondo and after-school care, no grappling
Kilian's Martial Arts Center	http://www.kmacoregon.com/	www.kmacoregon.com	kmacoregon.com	HIJACK	redirects to desatahunan.com Indonesian togel/
Knights BJJ	http://knightsbjj.com/	knightsbjj.com	www.knightsbjj.com	HIJACK	SpinBetter online casino/sportsbook in Latvian
Knockout Fitness	http://knockoutfitness.com	knockoutfitness.com	www.knockoutfitness.com	PARKED	BrandBucket domain-for-sale lander
Knuckle Up Fitness	http://www.knuckleupfitness.com/	www.knuckleupfitness.com	knuckleupfitness.com	PARKED	Nexcess hosting placeholder page
KnuckleUp Fitness Alpharetta	http://www.knuckleupfitness.com/	www.knuckleupfitness.com	knuckleupfitness.com	PARKED	Nexcess hosting placeholder page
KnuckleUp MMA & Fitness	http://www.knuckleupfitness.com/	www.knuckleupfitness.com	knuckleupfitness.com	PARKED	Nexcess hosting placeholder page
Komainu Gym	http://www.komainuapparel.com	www.komainuapparel.com	komainuapparel.com	WRONG_BUSINESS	martial arts apparel retailer, not a gym
Komainu/Yemaso Brazilian Jiujitsu/MMA Academy	http://jreamacademy.com	jreamacademy.com	www.jreamacademy.com	PARKED	expired domain lander with related search ads
LCCT Brazilian Jiu Jitsu Barrington	http://www.lcctbjjbarrington.com/	www.lcctbjjbarrington.com	lcctbjjbarrington.com	PARKED	ExpiredDomains.com domain-for-sale listing
Legacy Fitness Factory	http://legacyfitnessfactory.com/	legacyfitnessfactory.com	www.legacyfitnessfactory.com	PARKED	redirects to /lander domain parking page
Lentz Mixed Martial Arts and Boxing	http://www.lentzmma.com/	www.lentzmma.com	lentzmma.com	PARKED	HugeDomains domain-for-sale lander
LifeStyle Brazilian Jiu Jitsu Academy	http://lifestyle-mma.com	lifestyle-mma.com	www.lifestyle-mma.com	HIJACK	redirects to DAX69 Indonesian slot-gambling si
Loyalty BJJ	http://loyaltybjjnj.com/	loyaltybjjnj.com	www.loyaltybjjnj.com	PARKED	GoDaddy Auctions lander, domain for sale
MCF Warpath Boxing and MMA Academy	http://mcfmma.com	mcfmma.com	www.mcfmma.com	PARKED	redirects to scam browser-extension ad monetiz
Maguilla's BJJ Academy	bjjonline.com	bjjonline.com	www.bjjonline.com	PARKED	GoDaddy for-sale lander, $8,995
Mass Best Martial Arts Center	facebook.com	facebook.com	www.facebook.com	WRONG_BUSINESS	Bare Facebook homepage, not school page
Maxx Training Center Martial Arts	maxxtrainingcenter.com	maxxtrainingcenter.com	www.maxxtrainingcenter.com	HIJACK	GACOAN88 Indonesian slot gambling site
Mcallen BJJ	https://mcallenbjj.com	mcallenbjj.com	www.mcallenbjj.com	PARKED	GoDaddy/Afternic lander, no price shown
Metro Detroit Kudo	https://www.gkadojo.com/	www.gkadojo.com	gkadojo.com	WRONG_BUSINESS	Goshin & Kudo Academy dojo in Barry, Wales UK 
