name	stored_url	stored_host	alt_host	original_verdict	original_note
Dan Henderson's Athletic Fitness Center	http://dhfitnesscenter.com/	dhfitnesscenter.com	www.dhfitnesscenter.com	PARKED	GoDaddy expired-domain parking lander, no pric
Daniel Gracie Academy Hyannis	daniel-gracie-academy-hyannis.business.site	daniel-gracie-academy-hyannis.business.site	www.daniel-gracie-academy-hyannis.business.site	DEAD	Google business.site discontinued, empty respo
Daniel Gracie Academy Orleans	gracie-capecod.business.site	gracie-capecod.business.site	www.gracie-capecod.business.site	DEAD	Google business.site discontinued, empty respo
Dark Gift Combat	http://darkgiftcombat.com/	darkgiftcombat.com	www.darkgiftcombat.com	HIJACK	Chinese gambling/sportsbook SEO farm (华体会体育, 星
David Jacobs BJJ Academy	http://www.therockbjj.com	www.therockbjj.com	therockbjj.com	DEAD	memorial tribute page, academy no longer opera
Defense Combatives DEFCOM Alpha Fort Atkinson	defcomma.com	defcomma.com	www.defcomma.com	HIJACK	Aviator crash-game casino affiliate spam
Defense Combatives DEFCOM HQ	defcomma.com	defcomma.com	www.defcomma.com	HIJACK	Aviator crash-game casino affiliate site (1Win
Disciple MMA Academy	http://www.disciplemmaacademy.com/	www.disciplemmaacademy.com	disciplemmaacademy.com	WRONG_BUSINESS	All locations now Greensboro/Burlington, North
Dot Your Eye, INC MMA	http://rivercitywarriors.com/	rivercitywarriors.com	www.rivercitywarriors.com	PARKED	GoDaddy domain-for-sale lander
Drysdale Fight For Us Jiu Jitsu	http://www.drysdalefightforus.com	www.drysdalefightforus.com	drysdalefightforus.com	DEAD	cPanel default web site page, no site
Dynamic MMA	http://www.dynamicjudo.com/	www.dynamicjudo.com	dynamicjudo.com	PARKED	HugeDomains domain-for-sale lander
Dynamic Martial Arts & Fitness Studios	http://www.nitroacademy.com/	www.nitroacademy.com	nitroacademy.com	PARKED	GoDaddy domain-for-sale lander
ECF Martial Arts & Fitness / Brazilian Top Team BTT Charlotte	http://www.eastcoastfighter.com	www.eastcoastfighter.com	eastcoastfighter.com	HIJACK	redirects to SportHiatus, a generic sports/nut
ETHOS Colorado	http://ethoscolorado.com	ethoscolorado.com	www.ethoscolorado.com	WRONG_BUSINESS	strength-training & nutrition-coaching persona
East Lansing Underground Martial Arts	http://www.elunderground.com/	www.elunderground.com	elunderground.com	HIJACK	now Macau gambling casino site in Chinese
EchoValor Striking & MMA	www.echovalor.com	www.echovalor.com	echovalor.com	WRONG_BUSINESS	Veteran storytelling brand, podcast and merch
EchoValor Striking & MMA Beaverton	http://www.echovalor.com	www.echovalor.com	echovalor.com	WRONG_BUSINESS	veteran storytelling podcast/music/Etsy brand,
Eclectic Combat Systems	http://ecsmma.com/	ecsmma.com	www.ecsmma.com	PARKED	Afternic lander, ecsmma.com listed for sale
Edge Fitness Studio	http://www.theedgefit.com/	www.theedgefit.com	theedgefit.com	PARKED	"HugeDomains ""domain for sale"" lander"
Elemental Brazilian Jiu Jitsu	http://www.elementalbjj.com	www.elementalbjj.com	elementalbjj.com	WRONG_BUSINESS	"now an ""Elemental BJJ Camp"" travel/seminar sit"
Elementum Jiu-jitsu	http://www.elementumjiujitsu.com/	www.elementumjiujitsu.com	elementumjiujitsu.com	DEAD	
Enzo Jiu Jitsu / BJJ McAllen TX 78501	http://www.enzojiujitsu.com/	www.enzojiujitsu.com	enzojiujitsu.com	PARKED	HugeDomains for-sale lander
Evolution Mixed Martial Arts Chicago - Schaumburg	http://www.evolutionmmachicago.com/	www.evolutionmmachicago.com	evolutionmmachicago.com	PARKED	redirects to /lander domain parking page
Evolutionary Martial Arts	http://www.evolutionarymartialarts.com/	www.evolutionarymartialarts.com	evolutionarymartialarts.com	PARKED	redirects to /lander domain parking page
FUJI Martial Arts Jiu-Jitsu & Judo Woburn	fujimartialarts.com	fujimartialarts.com	www.fujimartialarts.com	WRONG_BUSINESS	Redirects to Wakefield academy, not Woburn
Fayetteville BJJ	https://fayettevillebjj.com	fayettevillebjj.com	www.fayettevillebjj.com	PARKED	GoDaddy/Afternic for-sale lander
Fearless Fitness	http://www.fearlessfitness.us	www.fearlessfitness.us	fearlessfitness.us	PARKED	GoDaddy Website Builder Launching Soon placeho
Fight Firm	http://fightfirmgym.com	fightfirmgym.com	www.fightfirmgym.com	PARKED	ExpiredDomains.com domain-for-sale lander ($19
Fight to Win Jiu Jitsu Asheville	http://www.ftwbjjasheville.com/	www.ftwbjjasheville.com	ftwbjjasheville.com	PARKED	ExpiredDomains.com domain-for-sale listing
First Shield Defense	firstshielddefense.com	firstshielddefense.com	www.firstshielddefense.com	WRONG_BUSINESS	Church security/firearms training, no grapplin
Fit Club BJJ	http://www.fitclubct.com/	www.fitclubct.com	fitclubct.com	WRONG_BUSINESS	Fit Club strength & conditioning / personal tr
Fit to Fight Atlanta	http://www.ftfatl.com/	www.ftfatl.com	ftfatl.com	PARKED	ExpiredDomains.com domain-for-sale listing
Full Contact Fight Academy	http://www.fullcontactfightacademy.com/	www.fullcontactfightacademy.com	fullcontactfightacademy.com	PARKED	redirects to findakey.net ad directory parking
Fusion Jiu Jitsu	http://fusionjiujitsu.com/	fusionjiujitsu.com	www.fusionjiujitsu.com	PARKED	"bare ""coming soon"" placeholder"
Gameness Sports	http://www.gameness.com/	www.gameness.com	gameness.com	WRONG_BUSINESS	BJJ gi/apparel and mats e-commerce brand, not 
Girl Fight	http://gfight.com/	gfight.com	www.gfight.com	PARKED	redirects to /lander domain parking page
Girl Fight Martial Arts Center	http://www.thegirlfight.com/	www.thegirlfight.com	thegirlfight.com	PARKED	Namecheap parked-domain page
