region	name	city	effective_url	hostname
AB	101 Academy	Calgary	https://101academy.ca/	101academy.ca
AB	Affinity Academy Nolan Hill	Calgary	https://affinityacademy.ca	affinityacademy.ca
AB	Affinity Academy Varsity	Calgary	https://affinityacademy.ca	affinityacademy.ca
AB	Airdrie Martial Arts Centre	Airdrie	https://airdriemartialartscentre.ca	airdriemartialartscentre.ca
AB	Alavanca	Calgary	https://www.alavanca.ca	alavanca.ca
AB	Alliance BJJ Calgary	Calgary	https://www.alliancebjjcalgary.com/	alliancebjjcalgary.com
AB	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	Calgary	https://arashido.com/location/calgary-deerfoot-north/	arashido.com
AB	Arashi-Do Martial Arts Calgary SE Deerfoot Douglasdale	Calgary	https://arashido.com/location/calgary-deerfoot-south-douglasdale/	arashido.com
AB	Arashi-Do Martial Arts Calgary SW Rutland Park	Calgary	https://arashido.com/location/calgary-south-rutland-park/	arashido.com
AB	Arashi-Do Martial Arts Calgary South Acadia	Calgary	https://arashido.com/location/calgary-south-acadia/	arashido.com
AB	Arashi-Do Martial Arts Calgary West Springbank	Calgary	https://arashido.com/location/calgary-west-springbank/	arashido.com
AB	Arashi-Do Martial Arts Cochrane	Cochrane	https://arashido.com/location/cochrane/	arashido.com
AB	Arashi-Do Martial Arts Edmonton East	Edmonton	https://arashido.com/location/edmonton-east/	arashido.com
AB	Arashi-Do Martial Arts Edmonton North	Edmonton	https://arashido.com/location/edmonton-north/	arashido.com
AB	Arashi-Do Martial Arts Edmonton South	Edmonton	https://arashido.com/location/edmonton-south/	arashido.com
AB	Arashi-Do Martial Arts Edmonton West Mayfield	Edmonton	https://arashido.com/location/edmonton-west-mayfield/	arashido.com
AB	Arashi-Do Martial Arts Edson	Edson	https://arashido.com/location/edson/	arashido.com
AB	Arashi-Do Martial Arts Hinton	Hinton	https://arashido.com/location/hinton/	arashido.com
AB	Arashi-Do Martial Arts Leduc	Leduc	https://arashido.com/location/leduc/	arashido.com
AB	Arashi-Do Martial Arts Olds	Olds	https://arashido.com/location/olds/	arashido.com
AB	Arashi-Do Martial Arts Penhold	Penhold	https://arashido.com/location/penhold/	arashido.com
AB	Arashi-Do Martial Arts Red Deer	Red Deer	https://arashido.com/location/red-deer/	arashido.com
AB	Arashi-Do Martial Arts Sherwood Park	Sherwood Park	https://arashido.com/location/sherwood-park/	arashido.com
AB	Arashi-Do Martial Arts Sylvan Lake	Sylvan Lake	https://arashido.com/location/sylvan-lake/	arashido.com
AB	Authentic Jiu Jitsu	Calgary	https://authenticjiujitsu.com	authenticjiujitsu.com
AB	Bairro Brazilian Jiu-Jitsu Academy	Edmonton	https://bairro.ca	bairro.ca
AB	Bairro Martial Arts Academy South	Edmonton	https://bairro.ca	bairro.ca
AB	Black Gold Jiu-Jitsu Academy	Spruce Grove	https://www.blackgoldbjj.com	blackgoldbjj.com
AB	Black Sails Brazilian Jiu Jitsu	Edmonton	https://www.blacksailsbjj.com	blacksailsbjj.com
AB	Bravé MMA and Fitness	Edmonton	https://bravemmaandfitness.com	bravemmaandfitness.com
AB	Canadian Martial Arts Centre	Lethbridge	https://cmcmma.com	cmcmma.com
AB	Carlson Gracie Calgary	Calgary	https://www.carlsongraciecalgary.com	carlsongraciecalgary.com
AB	Champion's Creed Martial Arts North	Calgary	https://championscreed.ca	championscreed.ca
AB	Champion's Creed Martial Arts South	Calgary	https://championscreed.ca/	championscreed.ca
AB	Complete Fitness and Martial Arts	St. Albert	https://www.stalbertmartialarts.com	stalbertmartialarts.com
AB	Dark Horse Martial Arts	Canmore	https://darkhorsemartialarts.ca/	darkhorsemartialarts.ca
AB	Dynamic MMA Calgary	Calgary	https://www.dynamicmma.ca	dynamicmma.ca
AB	Edmonton BJJ	Edmonton	https://edmontonbjj.com	edmontonbjj.com
AB	Edmonton Gracie Jiu-Jitsu	Edmonton	https://edmontongraciejiujitsu.com/	edmontongraciejiujitsu.com
AB	Elite Taekwondo and Brazilian Jiu Jitsu	Edmonton	https://eliteedmonton.ca	eliteedmonton.ca
AB	Frontline Academy Canada	Sherwood Park	https://frontlinebjj.com	frontlinebjj.com
