id	region	name	city	proposed_url
1	CO	Genesis Training Academy	Arvada	https://genesis-fight.com/
6	CO	Gracie Jiu-Jitsu Canon City	Canon City	https://www.gjj-canoncity.com
13	CO	GB Colorado Springs	Colorado Springs	https://graciebarra.com/colorado-springs-co/
20	CO	Nova Mente Jiu Jitsu Academy	Englewood	https://www.novamentebjj.com
23	CO	Gracie Jiu-Jitsu Grand Junction	Grand Junction	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=iDCGTlWq4tRja4132BcL9g%3D%3D
28	CO	Infinite MMA Academy	Loveland	https://infinitemixedmartialarts.perfectmind.com/SocialSite/about-us
32	CO	14ers Jiu Jitsu	Salida	https://www.veritastrainingcenter.co/
47	LA	Extreme Mix Martial Arts	Houma	https://extremefitnessmma.com
56	LA	Mid City Martial Arts & Fitness Academy	New Orleans	https://www.midcitymma.com
57	LA	NOLA MMA	New Orleans	https://www.nolamma.com/
58	LA	The Dojang New Orleans	New Orleans	https://thedojangnola.com/
60	LA	Triad Martial Arts Academy of Ruston	Ruston	https://www.triadmartialartsruston.com/
74	NJ	Real World Martial Arts Team Renzo Gracie	Denville	https://renzograciedenville.com
78	NJ	Team Jucão Elizabeth Brazilian Jiu Jitsu BJJ	Elizabeth	https://www.teamjucaoacademy.com/locations
82	NJ	Gracie Jiu-Jitsu Galloway	Galloway	https://taphousebjj.com/
84	NJ	CE Jiu Jitsu, MMA, boxing, kickboxing Harrison	Harrison	https://chokelabacademy.com/
85	NJ	David Branch Jiu Jitsu	Hoboken	https://dbjjhoboken.com/
87	NJ	CULTR BJJ	Jersey City	https://www.cultrfightclub.com/
91	NJ	Anaconda Brazilian Jiu Jitsu & MMA Academy	Lyndhurst	https://anacondabjjnjny.com/
96	NJ	Advanced Martial Arts	North Brunswick Township	https://advancedbjjnj.com/
104	NJ	Kurt Pellegrino MMA	Wall Township	https://www.pellegrinomma.com/
105	NJ	Up Top Martial Arts Academy	Wayne	https://www.uptopmartialarts.com/
109	NJ	Camal Judo	Woodland	https://camalandcruz.com/
112	OK	Rebellion Martial Arts	Ada	https://www.rebellionmartialarts.com/
113	OK	10th Planet Jiu-Jitsu Altus	Altus	https://www.10thplanetjj.com/locations/altus/
114	OK	Platypus BJJ	Bartlesville	https://platypusbjj.wordpress.com/
118	OK	Team Impact Martial Arts & Fitness	Broken Arrow	https://teamimpactbjj.com/
119	OK	Northside Brazilian Jiu Jitsu	Collinsville	https://www.thenorthsidejiujitsu.com
122	OK	American Elite Mixed Martial Arts	Edmond	https://www.americanelitemma.com/
128	OK	Church BJJ	Muskogee	https://churchjj.com
136	OK	Prowess Brazilian Jiu-Jitsu	Okmulgee	https://www.prowessgym.com/
138	OK	Combat Syndicate	Ponca City	https://combatsyndicate.org/
141	OK	Alexander Jiu-Jitsu	Seminole	https://alexanderjj.com/
