verdict	region	city	name	new_url	evidence
NOT_FOUND	CO	Lafayette	10th Planet Jiu Jitsu Boulder - Lafayette		no current site found
UNSURE	CO	Lakewood	Atos BJJ Lakewood	https://www.facebook.com/people/Atos-Jiu-jitsu-Lakewood/100067582807924/	Facebook page for Atos Jiu-jitsu Lakewood; page body unreadable
FOUND	CO	Lakewood	Flo Life BJJ + Colorado Holistic Martial Arts	https://flolifebjj.com/	9191 West Jewell Avenue Lakewood, Colorado 80232
FOUND	CO	Loveland	Infinite Jiu-Jitsu Academy	https://infinitemixedmartialarts.perfectmind.com/	329 East 3rd Street Loveland, CO 80537
UNSURE	CO	Loveland	Kingsnake Jiu-Jitsu	https://www.facebook.com/p/Kingsnake-Jiu-Jitsu-100068959263196/	Facebook page Kingsnake Jiu-Jitsu Loveland; page body unreadable
UNSURE	CO	Loveland	Northern Colorado Jiu Jitsu	https://www.facebook.com/nocojiujitsu/	Facebook page titled Northern Colorado Jiu Jitsu, Loveland CO
UNSURE	CO	Parker	Kurusan Jiu-Jitsu & Kickboxing	https://www.facebook.com/kurusanbjj/	Facebook page Kurusan Jiu-Jitsu & Kickboxing, Parker CO
FOUND	CO	Parker	Zenith Authentic Brazilian Jiu-Jitsu	https://authenticbjjzenith.com/	First Certified Brazilian Jiu Jitsu Academy in Parker, Colorado
NOT_FOUND	CO	Pueblo	Gracie Barra Pueblo		no current site found
CLOSED	CO	Westminster	Flatirons Mixed Martial Arts Academy		listed CLOSED at 12910 Zuni St, Westminster
NOT_FOUND	CO	Wheat Ridge	ETHOS Colorado		no current site found
UNSURE	CO	Woodland Park	Discipleship Jiu-Jitsu	https://discipleshipjiujitsu.com/	old domain still resolves; page body not readable by fetcher
UNSURE	CT	Ansonia	Casa of Jiu Jitsu	https://www.facebook.com/casaofjiujitsu/	Facebook page Casa Of JiuJitsu, Ansonia CT; body unreadable
NOT_FOUND	CT	Baltic	Shetucket Valley Judo and Sambo		judoct.com now parked on HugeDomains, for sale
NOT_FOUND	CT	Bridgeport	ZR Association CT		no current site found
NOT_FOUND	CT	Danbury	BJJ For Christ Jiu Jitsu		no current site found
FOUND	CT	Danbury	Danbury Academy Mixed Martial Arts	https://www.danbury-academymma.com/	35 Hayestown Rd, Danbury, CT 06811
NOT_FOUND	CT	Danbury	Team Delima Brazilian Jiu-Jitsu Association		no current site found
UNSURE	CT	Enfield	Northeast Elite Wrestling Center	https://www.facebook.com/NortheastEliteTrainingFacility/	Facebook page Northeast Elite Training Facility, Enfield CT
NOT_FOUND	CT	Fairfield	Connecticut Martial Arts Training Center		no current site found
FOUND	CT	Fairfield	Fit Club BJJ	https://www.fitclubbjj.com/	1496 Post Rd, Fairfield CT, 06824
UNSURE	CT	Glastonbury	Fortitude Jiu Jitsu	https://fortitudejj.com/	old domain still resolves and serves live class pages
UNSURE	CT	Hartford	Underdog Brazilian Jiu-Jitsu	https://underdogmma.com/	renamed Underdog MMA, but address is West Hartford not Hartford
UNSURE	CT	New Britain	New Britain Judo and Dynamic Arts	https://www.facebook.com/newbritainjudo.org/	Facebook page New Britain Judo and Dynamic Arts, New Britain CT
NOT_FOUND	CT	North Haven	Ultimate MMA Training Center		old site hijacked, casino spam links injected into pages
UNSURE	CT	Norwalk	Ronin Martial Arts - Westport	https://www.facebook.com/roninwestport/	Facebook page Westport MMA, Norwalk CT
CLOSED	CT	Southington	UFC GYM Southington		listed CLOSED; ufcgym.com Southington page now redirects to locations
FOUND	CT	Stamford	Stamford Judo	https://www.stamfordjudo.com/	100 Research Drive, 2nd floor (unit 16), Stamford, CT 06906
FOUND	CT	Stratford	Cruvinel Brothers Brazilian Jiujitsu / GFTeam	https://cruvinelbros.com/	60 Access Rd, Stratford, CT 06615
UNSURE	CT	Stratford	Iceman's Martial Arts Academy	https://www.facebook.com/icemansmartialartsacademy	Facebook page Iceman's Martial Arts Academy, Stratford CT
UNSURE	CT	Wethersfield	Hartford Dojo	https://www.facebook.com/hartforddojo/	Facebook page Hartford Dojo - LLC, Wethersfield CT
FOUND	FL	Altamonte Springs	Gracie Jiu-Jitsu Altamonte Springs	https://www.graciejiujitsualtamonte.com/	249 W State Road 436 Suite 1085, Altamonte Springs, FL 32714
UNSURE	FL	Cape Coral	Black Trunk Martial Arts	https://www.facebook.com/people/Black-Trunk/100064028171115/	Facebook page Black Trunk, Cape Coral FL; body unreadable
FOUND	FL	Cape Coral	Cali Style MMA	https://calistylemma.carrd.co	1404 del prado blvd south Cape Coral, FL 33990
FOUND	FL	Clermont	GB Clermont	https://www.bjjclermont.com/	16215 S.R. 50, Suite 208, Clermont, FL 34711
NOT_FOUND	FL	Coral Gables	Refit Academy - Coral Gables		no current site found
NOT_FOUND	FL	Dania Beach	ATP Brazilian Jiu Jitsu		no current site found
NOT_FOUND	FL	Dania Beach	Marcelo Meleiro BJJ – Nova Uniao South Florida		no current site found
NOT_FOUND	FL	Davie	Dynamic Martial Arts & Fitness Studios		nitroacademy.com now a GoDaddy for-sale parked page
NOT_FOUND	FL	DeLand	DeLand Brazilian Jiu-Jitsu		no current site found
