region	city	name	address	old_url
CA	La Crescenta	GB La Crescenta	3115 Foothill Blvd; #E	
CA	La Habra	Lucas Leite Brazilian Jiu-Jitsu	819 E La Habra Blvd	http://www.lucasleitebjj.net/
CA	La Mirada	United Mixed Martial Arts	15843 East Imperial Hwy	http://www.unitedmixedmartialarts.com/
CA	Laguna Hills	Joker's MMA	23211 Del Lago Dr. Unit B	http://www.jokersmma.com/
CA	Lake Forest	Oc Jiu-Jitsu & Mixed Martial Arts	22661 Lambert Street #209	http://www.ocjj.com/
CA	Los Angeles	Bang Bang Power Fit	1861 S.Bundy Dr. #208	http://bangbangpowerfit.com/
CA	Los Angeles	Independent Jiu-Jitsu	7901 Melrose Ave Suite 207-208	https://www.independentjiujitsu.co/calendar
CA	Los Angeles	Marcelo Garcia Academy LA		https://marcelogarciaacademy.com/la
CA	Madera	Madera Martial Arts	1920 Modoc St	http://maderamma.com/
CA	Manteca	Jg Academy Manteca	125 W Louise Ave	https://www.jgacademy.net/manteca
CA	Milpitas	Unlimited MMA	1000 Jacklin Road	http://unlimitedmma.com/
CA	Murrieta	Rise Jiu Jitsu Academy	40165 Murrieta Hot Springs Rd Ste K	https://risejiujitsumurrieta.com
CA	North Hollywood	Hayastan MMA	7229 Atoll Ave.	http://www.gokor.com/
CA	Oakland	Catch MMA	1922 Webster St Suite C	https://www.catchmma.com/
CA	Oceanside	UFC Gym Oceanside	2216 S El Camino Real #101	https://www.ufcgym.com/locations/oceanside/
CA	Orange	OC Carlson Gracie Jiu Jitsu	3702 E Chapman Ave # E	https://www.carlsongracieoc.com/
CA	Orange	UFC GYM Orange	1605 E Collins Ave	https://www.ufcgym.com/locations/orange/
CA	Pacifica	Thrive Jiu Jitsu	215 Rockaway Beach Blvd	http://www.thrivemartialarts.com
CA	Paso Robles	GB Paso Robles	2200 Golden Hill Road	https://gbpasorobles.com/
CA	Riverside	Riverside MMA	6250 Brockton Ave	http://mmariverside.com/
CA	Rocklin	SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	6160 Stanford Ranch Rd STE 800	http://sllgrapplingacademy.com/
CA	Sacramento	UFC GYM Sacramento	8241 Bruceville Rd #140	https://www.ufcgym.com/locations/sacramento/
CA	San Diego	Boxing Club	8650 Genesee Ave # 206	http://theboxingclub.net/
CA	San Francisco	10th Planet Jiu Jitsu San Francisco	261 S Van Ness Ave	http://10thplanetjiujitsusf.com/
CA	San Francisco	Ralston Gracie Jiu Jitsu	1475 Polk St Fl 2	http://www.ralstongracie.com
CA	San Jose	I M C Survival Center	916 S Bascom Ave	http://www.imcsurvivalcenter.com/
CA	San Jose	Knoxx Martial Arts and Fitness	4424 Pearl Avenue	https://knoxxgym.com
CA	San Jose	Tribull MMA Center	1043 Garland Avenue (at Race St.); Suite 1	http://tribullmma.typepad.com/my_weblog/
