region	city	name	address	old_url
FL	Miami Beach	Miami Beach Brazilian Jiu-Jitsu	1510 Alton Rd	http://www.rioheroes-jorgepereira.com
FL	Miramar	American Top Team Miramar Jiu Jitsu & MMA	11601 Red Rd	http://www.attmiramar.com/
FL	Naples	Gracie Barra – Naples	771 Airport Road North	http://www.graciebarranaples.com/
FL	Ocala	GTK Academy of Martial Arts		https://gtkacademy.com/
FL	Orange City	Orange City Academy Of Mixed Martial Arts	2452 S. Volusia Ave.	http://theacademyofmma.com/
FL	Orange City	USD & MMA Fitness	2751 Enterprise Rd #214	http://www.mmagetfit.com/
FL	Orange Park	Combat Athletix	3600 Peoria RD #203	http://www.combatathletix.com/
FL	Orlando	Atos Orlando - Brazilian Jiu-Jitsu (BJJ) and Self-Defense School	12445 S Orange Blossom Trl	http://www.atosorlando.com/
FL	Orlando	Ronin Training Center Orlando		https://www.roninorlandofl.com/
FL	Oxford	Robson Moura Jiu-Jitsu	P.O. Box 40	http://www.usajujitsu.net/
FL	Pensacola	Team Remedy		https://teamremedymma.com/
FL	Plantation	Kumite Martial Arts	4150 Peters Rd	http://www.kumitemartialarts.com/
FL	Sarasota	BJJ Academy Of Sarasota (wbjja)	935 N Beneva Rd	http://www.wbjja.com/
FL	Sarasota	Wolfpack Brazilian Jiu Jitsu - Martial Arts	3627 Webber St unit b	http://www.wolfpackbjj.com/
FL	St. Augustine	Relson Gracie Jiu-Jitsu Academy St. Augustine	50 S Dixie Hwy #8	http://www.mma4florida.com/
FL	St. Cloud	Full Circle MMA	3282 Canoe Creek Rd.	http://www.nucfl.com/
FL	St. Petersburg	Elite Training Center	1144 94th Avenue North	http://www.elitetraininginc.com/
FL	St. Petersburg	Synergy Martial Arts and Fitness	5530 4th St N	http://synergymartialarts.fitness/
FL	Stuart	Fist Factory	2201 SE Indian Street; Building Q7	http://www.thefistfactory.com/
FL	Sunrise	American Tigers Martial Arts		https://americantigers.com/
FL	Sunrise	Imperial Martial Arts	1375 Shotgun Rd	http://www.imperialmartialarts.com/
FL	Tarpon Springs	New Port Richey Jiu-jitsu Academy	805 Live Oak St	http://nprbjj.com/
FL	Vero Beach	Gracie Martial Arts – Vero Beach	974 14th Lane	http://www.graciemartialartsverobeach.com
FL	Vero Beach	Renato Tavares Assoc HQ	6200 20th St Ste 210	http://www.legacymmausa.com/
FL	Wellington	Villardo Jiu-Jitsu Academy	12160 S Shore Blvd #109	http://www.brjj.com/
FL	West Palm Beach	Hands Down Martial Arts	539 Ogston St	http://www.wpbmma.com/
FL	Weston	Vprok MMA Academy	16098 W. State Rd. 84	http://www.vprokmma.com/United_States.html
FL	Wildwood	USA Jiu-Jitsu	8520 NE 43rd Way	http://www.usajujitsu.net/
FL	Winter Park	Elementum Jiu-jitsu	1154 Solana Ave	http://www.elementumjiujitsu.com/
FL	Winter Springs	UFC GYM Winter Springs	1425 Tuskawilla Rd #209	https://www.ufcgym.com/locations/winter-springs/
GA	Alpharetta	KnuckleUp Fitness Alpharetta	5815 Windward Pkwy #100	http://www.knuckleupfitness.com/
GA	Atlanta	Atlanta Kyusho and Jujitsu	2213 Faulkner Rd NE	http://www.atlantajujitsu.com/
GA	Augusta	Gracie Barra - Augusta	3475 Old Petersburg Rd	http://gbaugusta.com/
GA	Blue Ridge	Gracie Barra Blue Ridge	21 High Park Dr	https://graciebarra.com/blue-ridge-ga/
GA	Chamblee	Fit to Fight Atlanta	3308 Laventure Dr B160	http://www.ftfatl.com/
GA	Covington	Ruff House Boxing and MMA	4111A West Robinson St	https://www.ruffhouseboxing.com/
GA	Cumming	World Jiu-Jitsu Academy	433 Canton Road #313	http://worldjiujitsuatlanta.com/
GA	Douglasville	KnuckleUp MMA & Fitness	4040 Chapel Hill Rd	http://www.knuckleupfitness.com/
GA	Ellijay	GB Ellijay	81 Ward Ln	https://graciebarra.com/ellijay-ga/
GA	Fort Oglethorpe	Blalock International Mixed Martial Arts Academy	747 Battlefield Pkwy	http://www.blalocksimb.com/
GA	Hinesville	Team Kalista Martial Arts	809 Willowbrook Dr Suite 112	http://teamkalistamartialarts.wodify.com/
GA	Hoboken	Invictus Brazilian Jiu Jitsu & Defensive Arts	4869 W Main St Suite D	http://invictusbjj.online/
GA	Marietta	Advantage Jiu-Jitsu and Self Defense	3951 Mary Eliza Trace NW	https://www.advantagejj.com/
GA	Marietta	East Cobb Martial Arts	2635 Sandy Plains Rd, Suite 106	http://www.eastcobbma.com/
GA	Marietta	Fusion MMA	1075 Whitlock Ave. Suite E	http://fusionfitnessandmma.com/
GA	Peachtree City	Gracie Jiu-Jitsu Balance Academy	277 N. Highway 74, Suite 110	http://www.graciebalance.com/
GA	Perry	10th Planet Jiu Jitsu Perry	1201 Main St	http://www.10thplanetperry.com/
GA	Pooler	Coastal Combatives	45 Columbia Drive Suite 300	http://www.coastalcombatives.com/
GA	Pooler	Redline MMA	428 US Highway 80 E	http://www.redlinemma.com/
GA	Powder Springs	Tekniques Brazilian Jiu-Jitsu & Fitness	5780 CH James Pkwy, Suite 130	http://www.tekniquesbjj.com/
GA	Sandy Springs	Knuckle Up Fitness	4540 Roswell Rd	http://www.knuckleupfitness.com/
GA	Savannah	Champions Training Center	4511 Montgomery St	http://www.ctcsavannah.com
GA	Sylvester	Sylvester Jiu-Jitsu Academy	101B N Washington St	http://sylvesterjiujitsu.com/
GA	Tifton	Redemption Martial Arts Academy	201 Central Ave	http://www.martialartstifton.com/
GA	Valdosta	American Top Team Valdosta	4354 Valnorth Dr	http://att229.com/
GA	Warner Robins	Zanshin South Gracie Jiu Jitsu	233 N Houston Road	http://www.zanshinsouthgraciejiujitsu.com/
IA	Davenport	Fighting Gravity Jiu Jitsu		https://fightinggravityjiujitsu.com
IA	Mason City	Tsunami Flow Jiu Jitsu		https://www.tsunamiflowjiujitsu.com
ID	Garden City	Gracie Barra Boise	5681 N Glenwood St, Garden City, ID 83714	https://graciebarra.com/boise-id
ID	Pocatello	Snake River MMA		https://snakerivermma.com
