verdict	region	city	name	new_url	evidence
UNSURE	CA	La Crescenta	GB La Crescenta	https://www.facebook.com/gblacrescenta/	Facebook page named Gracie Barra La Crescenta; body not readable
FOUND	CA	La Habra	Lucas Leite Brazilian Jiu-Jitsu	https://lucasleitebjj.com/	819 E La Habra Blvd, La Habra, CA 90631
NOT_FOUND	CA	La Mirada	United Mixed Martial Arts		no current site found
CLOSED	CA	Laguna Hills	Joker's MMA		Yelp: Joker's MMA, 23211 Del Lago Dr - CLOSED
CLOSED	CA	Lake Forest	Oc Jiu-Jitsu & Mixed Martial Arts		Yelp: Orange County Jiu-Jitsu & MMA, 22661 Lambert - CLOSED
NOT_FOUND	CA	Los Angeles	Bang Bang Power Fit		no current site found
UNSURE	CA	Los Angeles	Independent Jiu-Jitsu	https://www.independentjiujitsu.co	Old .co domain still indexed live at 7901 Melrose Ave
NOT_FOUND	CA	Los Angeles	Marcelo Garcia Academy LA		marcelogarciajj.com lists only NYC and Hawaii
FOUND	CA	Madera	Madera Martial Arts	https://www.maderamartialarts.com/	325 S Pine St, Ste 109, Madera, CA 93637
UNSURE	CA	Manteca	Jg Academy Manteca	https://byanymeansjiujitsu.com/	Renamed By Any Means Jiu-Jitsu; address not readable on page
FOUND	CA	Milpitas	Unlimited MMA	https://smashsunnyvale.com/locations/milpitas/	1000 Jacklin Rd, Milpitas, CA 95035
UNSURE	CA	Murrieta	Rise Jiu Jitsu Academy	https://www.instagram.com/risejiujitsu/	Instagram labelled Murrieta, CA; old domain also still indexed
UNSURE	CA	North Hollywood	Hayastan MMA	https://www.gokor.com/	Old domain live; footer 7229 Atoll Ave, North Hollywood
UNSURE	CA	Oakland	Catch MMA	https://catchmma.com/	Old domain live, cites Oakland trainers; Yelp lists closed
CLOSED	CA	Oceanside	UFC Gym Oceanside		Yelp: UFC GYM OCEANSIDE, 2216 S El Camino Real - CLOSED
UNSURE	CA	Orange	OC Carlson Gracie Jiu Jitsu	https://www.carlsongracieoc.com/	Old domain live: 3702 East Chapman Ave. Suite E, Orange
CLOSED	CA	Orange	UFC GYM Orange		Yelp: UFC GYM ORANGE, 1605 E Collins St - CLOSED
FOUND	CA	Pacifica	Thrive Jiu Jitsu	https://www.thrivejiujitsuschool.com/	215 Rockaway Beach Avenue, Pacifica, CA 94044
UNSURE	CA	Paso Robles	GB Paso Robles	https://graciebarra.com/paso-robles-ca/	GB location page indexed: 2200 Golden Hill Road, Paso Robles
FOUND	CA	Riverside	Riverside MMA	https://riversidemma.com/	6250 Brockton Ave, Riverside, CA 92506
UNSURE	CA	Rocklin	SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	https://www.instagram.com/sll_grappling_academy_rocklin/	Instagram handle names Rocklin; old domain dead, body unreadable
CLOSED	CA	Sacramento	UFC GYM Sacramento		Yelp: UFC GYM SACRAMENTO, 8241 Bruceville Rd - CLOSED
