verdict	region	city	name	new_url	evidence
FOUND	FL	Miami Beach	Miami Beach Brazilian Jiu-Jitsu	https://www.jorgepereirajiujitsu.com/	Jorge Pereira Jiu-Jitsu Academy, 634 6th Street, Miami Beach, FL 33139
CLOSED	FL	Miramar	American Top Team Miramar Jiu Jitsu & MMA		Yelp listing reads "AMERICAN TOP TEAM MIRAMAR - CLOSED"; old domain hijacked
NOT_FOUND	FL	Naples	Gracie Barra – Naples		no current site found
UNSURE	FL	Ocala	GTK Academy of Martial Arts	https://www.gtkmartialartsacademy.com/	Same name/instructor but page says Palm Bay, not Ocala
NOT_FOUND	FL	Orange City	Orange City Academy Of Mixed Martial Arts		no current site found
NOT_FOUND	FL	Orange City	USD & MMA Fitness		no current site found
FOUND	FL	Orange Park	Combat Athletix	https://smileyacademyjax.com/	Smiley Academy/Combat Athletix, 2177 Kingsley Ave #21, Orange Park FL
FOUND	FL	Orlando	Atos Orlando - Brazilian Jiu-Jitsu (BJJ) and Self-Defense School	https://atosjiujitsuhq.com/affiliate/south-orlando/	"Atos Orlando, 12369 South Orange Blossom Trail, Orlando, FL 32837"
NOT_FOUND	FL	Orlando	Ronin Training Center Orlando		no current site found
NOT_FOUND	FL	Oxford	Robson Moura Jiu-Jitsu		no current site found
UNSURE	FL	Pensacola	Team Remedy	https://miltonflbjj.com/	Team Remedy BJJ, 6333 Old Bagdad Hwy Milton FL; not Pensacola
UNSURE	FL	Plantation	Kumite Martial Arts	https://www.facebook.com/kumitemma1/	Facebook page titled after-school program, Plantation FL; name not exact
NOT_FOUND	FL	Sarasota	BJJ Academy Of Sarasota (wbjja)		no current site found
UNSURE	FL	Sarasota	Wolfpack Brazilian Jiu Jitsu - Martial Arts	https://wolfpackjj.com/	Indexed as Wolfpack Sarasota jiu jitsu; page body would not load
FOUND	FL	St. Augustine	Relson Gracie Jiu-Jitsu Academy St. Augustine	https://www.philcardella.com/	1605 Old Moultrie Road, St. Augustine, FL 32084
NOT_FOUND	FL	St. Cloud	Full Circle MMA		no current site found
NOT_FOUND	FL	St. Petersburg	Elite Training Center		no current site found
FOUND	FL	St. Petersburg	Synergy Martial Arts and Fitness	https://www.facebook.com/SenseiPonySynergyMartialArts/	Page titled "Synergy Martial Arts and Fitness | Saint Petersburg FL"
NOT_FOUND	FL	Stuart	Fist Factory		no current site found
UNSURE	FL	Sunrise	American Tigers Martial Arts	https://www.americantigersmartialarts.com/	Site says 159 Weston Rd, Weston FL - not Sunrise
NOT_FOUND	FL	Sunrise	Imperial Martial Arts		no current site found; address now Premier Martial Arts Weston
FOUND	FL	Tarpon Springs	New Port Richey Jiu-jitsu Academy	https://www.jjpusa.org/	The Jiujitsu Project, 805 Live Oak Street, Tarpon Springs, FL
NOT_FOUND	FL	Vero Beach	Gracie Martial Arts – Vero Beach		no current site found
FOUND	FL	Vero Beach	Renato Tavares Assoc HQ	http://www.attverobeach.com/	ATT Vero Beach, 6200 20th Street Room 210, Vero Beach FL 32966
NOT_FOUND	FL	Wellington	Villardo Jiu-Jitsu Academy		no current site found
FOUND	FL	West Palm Beach	Hands Down Martial Arts	https://handsdownmartialarts.com/	2601 S Military Trail #10, West Palm Beach, FL 33415
NOT_FOUND	FL	Weston	Vprok MMA Academy		no current site found
NOT_FOUND	FL	Wildwood	USA Jiu-Jitsu		no current site found
FOUND	FL	Winter Park	Elementum Jiu-jitsu	https://www.facebook.com/elementumjiujitsu/	Page titled "Elementum Jiu-jitsu | Winter Park FL"
UNSURE	FL	Winter Springs	UFC GYM Winter Springs	https://www.ufcgym.com/locations/winter-springs	Original location page is live: 1425 Tuskawilla Rd #209, Winter Springs
NOT_FOUND	GA	Alpharetta	KnuckleUp Fitness Alpharetta		no current site found; knuckleupfitness.com is a blank host page
NOT_FOUND	GA	Atlanta	Atlanta Kyusho and Jujitsu		no current site found
NOT_FOUND	GA	Augusta	Gracie Barra - Augusta		no current site found
FOUND	GA	Blue Ridge	Gracie Barra Blue Ridge	https://www.facebook.com/GBBlueridge	Page titled "Gracie Barra Blue Ridge | Blue Ridge GA"
UNSURE	GA	Chamblee	Fit to Fight Atlanta	https://ftfatl.net/	Successor "Fight the Fear Krav Maga", 3293 Buford Hwy NE, Atlanta - not Chamblee
UNSURE	GA	Covington	Ruff House Boxing and MMA	https://www.facebook.com/ruffhousemma/	Ruffhouse MMA and Fitness page; city not shown in page title
NOT_FOUND	GA	Cumming	World Jiu-Jitsu Academy		no current site found
FOUND	GA	Douglasville	KnuckleUp MMA & Fitness	https://www.knuckleupacademy.com/	Knuckle Up Academy, 7475 Douglas Blvd Suite 204, Douglasville, GA 30135
FOUND	GA	Ellijay	GB Ellijay	https://gbellijay.com/	81 Ward Lane, Ellijay, Georgia 30540
UNSURE	GA	Fort Oglethorpe	Blalock International Mixed Martial Arts Academy	https://www.facebook.com/BlalocksMMA/	Page titled Blalock's International MMA & Boxing Academy, Ringgold GA
FOUND	GA	Hinesville	Team Kalista Martial Arts	https://teamkalistabjj.com/	838 Elma G Miles Pkwy, Hinesville, GA 31313
NOT_FOUND	GA	Hoboken	Invictus Brazilian Jiu Jitsu & Defensive Arts		no current site found
NOT_FOUND	GA	Marietta	Advantage Jiu-Jitsu and Self Defense		no current site found
UNSURE	GA	Marietta	East Cobb Martial Arts	https://eastcobbmartialarts.com/	Live domain separate from dead old site; page body would not load
NOT_FOUND	GA	Marietta	Fusion MMA		no current site found
UNSURE	GA	Peachtree City	Gracie Jiu-Jitsu Balance Academy		not researched: web search quota exhausted
UNSURE	GA	Perry	10th Planet Jiu Jitsu Perry		old domain now hijacked gambling site; no replacement researched
NOT_FOUND	GA	Pooler	Coastal Combatives		old site under construction, moved to Richmond Hill YMCA
UNSURE	GA	Pooler	Redline MMA		not researched: web search quota exhausted
UNSURE	GA	Powder Springs	Tekniques Brazilian Jiu-Jitsu & Fitness		not researched: web search quota exhausted
NOT_FOUND	GA	Sandy Springs	Knuckle Up Fitness		knuckleupfitness.com is a blank host page; Yelp shows location CLOSED
UNSURE	GA	Savannah	Champions Training Center		not researched: web search quota exhausted
UNSURE	GA	Sylvester	Sylvester Jiu-Jitsu Academy		not researched: web search quota exhausted
UNSURE	GA	Tifton	Redemption Martial Arts Academy		not researched: web search quota exhausted
UNSURE	GA	Valdosta	American Top Team Valdosta		not researched: web search quota exhausted
UNSURE	GA	Warner Robins	Zanshin South Gracie Jiu Jitsu		not researched: web search quota exhausted
UNSURE	IA	Davenport	Fighting Gravity Jiu Jitsu		not researched: web search quota exhausted
UNSURE	IA	Mason City	Tsunami Flow Jiu Jitsu		not researched: web search quota exhausted
FOUND	ID	Garden City	Gracie Barra Boise	https://gbboise.com/	Gracie Barra Boise site, phone (208) 488-4599 matches listing
UNSURE	ID	Pocatello	Snake River MMA		not researched: web search quota exhausted
