name	url	region	city	address
101 Academy	https://101academy.ca/	AB	Calgary	5192 80 Ave SE, Calgary, AB
10th Planet BJJ Bloomsburg at Mid World Martial Arts	https://www.midworldmartialarts.com/	PA	Bloomsburg	32 E Ridge Ave
10th Planet Birmingham	https://mmabirmingham.com/	AL	Birmingham	
10th Planet Boca Raton	https://10thplanetboca.com/	FL	Boca Raton	170 Yamato Rd
10th Planet Chino Hills	https://www.10thplanetchinohills.com/	CA	Chino Hills	4070 Chino Hills Parkway
10th Planet Corona	https://10thplanetjjcor.com	CA	Corona	12391 Sampson St
10th Planet Corvallis	https://www.facebook.com/10PCorvallis/	OR	Corvallis	195 SE Crystal Lake Dr
10th Planet El Paso	https://10thplanetelpaso.com/contact/	TX	El Paso	1491 N Lee Treviño Dr Ste. J
10th Planet Fredericksburg	https://www.10thplanetfxbg.com/	VA	Fredericksburg	19 Baron Park Rd #101
10th Planet Georgetown	https://10pgtx.com/	TX	Georgetown	1523 Northwest Blvd
10th Planet Goodyear	https://www.10thplanetgoodyear.com/	AZ	Avondale	
10th Planet Jiu JItsu Murrieta	https://www.10thplanetjjmurrieta.com	CA	Murrieta	26305 Jefferson Ave. Ste. L
10th Planet Jiu Jitsu Albuquerque	https://10pabq.com	NM	Albuquerque	237 Eubank Blvd NE, Albuquerque, NM 87123
10th Planet Jiu Jitsu Allentown	https://www.10thplanetallentown.com/	PA	Allentown	349 S Cedar Crest Blvd
10th Planet Jiu Jitsu Beaumont	https://www.10thplanetbeaumontjiujitsumma.com/	TX	Beaumont	5925 Caswell Rd
10th Planet Jiu Jitsu Chicago	https://www.10thplanetchicago.com/	IL	Chicago	6154 W Higgins Ave
10th Planet Jiu Jitsu Decatur	https://decaturbrazilianjiujitsu.com/	AL	Decatur	108 Lenwood Rd SE
10th Planet Jiu Jitsu Jacksonville	https://www.10pjax.com/	FL	Jacksonville	4849 Dawin Rd #2
10th Planet Jiu Jitsu Las Vegas	https://www.10thplanetlasvegas.com	NV	Henderson	1225 W Warm Springs Rd Ste 140
10th Planet Jiu Jitsu Lombard	https://www.10plombard.com/	IL	Lombard	1060 Dupage Ave
