verdict	name	region	url	note
OK	Combat Sport and Fitness	NV	https://m.facebook.com/combatsportandfitnessreno	542 Greenbrae, Sparks NV; MMA/BJJ/wrestling gym
DEAD	Combative Fighting Systems Brazilian Jiu Jitsu	CO	https://cfsfalcon.com	Flywheel hosting placeholder, domain not configured
DEAD	Coosa Jiu Jitsu & Wellness	AL	https://www.coosajiujitsuandwellness.com/	Squarespace website expired, account lapsed
STRIKING_ONLY	Counter Point Martial Arts	OR	https://www.facebook.com/CPMATKD	Taekwondo, Kempo, Hapkido only; Woodburn OR
OK	Criterion Jiu Jitsu	LA	https://www.facebook.com/people/Criterion-Jiu-Jitsu/100064091672810/	40017 LA-42, Prairieville LA; BJJ
OK	CrowesNest BJJ	MI	https://www.facebook.com/CRowesNestBJJ/	67964 Myrtle Rd, White Pigeon MI; BJJ academy
OK	Cultr Fight Club	NJ	https://www.cultrfightclub.com/brazilianjiujitsu	Jersey City BJJ gym; deep link 404s, site live
DEAD	Cyclone Brazilian Jiu Jitsu	LA	https://cyclonejj.com/	Website Unavailable, MarketMuscles site disabled
OK	DE LA O Jiu-Jitsu	CA	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	8381 Katella Ave, Stanton CA; jiu jitsu
PARKED	David Kaplan Martial Arts	NY	https://www.davidkaplanmartialarts.com	Domain expired, registrar lander with ad links
OK	Decatur Brazilian Jiu Jitsu	IL	https://www.facebook.com/DecaturBJJ/	133 E Barnett Ave, Forsyth IL; BJJ club
OK	Denver Jiu Jitsu - Rodrigo Salazar Team	CO	https://www.denverjiujitsu.com	6750 E Chenango Ave, Denver; real BJJ site, no spam
OK	Different Breed MMA	TX	https://www.facebook.com/differentbreedmma/	313 Paris Ave, Lubbock TX; BJJ, Muay Thai, MMA
PARKED	Double Five Jiu Jitsu	TX	https://www.doublefiveonline.com	Domain expired, registrar lander with ad links
WRONG_BUSINESS	DualForces 001 Brazilian Jiu-Jitsu	NC	https://dualforces.com/	DUALFORCES creative branding agency, not the school
OK	East West Karate and BJJ Somerset	KY	https://www.facebook.com/eastwestmartialarts/	East West Martial Arts Somerset; karate and BJJ
OK	Edge MMA and Fitness	CO	https://www.facebook.com/teamedgemma	5305 E Colfax Ave, Denver CO; grappling
OK	El Dorado Martial Arts	AR	https://www.facebook.com/people/El-Dorado-Martial-Arts/100092167328803/	1920 North College, El Dorado AR; BJJ
OK	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	TX	https://www.facebook.com/elpaso.jiujitsu/	Alliance Jiu Jitsu El Paso, 11385 James Watt Dr
OK	Elite Martial Arts Center	PA	https://www.facebook.com/EliteFamilyMA/	Waynesboro PA, jiu-jitsu; FB flags Permanently Closed
OK	Elkhorn BJJ	NE	https://www.elkhornbjj.com	3203 N 204th St, Elkhorn NE; BJJ and judo
OK	Endure Cross- Training	TX	https://www.facebook.com/pages/category/Martial-Arts-School/Endure-Cross-Training-102074864972461/	1647 N Frazier St, Conroe TX; martial arts school
OK	Ethos Martial Arts	AZ	https://ethosmartialartsaz.com/about-us/	Queen Creek AZ BJJ; about-us 404s, homepage live
DEAD	Evolution Jiu Jitsu	AK	https://evojj.com/	Will not load on any host form
OK	Evolution Jiu Jitsu Burlington	WI	https://facebook.com/EvolutionBJJ.Burlington	Underground, Burlington WI; Brazilian Jiu Jitsu
OK	Evolution X Martial Arts and Fitness	GA	https://evolutionxma.com/try-a-drop-in-class/	East Cobb/Marietta GA BJJ; deep link 404s
OK	F-5 Grappling	OK	https://www.facebook.com/f5grappling/	660 W SW 59th St, Mustang OK; wrestling
STRIKING_ONLY	Fight Fitness Center (FFC)	FL	https://www.fightfitnesscenter.net/	Pinellas Park FL; boxing, kickboxing, Muay Thai only
OK	Fight Sports Charlotte	NC	https://fightsportscharlotte.com	Charlotte NC; Brazilian Jiu Jitsu school
DEAD	Fight Sports Miami	FL	https://fightsportsmiami.com/	Will not load on any host form
OK	Finishers Jiu Jitsu	OH	https://business.facebook.com/10thplanetmasury/	847 Brookfield Ave, Masury OH; 10th Planet jiu-jitsu
OK	Flawless Victory MMA	CA	https://www.facebook.com/FlawlessVictoryMma/	737 W Ridgecrest Blvd, Ridgecrest CA; BJJ, grappling
OK	Flood City JiuJitsu	PA	https://www.facebook.com/Flood-City-Jiu-Jitsu-102267197991568/	445 Schoolhouse Rd, Johnstown PA; jiu jitsu
OK	Foley's Martial Arts	NL	https://foleysmartialarts.com	Newfoundland Canada; thin one-page site, Gracie Jiu Jitsu
STRIKING_ONLY	Forever Driven Martial Arts	LA	https://foreverdrivennola.com/	New Orleans; taekwondo and kids programs only
STRIKING_ONLY	Frankfort Martial Arts	KY	https://martialartsky.com/	Frankfort KY; taekwondo and kickboxing only
WRONG_BUSINESS	GB Boynton Beach	FL	https://sbgboyntonbeach.com/	SBG Straight Blast Gym Boynton Beach, not Gracie Barra
OK	GB Cedar Hill	TX	https://www.gbcedarhill.com	329 N Hwy 67, Cedar Hill TX; Gracie Barra
DEAD	GB Fort Bend	TX	https://gbfortbend.com/	Wix domain not connected to a site
OK	GB Lake Charles	LA	https://gblakecharles.com/	Gracie Barra Lake Charles LA; BJJ programs
OK	GB Northridge	CA	https://www.gbnorthridge.com/	19520 Nordhoff St, Northridge CA; Gracie Barra
PARKED	GB Sorrento Valley	CA	https://gbsorrentovalleybjj.com/	Redirects to expireddomains.com for-sale lander
DEAD	GB Whittier	CA	https://www.gbwhittier.com	ClickFunnels account temporarily paused by owner
DEAD	Gladiator Martial Arts	NC	https://www.facebook.com/Gladiator.MartialArt/	Facebook page unavailable or deleted
OK	Gladiator Sports Fitness MMA	FL	https://www.facebook.com/gladiatorsportsfitnessmma/	224 W 29 St, Hialeah FL; judo and MMA
OK	Glory Martial Arts and Fitness	NC	https://www.facebook.com/spencerthekingfisher/	58 Sunrise Park, Sylva NC; jiu-jitsu taught
OK	Go Hard MMA & Fitness	OR	https://www.facebook.com/Gohardmmafitness/	10534 NE Sandy Blvd, Portland OR; jiu-jitsu
OK	Golden Eagle Judo & Jiu-Jitsu	NJ	https://www.facebook.com/Goldeneaglejudo/	313 1st Ave, Elizabeth NJ; judo and jiu-jitsu
OK	Gracie Barra Calgary	AB	https://graciebarracalgary.ca	Gracie Barra Calgary; BJJ programs, site renders fine
