verdict	name	region	city	url	note
OK	Kearney Combat Sports and Fitness	NE	Kearney	https://kearneycombatsports.com	BJJ wrestling MMA, Kearney NE address listed
OK	Kenny Kim BJJ	GA	Marietta	https://kennykimbjj.com/	Gracie BJJ academy, Whitlock Ave Marietta GA
OK	Kevin Watson Brazilian Jiu-Jitsu	NH	Dover	https://www.kwbjj.com	BJJ school, locations page lists Dover NH
OK	Kiefer's Martial Arts	RI	Westerly	https://kiefersmartialarts.com	Karate plus BJJ program, Westerly RI address
OK	Kilo Delta BJJ and MMA	SC	Myrtle Beach	https://www.kilodeltabjjsc.com	BJJ MMA academy, Myrtle Beach SC address
OK	Kingdom Jiu Jitsu	VT	Hardwick	https://sites.google.com/view/kingdomjiujitsu/home	Own site, BJJ gym in Hardwick Vermont
OK	Kingdom Jiu Jitsu Academy	NM	Carlsbad	https://kingdombjj.com	BJJ grappling academy, Carlsbad NM address listed
AGGREGATOR	Kingman Riot MMA LLC	AZ	Kingman	https://kingmanriotmma.gymdesk.com/	Gymdesk booking platform page, not own site
SUSPECT	Kings Combat	NY	Brooklyn	https://kingscombatwillyb.com/	striking only, no grappling
SUSPECT	Kings Combat Fitness	NY	Rego Park	https://kingscombatfitness.com	striking only, no grappling
OK	Kings Jiu Jitsu	NM	Las Cruces	https://www.kingsjiujitsucruces.com	BJJ school, W Picacho Ave Las Cruces NM
OK	Kingsway Jiu-Jitsu	TX	Austin	https://kingswayjiujitsu.com	Jiu-jitsu academy, North Austin TX address
OK	Kioto BJJ Southwest	AZ	Chandler	https://kiotobjjsouthwest.com/	BJJ academy, Alma School Rd Chandler AZ
WRONG_CITY	Kioto Brazilian Jiu Jitsu	NY	New York	https://www.kiotobjj.com/	Oakdale, Long Island NY
OK	Kioto Brazilian Jiu-Jitsu Chattanooga	TN	Chattanooga	https://www.kiotobjjchattanooga.com	BJJ school, Lee Hwy Chattanooga TN address
OK	Knots Jiu Jitsu	NB	Moncton	https://knotsjj.ca	BJJ academy, Mountain Road Moncton NB address
OK	Knoxville Martial Arts Academy	TN	Knoxville	https://knoxmma.com	MMA BJJ academy, Chapman Highway Knoxville TN
OK	Knuckle Up Martial Arts	FL	Jacksonville	https://martialartsjacksonvillefl.com/	Machado BJJ affiliate, Jacksonville FL 32223 zip
OK	Kobukai Jujitsu - South Windsor	CT	South Windsor	https://www.ctjujitsu.com/	Japanese jujitsu grappling, Sullivan Ave South Windsor
OK	Kobukan Martial Arts Academy	VA	Norfolk	https://kmadojo.org/	BJJ programs, new Norfolk VA address listed
OK	Kombat Arts Training Academy	ON	Mississauga	https://kombatarts.com	BJJ wrestling MMA training, Mississauga Ontario stated
OK	Kombat Brazilian Jiu-Jitsu	NJ	Clark	https://kombatjits.com/	BJJ school, Central Avenue Clark NJ
OK	Kore Brazilian Jiu-Jitsu NWA	AR	Lowell	https://www.facebook.com/koreBJJNWA/	Facebook page renders, Dixieland Road Lowell AR
OK	Kraken Brazilian Jiu-Jitsu & Fitness	CO	Colorado Springs	https://bjjkraken.com	BJJ gym, Colorado Springs location and phone
OK	Kraken Jiu Jitsu BJJ & Self-Defense	MI	Belmont	https://krakenjj.com/	BJJ gym, Belmont Center Dr NE listed
OK	Kron Gracie Academy	MT	Belgrade	https://www.facebook.com/KRONGRACIEACADEMY	Facebook renders, Motherlode Ln Belgrade MT
OK	Krystek School of Judo, BJJ, Self Defense and Fitness	NY	Queens	https://krystekjudo.com	Judo BJJ dojo, Ozone Park Queens NY
OK	Kudos	OK	Edmond	https://www.facebook.com/p/Kudos-Jiujitsu-100063489492758/	Facebook renders, W Danforth Rd Edmond OK
OK	Kurt Pellegrino MMA	NJ	Wall Township	https://www.pellegrinomma.com/	Manasquan NJ address, four miles from Wall
SUSPECT	Kutting Edge Jiu-Jitsu Academy	IA	Burlington	https://www.kuttingedgejiujitsuacademy.com	domain redirects to unrelated Patreon page
OK	Kuzushi Fight Club	QC	Saint-Jérôme	https://www.saintjeromebjj.com	BJJ club, rue Melancon Saint-Jerome QC
OK	Kuzushi Grappling	BC	Vancouver	https://kuzushigrappling.com	Grappling academy, West Hastings downtown Vancouver
OK	Kyle Fogel Brazilian Jiu Jitsu	GA	Sugar Hill	https://sugarhillbjj.com/	BJJ academy, Sugar Hill GA named
OK	LCCT Brazilian Jiu Jitsu	IL	Schaumburg	https://www.lcctbjjusa.com/locations	Own locations page lists Schaumburg IL address
OK	LV Jiu-Jitsu	QC	Saint-Mathieu-de-Beloeil	https://lvbjj.ca	BJJ school, Rue Bernard-Pilon Saint-Mathieu-de-Beloeil listed
OK	Lake Area Brazilian Jiu-Jitsu	LA	Lake Charles	https://www.facebook.com/LABJJ/	Facebook renders, BJJ MMA in Lake Charles
OK	Lake Area Gracie Jiu-jitsu	MO	Camdenton	https://www.lakeareabjj.com/	Rebranded Gracie Humaita, same Camdenton MO address
OK	Lake Effect Martial Arts	NY	Depew	https://lakeeffectbjj.com	BJJ grappling school, George Urban Blvd Depew
OK	Lake Powell Jiu-Jitsu	AZ	Page	https://www.lpbjjaz.com/	BJJ school, Elm Street Page AZ
OK	Lakewood Martial Arts	CO	Lakewood	https://peakmartialartsdenver.com/	Peak Martial Arts, jiu-jitsu MMA, Lakewood CO
OK	Lapel Arts	BC	Vancouver	https://www.lapelarts.ca	Brazilian jiu jitsu academy in Vancouver BC
OK	Laselva MMA	KS	Derby	https://laselvamma.com	BJJ MMA classes, S Baltimore Ave Derby
OK	Leading Edge MMA	ON	Thunder Bay	https://leadingedgemma.ca	BJJ MMA gym, Waterloo St Thunder Bay
OK	Legacy Brazilian Jiu Jitsu	TX	Allen	https://www.legacy-bjj.com/	BJJ school, E Stacy Road Allen Texas
OK	Legacy Brazilian Jiu Jitsu Academy	BC	Coquitlam	https://www.legacybjjacademy.com	BJJ academy identified as Coquitlam BC location
OK	Legacy Fight Club	ON	Barrie	https://legacyfightclub.com	BJJ wrestling MMA gym in Barrie Ontario
OK	Legacy Jiu Jitsu	AK	Anchorage	https://www.legacyjiujitsuak.com/	BJJ academy, Intl Airport Rd Anchorage AK
OK	Legion AJJ	CA	San Diego	https://legionsandiego.com	Jiu-jitsu academy, Miramar Rd San Diego CA
OK	Leonardo Delgado Jiu-Jitsu Academy	MS	Biloxi	https://selfdefensedibervillems.com	BJJ academy, Lemoyne Blvd Biloxi MS
OK	Les Mauvais Compagnons	QC	Granby	https://lesmauvaiscompagnons.com	BJJ kickboxing, rue Saint-Charles Sud Granby
OK	Leverage BJJ NH	NH	Concord	https://www.leveragebjjnh.com	BJJ academy, South Main St Concord NH
OK	Leverage Jiu Jitsu Colorado	CO	Louisville	https://leveragejiujitsuco.com	No-gi jiu jitsu, McCaslin Blvd Louisville CO
OK	Leviathan Academy Brazilian Jiu-Jitsu	TN	Cleveland	https://www.leviathanacademy.com	BJJ academy, Inman Street W Cleveland TN
OK	Lexington Academy of Martial Arts - LAMA	KY	Lexington	https://www.facebook.com/Lexington-Academy-of-Martial-Arts-LAMA-112562654001820/	Facebook renders, BJJ school National Ave Lexington
OK	Lexington Jiu-Jitsu & Fitness	KY	Lexington	https://lexingtonjiujitsuandfitness.com	BJJ academy, National Avenue Lexington KY
OK	Liberdade Brazilian Jiu-Jitsu	TN	Nashville	https://www.liberdadebjj.com	BJJ school stated in heart of Nashville
OK	Life's Ultimate Martial Arts Academy	KY	Maysville	https://www.lumaacademy.net/	Jujitsu judo programs, MLK Hwy Maysville KY
OK	Limitless BJJ Cincinnati	OH	Cincinnati	https://limitlessbjj.com	BJJ MMA academy, E McMillan St Cincinnati
OK	Limitless BJJ Edmonton	AB	St. Albert	https://limitlessbjjedmonton.com	Grappling gym, Carnegie Dr St. Albert AB
OK	Limitless Pride Martial Arts and Fitness Center	NH	East Hampstead	https://www.limitlesspridemartialarts.com	BJJ MMA offered, Sandown Rd East Hampstead
OK	Lincoln Brazilian Jiu-Jitsu Center - College View	NE	Lincoln	https://lincolnbjj.com	BJJ center, Prescott Ave Lincoln NE
OK	Lincoln Brazilian Jiu-Jitsu Center - Havelock	NE	Lincoln	https://lincolnbjjnorth.com	BJJ center, Havelock Ave Lincoln NE
OK	Lincoln Jiu Jitsu Academy	CA	Lincoln	https://lincolnjiujitsuacademy.com/	BJJ wrestling, Gateway Dr Lincoln CA
AGGREGATOR	Lion Heart Jiu-Jitsu Academy	AL	Hoover	https://trainbjj.passion.io/	Passion.io online course platform, not school site
OK	Lions BJJ Kauai	HI	Lihue	https://kauaibjj.com	BJJ academy identified as Lihue Kauai HI
OK	Lions MMA	BC	Vancouver	https://www.lionsmma.ca	MMA BJJ studio, Granville St Vancouver BC
OK	Living Art Brazilian Jiu Jitsu	IL	Willowbrook	https://livingartbjj.com/	BJJ school, S Quincy St Willowbrook IL
