name	url	region	city	address
Aylmer Jiu-Jitsu and Muay-Thai	https://www.aylmerjiujitsu.com	QC	Gatineau	140 Rue Principale, Gatineau, QC J9H 3M4
B Team Jiu Jitsu	https://www.bteamjiujitsu.com/	NJ	Edison	
B7 Jiu Jitsu	https://www.facebook.com/B7JiuJitsu	NB	Woodstock	
BJJ Battalion	https://bjjbattalion.com	ON	Etobicoke	
BJJ Revolution Park City (Malmberg Jiu-Jitsu)	https://jiujitsurevolution.com	UT	Park City	2080 Gold Dust Lane
BJJ Revolution Team - Baton Rouge	https://www.bjjrevolutionteam.com/	LA	Zachary	
BJJ at 11th Street Dojo by Nayo Fauntes (Clois Silva)	https://www.11thstreetdojo.com/aikido-1	CA	San Francisco	141 11th St
BPi Fighting Systems	https://www.bpifight.com	ID	Coeur d'Alene	1917 North Lakewood Drive, Coeur d'Alene, ID 83814
BUDō Jiu-Jitsu Team Vancouver	https://budojiujitsuteam.com	BC	Vancouver	3163 Kingsway, Vancouver, BC
BVJJ	https://bvjj.ca	BC	Burnaby	3710 Canada Way, Burnaby, BC V5G 1G4
Bad Company Jiu-Jitsu	https://www.badcompanybjj.com/	PA	Wilkes-Barre	24 Forrest St
Bagwell Academy of Martial Arts	https://bagwellacademy.com/	CT	Milford	487 Bridgeport Ave
Bairro Brazilian Jiu-Jitsu Academy	https://bairro.ca	AB	Edmonton	10542 106 St, Edmonton, AB T5H 2X6
Bairro Martial Arts Academy South	https://bairro.ca	AB	Edmonton	5222 86 St NW, Edmonton, AB T6E 5J6
Baker's MMA & Fitness LLC	http://www.bakersmmaandfitness.com/	AZ	Surprise	13200 W Foxfire Dr Ste 148
Bakersfield Brazilian Jiu Jitsu / BJJ Bakersfield CA 93313	https://www.mattbakerbjj.com/	CA	Bakersfield	4308 Resnik Ct, Bakersfield, CA 93313
Balance Jiu Jitsu	https://www.balancebjjwinnipeg.com	MB	Winnipeg	1308 Portage Ave, Winnipeg, MB R3G 0V2
Bar Harbor Brazilian Jiu Jitsu	https://barharborbjj.com	ME	Bar Harbor	12 Bethany Lane
BarnYard MMA	https://barnyardmma.com/	KY	Crittenden	700 Violet Rd Suit A
Barrie BJJ	https://705bjj.com/	ON	Barrie	
Base Camp Brazilian Jiu Jitsu	https://www.basecampbjj.com/	CA	Mt Shasta	
Bataille Jiu Jitsu Academy	https://www.bataillejj.com/	NJ	Kinnelon	10 Park Pl; Building 6b; Ste 213
BattleGround Jiu-Jitsu Academy	https://battlegroundjiujitsu.com	MA	West Springfield	
Battles Jiu Jitsu	https://www.battlesjiujitsu.com	ID	Eagle	220 S Herons Flight Ln #103, Eagle, ID 83616
Bayou Jiu Jitsu & Self Defense Baton Rouge	https://bayoujiujitsu.us/	LA	Baton Rouge	9681 Airline Hwy
Bayshore BJJ	https://www.bayshorebjj.com/	NJ	Middletown	
Be Jiu Jitsu	https://be-jj.com	LA	Lafayette	
Bearclan Jiujitsu	https://bearclanjiujitsu.com	ME	Oakland	826 Kennedy Memorial Dr
Beaufort MMA	https://www.beaufortmma.com	SC	Beaufort	2127 Boundary St, Suite 14-B, Beaufort, SC 29902
