name	verdict	note	current_file
Cocoa Beach Fight Club BJJ & Fitness	AGGREGATOR	Google business.site page, body empty	NO OVERRIDE
Combative Fighting Systems Brazilian Jiu Jitsu	DEAD	Flywheel hosting placeholder, domain not configured	NO OVERRIDE
Coosa Jiu Jitsu & Wellness	DEAD	Squarespace website expired, account lapsed	NO OVERRIDE
Core Fitness & Martial Arts	AGGREGATOR	MyStudio booking platform, body returned empty	NO OVERRIDE
Counter Point Martial Arts	STRIKING_ONLY	Taekwondo, Kempo, Hapkido only; Woodburn OR	NO OVERRIDE
Cyclone Brazilian Jiu Jitsu	DEAD	Website Unavailable, MarketMuscles site disabled	NO OVERRIDE
David Kaplan Martial Arts	PARKED	Domain expired, registrar lander with ad links	NO OVERRIDE
Deep Blue Brazilian Jiu Jitsu	AGGREGATOR	Gymdesk signup platform page, body empty	NO OVERRIDE
Double Five Jiu Jitsu	PARKED	Domain expired, registrar lander with ad links	NO OVERRIDE
DualForces 001 Brazilian Jiu-Jitsu	WRONG_BUSINESS	DUALFORCES creative branding agency, not the school	NO OVERRIDE
Elite Jiu-Jitsu Academy	WRONG_CITY	record Boise ID, site serves Newark Delaware	NO OVERRIDE
Emerald Coast Jiu Jitsu (Beach Jiu Jitsu)	AGGREGATOR	Zen Planner booking platform calendar page	NO OVERRIDE
Evolution Jiu Jitsu	DEAD	Will not load on any host form	NO OVERRIDE
Fight Fitness Center (FFC)	STRIKING_ONLY	Pinellas Park FL; boxing, kickboxing, Muay Thai only	NO OVERRIDE
Fight Sports Miami	DEAD	Will not load on any host form	NO OVERRIDE
Forever Driven Martial Arts	STRIKING_ONLY	New Orleans; taekwondo and kids programs only	NO OVERRIDE
Fortress Fitness and MMA	AGGREGATOR	Google business.site placeholder page	NO OVERRIDE
Frankfort Martial Arts	STRIKING_ONLY	Frankfort KY; taekwondo and kickboxing only	NO OVERRIDE
FullTilt Performance Center	AGGREGATOR	Google business.site placeholder page	NO OVERRIDE
FusBoxe Sambo 1 Martial Arts	AGGREGATOR	Google business.site placeholder page	NO OVERRIDE
GB Boynton Beach	WRONG_BUSINESS	SBG Straight Blast Gym Boynton Beach, not Gracie Barra	NO OVERRIDE
GB Coral Springs	AGGREGATOR	Gracie Barra national brand homepage, not location	NO OVERRIDE
GB Fort Bend	DEAD	Wix domain not connected to a site	NO OVERRIDE
GB Sorrento Valley	PARKED	Redirects to expireddomains.com for-sale lander	NO OVERRIDE
GB Whittier	DEAD	ClickFunnels account temporarily paused by owner	NO OVERRIDE
Gladiator Martial Arts	DEAD	Facebook page unavailable or deleted	NO OVERRIDE
Gracie Allegiance Jiu Jitsu/ APrx Fitness	AGGREGATOR	Zen Planner portal, empty body returned	NO OVERRIDE
Gracie Barra London	AGGREGATOR	brand national homepage, no London page	NO OVERRIDE
Gracie Barra Orem	DEAD	dead in browser, error page confirmed	NO OVERRIDE
Gracie Barra Toronto East	AGGREGATOR	brand national homepage, no Toronto page	NO OVERRIDE
Gracie Barra Trinity - Brazilian Jiu-Jitsu & Self Defense	HIJACK	injected gambling and adult links	NO OVERRIDE
Gracie Nevada	AGGREGATOR	Google business.site page, not own site	NO OVERRIDE
Gracie New Jersey Academy	WRONG_CITY	record Lawrenceville NJ, site Lebanon/Clinton Twp ~30mi	NO OVERRIDE
Gracie PAC MMA	AGGREGATOR	LeadConnector booking widget, not a site	NO OVERRIDE
Gracie United - Team Jucāo Chalmette	AGGREGATOR	redirects to Champion Factory brand homepage	NO OVERRIDE
Gracie United Team Jucao-Leesville	AGGREGATOR	Google business.site page, body blank	NO OVERRIDE
Ground Zero Roaring Fork Valley BJJ	AGGREGATOR	square.site booking page, branded Glenwood Springs	tjjm-gym-websites-3.liquid
Gym-Jitsu Mobile Martial Arts	AGGREGATOR	Square booking page, Whippany address	tjjm-gym-websites-3.liquid
Hooligans Boxing & MMA	AGGREGATOR	Google business.site page, North Ridgeville	NO OVERRIDE
Hub City MMA & BJJ	AGGREGATOR	Gymdesk booking platform, Aberdeen SD	NO OVERRIDE
