OK	10th Planet Chino Hills	CA	Chino Hills	https://www.10thplanetchinohills.com/	Address 4070 Chino Hills Pkwy matches
OK	10th Planet Corona	CA	Corona	https://10thplanetjjcor.com	12391 Sampson Ave Suite L Corona
SUSPECT	10th Planet Corvallis	OR	Corvallis	https://www.facebook.com/10PCorvallis/	Facebook login wall, no content
OK	10th Planet El Paso	TX	El Paso	https://10thplanetelpaso.com/contact/	El Paso TX; moved to Pelicano Dr
OK	10th Planet Fredericksburg	VA	Fredericksburg	https://www.10thplanetfxbg.com/	Fredericksburg VA; now Princess Anne St
OK	10th Planet Georgetown	TX	Georgetown	https://10pgtx.com/	1523 Northwest Blvd Georgetown TX
OK	10th Planet Goodyear	AZ	Avondale	https://www.10thplanetgoodyear.com/	Site address 425 W Western Ave Avondale
OK	10th Planet Jiu JItsu Murrieta	CA	Murrieta	https://www.10thplanetjjmurrieta.com	26305 Jefferson Ave Murrieta matches
OK	10th Planet Jiu Jitsu Albuquerque	NM	Albuquerque	https://10pabq.com	237 Eubank Blvd NE Albuquerque matches
OK	10th Planet Jiu Jitsu Allentown	PA	Allentown	https://www.10thplanetallentown.com/	349 S Cedar Crest Blvd Allentown matches
OK	10th Planet Jiu Jitsu Beaumont	TX	Beaumont	https://www.10thplanetbeaumontjiujitsumma.com/	5925 Caswell Rd Beaumont TX matches
OK	10th Planet Jiu Jitsu Chicago	IL	Chicago	https://www.10thplanetchicago.com/	Chicago IL; now 5711 N Milwaukee
OK	10th Planet Jiu Jitsu Decatur	AL	Decatur	https://decaturbrazilianjiujitsu.com/	108 Lenwood Rd SE Decatur matches
OK	10th Planet Jiu Jitsu Jacksonville	FL	Jacksonville	https://www.10pjax.com/	4849 Dawin Rd Jacksonville FL matches
OK	10th Planet Jiu Jitsu Las Vegas	NV	Henderson	https://www.10thplanetlasvegas.com	Henderson 1225 W Warm Springs matches
OK	10th Planet Jiu Jitsu Lombard	IL	Lombard	https://www.10plombard.com/	1060 N DuPage Ave Lombard matches
OK	10th Planet Jiu Jitsu NYC	NY	New York	https://www.10thplanetjjnyc.com	35 W 43rd St New York
OK	10th Planet Jiu Jitsu Newark (Heath OH)	OH	Heath	https://10thplanetnewark.com	409 S 22nd St Heath matches
OK	10th Planet Jiu Jitsu Riverside CA	CA	Riverside	https://www.10thplanetjjriverside.com/	6065 Magnolia Ave Riverside matches
