name	verdict	note	current_file
Impact Martial Arts Harrison	HIJACK	Redirects to HARUM77 Indonesian slot gambling site	NO OVERRIDE
Inspire Brazilian Jiu Jitsu Academy	PARKED	Domain for sale listing, $195 buy-it-now	NO OVERRIDE
Iron Forge Jiu Jitsu	DEAD	FB page removed: content isn't available right now	NO OVERRIDE
JREAM Academy	DEAD	Domain expired notice with ad-link lander	NO OVERRIDE
JW Brazilian Jiu-Jitsu	DEAD	Wix 404, page isn't available	NO OVERRIDE
Kaiten Mixed Martial Arts Academy	HIJACK	Hidden block links Polish casino spam pages on domain	NO OVERRIDE
Kings Combat	STRIKING_ONLY	Muay Thai/kickboxing only; 219 South 3rd St Brooklyn	tjjm-gym-websites.liquid
Kutting Edge Jiu-Jitsu Academy	PARKED	Redirect stub routing to router.parklogic.com parking service	NO OVERRIDE
Lopez Martial Arts	PARKED	Hostinger parked domain lander; https SSL error	NO OVERRIDE
Martin Academy of Martial Arts	AGGREGATOR	Airtable form, not the school's site	NO OVERRIDE
Monsuta Jiu-Jitsu Academy	AGGREGATOR	Google business.site page, not own website	NO OVERRIDE
Movement Fitness - Watson	AGGREGATOR	Mindbody booking platform listing, not own site	NO OVERRIDE
Nick Catone MMA & Fitness	AGGREGATOR	Mindbody booking platform listing, not own site	NO OVERRIDE
NovaGym	WRONG_CITY	record Montreal, site Quebec City ~250km	NO OVERRIDE
Orient Jiu Jitsu	AGGREGATOR	Gymdesk booking page; Las Vegas address shown	tjjm-gym-websites-3.liquid
Peak Performance	WRONG_CITY	record North Richland Hills TX, site Cedar Park ~200mi	NO OVERRIDE
Peak Performance MMA	WRONG_CITY	record New York, site serves Keller TEXAS	NO OVERRIDE
Pictou County Jiu Jitsu	AGGREGATOR	Tapology third-party directory gym listing page	NO OVERRIDE
