name	region	city	url	fetch_note
Meltons Jiujitsu/MMA	OH	Elyria	https://m.facebook.com/MeltonsJiuJitsuAcademyOhio/	Facebook page deleted or no longer available
Method BJJ	NJ	South Plainfield	https://www.methodbjj.com/	Edmonton AB school; announced permanent closure 2025
Mobile MMA Club	AL	Mobile	https://www.mobilemmaclub.com/	Redirects to unrelated health conference website
Modern Martial Arts Tribeca	NY	New York	https://www.mmanewyorkcity.com/locations/tribeca	Tribeca page lists kickboxing/karate only, no grappling
Montague BJJ	PE	Montague	https://montaguebjj.ca	"Redirects to gym platform ""not found"" page"
Murdoc’s Brazilian Jiu-Jitsu (MWBJJ) & Self Defense Academy (GD JJ Affiliate)	AZ	Gilbert	https://www.murdocsbjj.com/	Domain expired, GoDaddy parked lander page
NWC Martial Arts Academy	MI	Westland	https://www.nwcmartialartsacademy.com/	Kung fu and tai chi only, no grappling
Nemesis Jiu Jitsu	AR	Little Rock	https://nemesisjiujitsu.com/	Redirects to spam content-farm shopping article
New Braunfels BJJ	TX	New Braunfels	https://dalua.com	Aquarium equipment e-commerce store, different business
North Legion Académie	QC	Repentigny	https://northlegionacademie.ca	Homepage redirects to members-only login, no content
Northeast Kingdom BJJ	VT	St. Johnsbury	https://nekbjj.com	Domain dead: timeout, www returns NXDOMAIN
ONEPUNCH Boxing and MMA Jujitsu Gym	PA	Langhorne	https://onepunchatoxfordmall.business.site/	Google business.site page returns 404 error
Off Your Back BJJ Academy	NH	Salem	https://offyourbackbjj.com	Shopify merch store only; academy page 404s
Ohana Jiu-Jitsu	GA	Hahira	https://ohanajiu-jitsu.com/	Domain expired, parked by GoDaddy lander
Ohio Academy of Martial Arts	OH	Wooster	https://ohioacademyofmartialarts.com/	No grappling found; cardio kickboxing and traditional
Old School Jiu Jitsu	MO	Kirksville	https://www.facebook.com/oldschooljj	Facebook page removed or unavailable now
Parallel Jiu Jitsu	IL	Arcola	https://parallel-jiu-jitsu.business.site/	Google business.site page returns 404 error
Parma Family Martial Arts Center	OH	Parma	https://www.pfmac.com/	Under construction since 2022; taekwondo, no address
Phoenix Fitness & Martial Arts	VA	Henrico	https://phoenixfma.com/	Fitness focus; no grappling programs listed anywhere
Pinnacle Martial Arts Academy Richmond	BC	Richmond	https://pinnaclemma.ca	Homepage body empty; contact page 404s
Portela Brazilian Jiu-Jitsu	CO	Aurora	https://www.portelabjjaurora.com	Site not found; domain unpublished placeholder page
