SUSPECT	American Jiu Jitsu	NJ	Newark	https://www.americanjiujitsu.com/	empty body, no page content returned
OK	American Jiu Jitsu Academy	AR	Rogers	https://jiujitsu4america.com/	BJJ academy, Rogers AR address matches
OK	American Kickboxing Academy	CA	San Jose	https://www.americankickboxingacademy.com/	MMA gym, 7012 Realm Dr San Jose
OK	American Kickboxing Academy Texas	TX	San Antonio	https://akasanantonio.com/	BJJ gym, San Antonio, different street address
OK	American MMA	MN	Prior Lake	https://american-mma.com	BJJ/wrestling, 14869 Hwy 13 S matches
OK	American Revolution Muay Thai & Submission Center	TX	Corpus Christi	https://www.americanrevolutionmma.com/	grappling and wrestling, Corpus Christi TX
OK	American TKA Martial Arts	FL	Davie	https://www.americantka.com/	teaches BJJ, 10376 W State Rd 84 Davie
OK	American Top Team Ashburn	VA	Ashburn	https://attashburn.com/	BJJ/wrestling, 44921 George Washington Blvd matches
OK	American Top Team Aventura	FL	Miami Beach	https://www.attaventuranmb.com/	ATT Aventura/North Miami Beach BJJ, address matches
SUSPECT	American Top Team Davie	FL	Davie	https://www.americantopteam.com/davie/	empty body twice, no content returned
SUSPECT	American Top Team Happy Valley	PA	Pleasant Gap	https://atthappyvalleypa.com/	empty body twice, home and contact
NO_CITY	American Top Team Kissimmee - Black Boxx	FL	Kissimmee	https://attkissimmee.com/kids-martial-arts-in-person-classes-american-top-team-black-boxx-kissimmee/	ATT Black Boxx BJJ judo, no address
OK	American Top Team Nevada	NV	Henderson	https://attnevada.com/	ATT Henderson, judo and jiu-jitsu academy
OK	American Top Team Tuscaloosa - Kickboxing, MMA, Brazilian Jiu-Jitsu and Fitness Kickboxing	AL	Tuscaloosa	https://www.summitfitnesskickboxing.com/	ATT Tuscaloosa Alabama, BJJ classes listed
SUSPECT	American Top Team West Palm Beach	FL	West Palm Beach	https://attwpb.squarespace.com/	empty body returned twice, no content
OK	American Top Team of Gwinnett	GA	Lawrenceville	https://attofgwinnett.com/	BJJ, 3315 Sugarloaf Pkwy Lawrenceville matches
OK	American Top Team – Vero Beach	FL	Vero Beach	https://rtmartialartsvb.com/	BJJ, 6200 20th St Vero Beach
OK	Americana Brazilian-Jiu Jitsu	CA	Chico	https://americanabjj.com/	BJJ school, Chico CA location listed
WRONG_CITY	Anaconda Brazilian Jiu Jitsu & MMA Academy	NJ	Lyndhurst	https://anacondabjjnjny.com/	site lists North Bergen only, not Lyndhurst
OK	Anaconda Brazilian Jiu-Jitsu North Bergen	NJ	North Bergen	https://anacondabjjnjny.com/	BJJ, 6529 Kennedy Blvd North Bergen
