name	url	region	city	address
Team Rubao Carioca BJJ	https://www.facebook.com/teamrubao/	NC	Durham	3315 Guess Rd #8
Team SFS - Scorpion Fighting System at Michigan Institute of Athletics	https://www.facebook.com/SFSMMA/	MI	Brighton	2244 Euler Rd #103
Team Third Law BJJ Naples	https://www.teamthirdlaw.com	FL	Naples	
Team Tooke Mixed Martial Arts Lafayette	https://www.teamtooke.com/	LA	Lafayette	
Technics Jiu-Jitsu Academy	https://www.gracietechnics.com	HI	Honolulu	1222 Kaumualii St, Honolulu, HI 96817
Tect Center	https://middlegamartialarts.com/	GA	Eastman	5110 2nd Ave
Teknica MMA	https://teknicajj.com/	FL	Miami	
Temple Gym NOLA	https://www.templegymnola.com/	LA	New Orleans	4521 Magazine St
Tennessee Brazilian Jiu-Jitsu Academy	https://www.tbjja.com	TN	Spring Hill	
Tensei Jiu-Jitsu	https://tenseibjj.com	MN	Richfield	1309 E 66th St, Richfield, MN 55423
Tera BJJ	https://www.terabjj.com	NL	St. John's	
Terra Atma	https://www.terra-atma.com	QC	Sutton	909 Québec 139N, Sutton, QC J0E 2K0
Texarkana Combat Sports	https://www.texarkanacombatsports.com/	AR	Texarkana	
The Academy Eden Prairie	https://www.academyedenprairie.com	MN	Edina	7501 Washington Ave S, Edina, MN 55439
The Academy Elk River	https://academyelkriver.com	MN	Elk River	17375 US Highway 10, Elk River, MN 55330
The Academy MN	https://theacademymn.com	MN	Brooklyn Center	6840 Shingle Creek Pkwy #24, Brooklyn Center MN 55430
The Academy Plymouth	https://academyplymouth.com	MN	Plymouth	13605 27th Ave N, Plymouth, MN 55441
The Academy of Brazilian Jiu Jitsu	https://www.tabjj.com/	NV	Las Vegas	10020 W Cheyenne Ave ste 110
The Academy of Pensacola	https://www.theacademyofpensacola.com/	FL	Pensacola	
The Arena Brazilian Jiu Jitsu Academy & Fitness	https://thearenabjj.com/	AZ	Tucson	
The Base Jiu Jitsu Boise	https://jiujitsuboise.com	ID	Meridian	2640 E State Ave STE 110, Meridian, ID 83642
The Butcher Shop	https://butchershopjiujitsu.ca	ON	Sarnia	Unit 7, 110 East Street S
The Cellar Gym	https://thecellargym.com	MN	Roseville	2480 Fairview Ave N, #11, Roseville, MN 55113
The Chute MMA, Jiu Jitsu and Wrestling	https://thechutemma.com/	CA	Bakersfield	4621 District Ave
The Compound Mixed Martial Arts Training Center	https://thecompoundmmatc.com	WV	Pleasant Valley	2331 Rollingwoods Dr, Pleasant Valley, WV 26554
The Dojang New Orleans	https://thedojangnola.com/	LA	New Orleans	
The Dojo MMA	https://thedojomma.com	AB	St. Albert	125 Carleton Drive Unit 204, St. Albert, AB T8N 3S6
The Dojo NYC	https://thedojonyc.com/	NY	Brooklyn	
