name	url	region	city	address
Undisputed MMA	https://undisputed-mma-llc.business.site/	PA	Philadelphia	6501 Ogontz Ave
Undisputed South	https://undisputedsouth.com/	AZ	Green Valley	130 w duval Mine Road suite 100
Unicorn Jiu Jitsu	https://www.unicornjiujitsu.com/	OR	Portland	9220 SE Stark Street
Unified BJJ	https://unifiedbjj.com	UT	South Jordan	1098 W South Jordan Pkwy #107 & #108, South Jordan, UT 84095
Union Team BJJ	https://unionteambjj.com	GA	Alpharetta	
United Brazilian Jiu-Jitsu / BJJ Moreno Valley CA 92557	https://www.unitedbjj.com/#/	CA	Moreno Valley	12125 Day Street Suite T-103, Moreno Valley, CA 92557
United Jiu Jitsu	https://www.ujjmn.com	MN	Maplewood	2055 White Bear Ave Suite 100, Maplewood, MN 55109
United Legion Brazilian Jiu-Jitsu	https://unitedlegionbjj.com/	FL	Altamonte Springs	
United Team Maui	https://bjjwailuku.com	HI	Wailuku	37 Central Ave, Wailuku, HI 96793
Unity Jiu Jitsu	https://unityjiujitsu.com	NY	New York	
Unity Jiu Jitsu Jersey City	https://unityjiujitsujc.com	NJ	Jersey City	
Unity MMA & Kickboxing	https://unitymma.ca	BC	Vernon	4215 25 Ave, Vernon, BC V1T 7G8
Universal MMA	https://www.universalmma.com	BC	North Vancouver	1326 Main Street, North Vancouver, BC V7J 1C3
Unlimited Martial Arts	https://unlimitedmartialartsacademy.com	NY	Brooklyn	505 Union Ave
Untamed Jiu-Jitsu	https://www.untamedbjj.com/	CA	West Covina	2550 E. Amar Road #A-3B
Up Top Martial Arts Academy	https://www.uptopmartialarts.com/	NJ	Wayne	87 Berdan Ave #1
Upper Academy & Alliance Brazilian Jiu-Jitsu	https://upperacademy.ca	AB	Calgary	2020 32 Avenue NE Bay I, Calgary, AB T2E 6T4
Upper Valley Brazilian Jiu Jitsu	https://www.uppervalleybjj.com	NH	Enfield	Town Center Park, 502 US Route 4, Enfield, NH 03748
Uprise MMA	https://www.uprisemma.com/	CA	Carmichael	6432 Fair Oaks Blvd
Urijah Faber's Ultimate Fitness	https://ufultimatefitness.com/	CA	Sacramento	6700 Folsom Blvd
V7 Martial Arts	https://v7martialarts.com	ID	Moscow	
VACA BJJ & MMA	https://www.vacabjjmma.com	MA	West Springfield	
VS Brazilian Jiu-Jitsu	https://vsbjj.com	ON	Oakville	3114 Dundas St W
Vagner Rocha Martial Arts	https://www.vagnerrochamartialarts.com/	FL	Miami	
Valens Jiu Jitsu Academy Saskatoon	https://valensjiujitsu.ca	SK	Saskatoon	510 Lauriston St #20, Saskatoon SK S7K 0R5
Valente Brothers Jiu-Jitsu Pembroke Pines	https://pembrokepinesselfdefense.com/	FL	Pembroke Pines	12191 Taft St
Valhalla Academy of Martial Arts	https://www.martialartsfredericksburgva.com/	VA	Fredericksburg	4705 Plank Rd #201
Valhalla Jiu-Jitsu & MMA	https://www.valhallamartialarts.com/	AL	Alexandria	
Valko Brazilian Jiu-Jitsu Academy	https://valkobjj.com	IL	Chicago	
Valle Brazilian Jiu Jitsu	https://vallebjj.com	NH	Londonderry	44 Nashua Road 20 B, Londonderry, NH 03053
Valley City Jiu-Jitsu and Self Defense Academy	https://jiujitsuvc.wixsite.com/valley-city-jiujitsu	ND	Valley City	200 Co Hwy 21, Valley City, ND 58072
Valley Jiu-Jitsu	https://www.valleybjj.ca	BC	Kamloops	#201 - 982 Camosun Crescent, Kamloops, BC
Valley Martial Arts Center	https://www.valleymac.com/	CA	Sherman Oaks	4635 Van Nuys Blvd.
Valor Martial Arts	https://www.wichitavalor.com	KS	Wichita	1836 South Woodlawn, Wichita, KS 67218
Valor Mixed Martial Arts	https://valormmanyc.com	NY	New York	2067 Broadway
Vamos MMA	https://www.vamosmma.com	NY	Holbrook	1708 Church St
Van Buren Jiu Jitsu Chandler	https://vanburenjiujitsu.com/	AZ	Chandler	
Van Isle BJJ	https://www.vibjj.com	BC	Victoria	
Vanguard Gym	https://www.vanguardgym.com/	VA	Manassas	9414 Center Point Ln
Vanquish MMA & Jiu Jitsu	https://vanquishselfdefense.com/	AZ	Payson	
Vaughan Jiu-Jitsu Academy	https://vaughanbjj.com	ON	Vaughan	130 Racco Parkway Unit 5
Velocity Martial Arts Academy	https://www.velocitynl.com	NL	Clarenville	
Veneration Jiu Jitsu LLC	https://www.jonesborojiujitsu.com/	AR	Jonesboro	
Verde Valley Brazilian Jiu Jitsu	https://verdevalleybjj.com/	AZ	Cottonwood	
Vermont BJJ	https://vermontbjj.com	VT	Burlington	
Vibe Jiu Jitsu & Grappling Arts	https://www.vibejiujitsu.com	ID	Idaho Falls	1808 E Piper St #1, Idaho Falls, ID 83401
Victory Combat Sports Academy	https://victorycombatsports.academy/	TX	Lubbock	3520 Woodrow Rd Suite 103
Victory Jiu Jitsu	https://victorykv.gymdesk.com	NB	Quispamsis	
Victory Jiu Jitsu Dieppe	https://victoryjiujitsuacademy.ca	NB	Dieppe	
Victory MMA Academy Arlington Heights	https://victorymmaacademy.com/arlington-heights-location/	IL	Arlington Heights	764 W Algonquin Rd
Vida Jiu-Jitsu Utah	https://vidajiujitsu.com	UT	Spanish Fork	198 W 3450 N Ste 103
Viotti BJJ Academy	https://viottibjjacademy.com	UT	Bountiful	545 W 500 S #130, Bountiful, UT 84010
Virtue Brazilian Jiu Jitsu	https://virtuebjjtx.com	TX	Belton	12017 FM 2305
Vital Brothers Brazilian Jiu Jitsu Mountain Home	https://vitalbrazilianjiujitsu.com	ID	Mountain Home	1250 Sunset Strip, Mountain Home, ID 83647
Vitor Shaolin BJJ NYC	https://www.bjjnewyorkcity.com	NY	New York	
Volt BJJ	https://www.voltbjj.com	QC	Longueuil	1077 Chemin de Chambly, Longueuil, QC J4H 3M7
Vortex Jiu Jitsu Academy	https://vortexbjj.com/	FL	Palm Bay	5132 Minton Rd #3
Vortex Jiu-Jitsu	https://vortexjiujitsu.com	DC	Washington	
WAMMA Brandon	https://wammabrandon.com	MB	Brandon	389 Park Avenue East, Brandon, MB
WAMMA NextGen	https://wamma.site	MB	Winnipeg	222 St Mary's Rd, Winnipeg, MB R2H 1J3
WARCRY Martial Arts	https://warcrymartialarts.com	SK	Melville	543 Main St, Melville SK S0A 2P0
War Room MMA, Kickboxing, and Fitness	https://war-room-mma-kickboxing-and-fitness.business.site/	TX	Fort Worth	5501 Thelin St
Warrior Defense Brazilian Jiu Jitsu	https://warriordefense.com/classes-by-reservation	FL	DeLand	815 New York Ave W
Warrior Fitness Center	https://www.cowarrior.com	CO	Colorado Springs	3612 Drennan Road
Warrior's Cove Martial Arts and Fitness	https://warriorscove.com	MN	St. Louis Park	7107 Cedar Lake Rd, Saint Louis Park, MN 55426
Warriors Lair MMA	https://www.facebook.com/LamarHarrisMMA/	TX	El Paso	8500 Dyer Street, Suite 20
Warriors Legacy MMA	https://www.warriorslegacymma.com	TX	Paris	1005 South Collegiate Drive
Watts Brazilian Jiu-Jitsu & Muay Thai Academy	https://www.paragonsimivalley.com/	CA	Simi Valley	4210 E Los Angeles Ave
Wayne Owen Fighting Arts	https://www.facebook.com/Wayne-Owen-Fighting-Arts-174709395877709/	OR	Grants Pass	113 SE K St
West Coast BJJ	https://westcoastbjj.ca	BC	Vancouver	
West Coast Brazilian Jiu Jitsu Victoria	https://westcoastbjjvic.ca	BC	Victoria	765 Broughton Street, Victoria, BC
West Idaho BJJ	https://westidahobjj.com	ID	Star	11231 W Hercules Dr, Star, ID 83669
West Karate & Brazilian Jiu Jitsu	https://westkarateofweirton.com	WV	Weirton	328 Penco Rd, Weirton, WV 26062
West Kauai Jiu-Jitsu	https://www.westkauaijiujitsu.com	HI	Waimea	Makana Training Center, 9935 Kaumualii Hwy, Waimea, HI 96796
West O Dojo	https://westodojo.com	NE	Lincoln	201 Capitol Beach Blvd. Suite 10, Lincoln, NE 68528
West River Jiu Jitsu	https://westriverjiujitsu.ca	PE	Bonshaw	
West Texas Jiu Jitsu Academy	https://wtxjja.com/	TX	Lubbock	4116 34th St
Westchester Fight Club	https://westchesterfightclub.com	NY	New Rochelle	11 S Division St
Western Plains Brazilian Jiu Jitsu	https://westernplainsbrazilianjiujitsu.com	WY	Gillette	900 Ez Street, Gillette, WY 82718
Westside BJJ	https://littlerockbjj.com/	AR	Little Rock	
Westside BJJ Ogden	https://westsidebjjogden.com	UT	Ogden	2562 Washington Blvd
Westside MMA	https://westsidemma.com	AR	Little Rock	806 S Izard St
Whaling City Athletic Club	https://www.whalingcityathletics.com/	CT	New London	436 Broad St
White 2 Black Brazilian Jiu-Jitsu Academy	https://white2blackacademy.com/	AZ	Mesa	
Whitefish BJJ	https://whitefishbjj.com	MT	Whitefish	
Wild West Training Center	https://calendly.com/d/dkt-s43-wm4	NV	Carson City	3140 Research Way Unit 74
Williamsburg MMA	https://www.williamsburgmma.com	NY	Brooklyn	42A Dobbin St
Wilson Fitness & Martial Arts	https://www.facebook.com/wilsonmartial.arts.3/	KY	Olive Hill	333 Warrior Dr
Wind River Dojo	https://windriverdojo.org	WY	Lander	465 Lincoln St, Lander WY 82520
Windsor BJJ	https://windsorbrazilianjiujitsu.com/	ON	Windsor	
Winona BJJ	https://winonabjj.com	MN	Winona	
Without Limits MMA	https://www.facebook.com/WithoutLimitsMMA/	AR	Batesville	
Wolfhouse MMA Edmonton	https://wolfhousemma.com	AB	Edmonton	
Woodshop Jiu-Jitsu	https://www.facebook.com/woodshopjits	NS	Antigonish	400 Williams Point Road, Antigonish
Workhorse Mixed Martial Arts	https://workhorse-mma.gymdesk.com	NS	Port Hawkesbury	
World Jiu Jitsu Academy	https://wjja4u.com	MN	Eden Prairie	6900 Shady Oak Rd #100, Eden Prairie, MN 55344
World Martial Arts	https://www.worldtkd.ca	BC	Delta	11939 88 Ave, Delta, BC V4C 3C8
Wulfrun Martial Arts	https://wulfrunmartialarts.com	PE	York	
