name	url	region	city	address
Rice brothers Brazilian Jiu Jitsu	https://ricebrosacademy.com/?fbPAAaank9WRQJ0f5XUCD7nDCT9_YZ7N0FpkVqn-3QxgLos6phsskIp9UrbXTyc_aem_AcxKEC-ea23ShVOKT-p_9ivUHO3QEvIy3wh3A7nmMpplQlDh7ddgoeBgtEJrB7mEiho	CA	Redding	
Richardson Jiu Jitsu	https://www.richardsonjj.com/	AL	Prattville	
Richmond Brazilian Jiu-Jitsu & Self-Defense Academy	https://www.richmondbjj.com/	VA	Richmond	725 West Broad Street
Richmond Hill Jiu-Jitsu	https://rh-bjj.com	ON	Richmond Hill	132 King Rd
Rilion Gracie Greenville	https://riliongraciegreenville.com	SC	Greer	600 N Main St Ste D, Greer, SC 29650
Rilion Gracie Katy	https://www.riliongraciekaty.com	TX	Katy	962 S Fry Rd
Rilion Gracie Rhode Island	https://riliongracieri.com	RI	West Warwick	71 Manchester St, West Warwick, RI 02893
Ringtime Fitness	https://ringtimefitness.com/	CA	Santa Rosa	808 Donahue Street, #3, Santa Rosa, California 97401
Rio Jitsu	https://riojitsu.com	MN	Apple Valley	6950 146th St W Suite 118, Apple Valley, MN 55124
Rise Up BJJ	https://www.riseupbjj.com/	GA	Kennesaw	3940 Cherokee Street NW Suite 201
Rising MMA	https://www.facebook.com/risingmma2010/	NJ	Little Ferry	4 E Joseph St
Rising Sun Brazilian Jiu Jitsu Academy	https://www.risingsunacademy.com	NJ	Ridgefield Park	
Rival Jiu-Jitsu	https://www.rivalbjj.com/	NJ	Waldwick	4 North Street
Rivers Brazilian Jiu-Jitsu	https://www.riversjiujitsu.com	KS	Lawrence	850 E 13th St, Lawrence, KS 66044
Rmbjj Coral Springs / BJJ Coral Springs FL 33065	https://coralspringsbjj.com/	FL	Coral Springs	9645 W Sample Rd, Coral Springs, FL 33065
Roanoke Judo & Jiu Jitsu Club	https://instagram.com/roanokejudoandjiujitsu	VA	Vinton	1316 E Washington Ave
Roanoke Jujutsu Club	https://www.facebook.com/roanokejujutsu/	VA	Salem	624 East 8th Street
Robert Lee Martial Arts	https://www.robertleema.ca	MB	Winnipeg	3323 Roblin Boulevard, Winnipeg, MB R3R 0C2
Roberto Kaelin BJJ	https://robertokaelin.com/	TX	Keller	
Rocha Brazilian Jiu Jitsu	https://rocha-bjj.com	AR	North Little Rock	4120 E McCain Blvd Ste 203
Rochester Jiu Jitsu	https://rochesterjiujitsu.com	NY	Irondequoit	
Rock City Mixed Martial Arts	https://rockcitymma.com	AR	Little Rock	400 N Bowman Rd #5
Rock Hill BJJ	https://rockhillbjj.com	SC	Rock Hill	
Rocket City MMA	https://rocketcitymma.com/	AL	Huntsville	
Rocky Mount BJJ	https://rockymountbjj.com	NC	Rocky Mount	
Rocky Mountain Brazilian Jiu Jitsu	https://rockymountainbjj.com	AB	Calgary	6419 Bowness Road NW Second Level, Calgary, AB T3B 0E6
Rocky Mountain Jiu Jitsu	https://www.instagram.com/rockymountainjj/	CO	Northglenn	435 W 115th Ave Ste 4
Rodrigo Cardoso Brazilian Jiu-Jitsu Academy	https://atlasbjj.com/	CA	Vacaville	134 Browns Valley Pkwy
Rodrigo Pinheiro BJJ	https://rodrigopinheirobjj.com	TX	San Antonio	
Rodriguez Brazilian Jiu Jitsu	https://drodriguezbjj.business.site/	IL	Peru	3940 IL-251
Rogue 22 BJJ	https://bookeo.com/rogue22bjj	LA	Bossier City	5400 E Texas St
