verdict	name	region	url	note
DEAD	Meltons Jiujitsu/MMA	OH	https://m.facebook.com/MeltonsJiuJitsuAcademyOhio/	Facebook page deleted, content unavailable
WRONG_BUSINESS	Method BJJ	NJ	https://www.methodbjj.com/	Edmonton Alberta school, closed Nov 2025
WRONG_BUSINESS	Mobile MMA Club	AL	https://www.mobilemmaclub.com/	Redirects to Population Health Colloquium conference site
OK	Modern Martial Arts Tribeca	NY	https://www.mmanewyorkcity.com/locations/tribeca	78 Reade St Tribeca; programs include Brazilian Jiu Jitsu
DEAD	Montague BJJ	PE	https://montaguebjj.ca	Gym platform "we could not find the gym" page
PARKED	Murdoc's Brazilian Jiu-Jitsu (MWBJJ) & Self Defense Academy (GD JJ Affiliate)	AZ	https://www.murdocsbjj.com/	GoDaddy parked lander at /lander
STRIKING_ONLY	NWC Martial Arts Academy	MI	https://www.nwcmartialartsacademy.com/	Kung fu and tai chi only, Westland MI
PARKED	Nemesis Jiu Jitsu	AR	https://nemesisjiujitsu.com/	Parked domain, ParkLogic monetization redirector
WRONG_BUSINESS	New Braunfels BJJ	TX	https://dalua.com	Dalua aquarium lighting and filtration e-commerce store
UNSURE	North Legion Académie	QC	https://northlegionacademie.ca	Member login/signup portal only, no public content
DEAD	Northeast Kingdom BJJ	VT	https://nekbjj.com	Connection times out; www.nekbjj.com returns NXDOMAIN
DEAD	ONEPUNCH Boxing and MMA Jujitsu Gym	PA	https://onepunchatoxfordmall.business.site/	Google business.site returns 404 Not Found
OK	Off Your Back BJJ Academy	NH	https://offyourbackbjj.com	224 North Broadway, Salem NH; academy page live
PARKED	Ohana Jiu-Jitsu	GA	https://ohanajiu-jitsu.com/	GoDaddy parked lander at /lander
STRIKING_ONLY	Ohio Academy of Martial Arts	OH	https://ohioacademyofmartialarts.com/	Wooster OH; taekwondo, karate, cardio kickboxing only
DEAD	Old School Jiu Jitsu	MO	https://www.facebook.com/oldschooljj	Facebook page deleted, content unavailable
DEAD	Parallel Jiu Jitsu	IL	https://parallel-jiu-jitsu.business.site/	Google business.site returns 404 Not Found
STRIKING_ONLY	Parma Family Martial Arts Center	OH	https://www.pfmac.com/	5596 Ridge Rd Parma OH; taekwondo, kumdo, tai chi only
OK	Phoenix Fitness & Martial Arts	VA	https://phoenixfma.com/	3957 Deep Rock Rd, Henrico VA; BJJ listed
OK	Pinnacle Martial Arts Academy Richmond	BC	https://pinnaclemma.ca	12100 Vulcan Way, Richmond BC; BJJ and no-gi
DEAD	Portela Brazilian Jiu-Jitsu	CO	https://www.portelabjjaurora.com	"Site not found", unpublished on both host forms
