name	verdict	note	current_file
Gracie United Team Jucao Plaquemine	DEAD	Facebook page unavailable or deleted	NO OVERRIDE
Groundwork BJJ	WRONG_BUSINESS	BJJ mobile training app product site, no school	NO OVERRIDE
Guelph BJJ	WRONG_BUSINESS	Redirects to Kohbukan Judo, 10 Speedvale Ave E	NO OVERRIDE
Hamilton Brazilian Jiu-Jitsu	WRONG_BUSINESS	Redirects to Bora BJJ, 625 Greenhill Ave Hamilton	NO OVERRIDE
Hess' Oriental Martial Arts	HIJACK	Confirmed: Chinese gambling/pharma site, no martial arts	NO OVERRIDE
Honey Badger Training Facility	DEAD	Wix domain not connected, both host forms	NO OVERRIDE
IMB Academy CT	STRIKING_ONLY	Kickboxing only; 1669 Thomaston Ave, Waterbury CT	NO OVERRIDE
Inferno MMA	AGGREGATOR	Mindbody booking platform listing, not own site	NO OVERRIDE
Infinite MMA Academy	AGGREGATOR	PerfectMind booking platform page, not own site	tjjm-gym-websites-2.liquid
Infinity Martial Arts of Bolivar	AGGREGATOR	Google business.site page, body blank	NO OVERRIDE
Iron Sharpens Iron Brazilian Jiu Jitsu Academy	WRONG_CITY	record Virginia, site serves Winchester ENGLAND UK	NO OVERRIDE
Jabs Gym Eastern Market	AGGREGATOR	Mindbody booking platform listing page	NO OVERRIDE
Jacksonville Gracie Jiu-Jitsu	AGGREGATOR	Google business.site page, body blank	NO OVERRIDE
K Jutsu Do Fights System	AGGREGATOR	Google negocio.site page, body blank	NO OVERRIDE
Kingman Riot MMA LLC	AGGREGATOR	Gymdesk booking platform page, not own site	NO OVERRIDE
Lion Heart Jiu-Jitsu Academy	AGGREGATOR	Passion.io online course platform, not school site	NO OVERRIDE
MXT BJJ Miramichi	AGGREGATOR	Gymdesk booking platform page, not own site	NO OVERRIDE
