name	url	region	city	address
Clockwork Brazilian Jiu-Jitsu	https://www.clockworkbjj.com	NY	New York	
Club MMA	https://www.club-mma.com/	KY	Highland Heights	1805 Alexandria Pike
Cobra BJJ	https://www.cobrabjjtuscaloosa.com/	AL	Tuscaloosa	
Cobra BJJ Chelsea	https://cobrabjjchelsea.com/	AL	Chelsea	
Cocoa Beach Fight Club BJJ & Fitness	https://cocoa-beach-fight-club-bjj-fitness.business.site/	FL	Cocoa Beach	195 N Brevard Ave
Cogito Jiu Jitsu	https://www.sanfordmartialarts.com/	FL	Sanford	2499 Old Lake Mary Rd Suite 106
Cohesion Brazilian Jiu-Jitsu & Judo Academy	https://www.cohesiontrainingacademy.com/	OK	Broken Arrow	804 S 8th St
Colorado Springs Brazilian Jiu Jitsu	https://csbjj.com	CO	Colorado Springs	
Colossal Fight Company	https://www.colossalfightcompany.com	ID	Pocatello	300 North 5th Avenue, Pocatello, ID 83201
Combat Base Shasta/ Mendes Brazilian Jiu-Jitsu	https://www.reddingselfdefense.com/	CA	Palo Cedro	
Combat Club Cottonwood	https://cottonwoodbjj.com/	AZ	Cottonwood	
Combat Club Lake Worth	https://www.combatclub.com/	FL	Lake Worth	
Combat Fitness MMA	https://combatfitnessmma.com	VT	Winooski	276 East Allen Street, Unit 8, Winooski, VT 05404
Combat Jujitsu	https://www.combatjujitsu.biz/	LA	Metairie	1407 Severn Ave
Combat Sport and Fitness	https://m.facebook.com/combatsportandfitnessreno	NV	Sparks	416 Greenbrae Dr
Combat Syndicate	https://combatsyndicate.org/	OK	Ponca City	405 E Grand Ave St
Combative Fighting Systems Brazilian Jiu Jitsu	https://cfsfalcon.com	CO	Peyton	10634 Maltese Point Suite 130
Combative Sports Center	https://www.cscmhk.com	KS	Manhattan	116 South 4th Street, Manhattan, KS 66502
Complete Fitness and Martial Arts	https://www.stalbertmartialarts.com	AB	St. Albert	40 Chisholm Ave Unit 60, St. Albert, AB T8N 7K6
Comprido BJJ	https://highwood.compridobjj.com/	IL	Highland Park	432 Green Bay Rd
Conde Koma Brazilian Jiu-Jitsu Academy	https://www.condekomabjj.com	CA	Los Alamitos	4340 Katella Ave.
Conifer Jiu Jitsu & Fitness	https://www.conifermartialarts.com/	CO	Conifer	25797 Conifer Rd Ste B219
Connect Brazilian Jiu Jitsu	https://www.connectbjj.com/	CA	South Gate	13228 Paramount Blvd A
Connection Rio Jiu-Jitsu Academy	https://connectionriobjj.com/	OR	Bend	1620 A NE 3rd St.
Constant Expansion Jiu Jitsu / MMA	https://www.10psav.com	GA	Savannah	302 W Victory Dr Unit B
Control Jiu-Jitsu	https://controljiujitsu.com/	FL	Melbourne	2447 N Wickham Rd Suite #126
Cookeville Jiu-Jitsu	https://www.cookevillejiujitsu.com	TN	Cookeville	
Coosa Jiu Jitsu & Wellness	https://www.coosajiujitsuandwellness.com/	AL	Wetumpka	
Copperhead Jiu Jitsu	https://copperheadjiujitsu.com/	OR	Pendleton	253 S Main St
Core Combat Sports	https://coremma.com	IL	Rockford	1618 Featherstone Rd
Core Combat Sports Louisville	https://corelouisville.com	KY	Louisville	
Core Fitness & Martial Arts	https://www.mystudio.academy/cs	NV	Henderson	183 N Gibson Rd #130
Core Jiu Jitsu	https://corejjidaho.com	ID	Nampa	1124 1st St S, Nampa, ID 83651
Core Jiu-Jitsu	https://bjjmississauga.com	ON	Mississauga	966 Dundas Street East Unit 13
Cornerstone Jiu Jitsu	https://cornerstonejiujitsuacademy.com/	TX	Leander	1309 Leander Dr Suite 602
Cosens MMA	https://cosensmma.com/	MI	Bay City	4101 E Wilder Rd suite e-505
Cosens Martial Arts Grand Blanc LLC	https://cosensmmagrandblanc.com/	MI	Grand Blanc	12830 S Saginaw St Suite B
Cosens Martial Arts Midland LLC	https://cosensmmamidland.com/	MI	Midland	6829 Eastman Ave
Cosens Martial Arts Mt. Pleasant LLC	https://cosensmmamtpleasant.com/	MI	Mt. Pleasant	2206 S Mission St
Cosens Martial Arts Saginaw LLC	https://cosensmmasaginaw.com/	MI	Saginaw	1716 Lawndale Rd
Cosmic Training Center Brazilian Jiu Jitsu	https://www.cosmictrainingcenter.com/	CA	Alhambra	43 E Main St #201
Counter Point Martial Arts	https://www.facebook.com/CPMATKD	OR	Hubbard	17761 Dunn Rd NE
Courtenay Brazilian Jiu-Jitsu	https://courtenaybjj.ca	BC	Courtenay	2441 Cousins Avenue, Courtenay, BC
