name	region	city	url
Vital Brothers Brazilian Jiu Jitsu	FL	North Miami	http://vitalbrothersbjj.com
GB Hunters Creek	FL	Orlando	http://www.graciebarrahunterscreek.com/
Carlson Gracie Northern Kentucky - MMA, Jiu-Jitsu, & Judo	KY	Newport	https://www.carlsongracienky.com/
AKF Lexington Martial Arts	KY	Nicholasville	https://akflexington.com/
TAMA Family Martial Arts	OH	Dayton	http://tamamartialarts.com/
Adamas Brazilian Jiu Jitsu Academy	OH	Toledo	https://adamasjiujitsutoledo.com/
North American Martial Arts Institute	OH	Toledo	http://namai.us/
Gracie Allegiance Ohio	OH	Zanesville	http://www.zanesville-jiujitsu.com/
My Tactical Advantage LLC	MI	Detroit	http://mytacticaladvantageonline.com/
Elite Jiu Jitsu	MI	Livonia	http://www.elite-jiujitsu.com
Seung-ni Traverse City Martial Arts & Kickboxing Academy	MI	Traverse City	http://seungnitc.com/
Silver Fox Brazilian Jiu-Jitsu Academy [East Hanover]	NJ	East Hanover	http://www.silverfoxbjjeh.com/
Tiger Schulmann's Martial Arts Jersey City NJ	NJ	Jersey City	https://tsk.com/locations/nj/jersey-city/
Tiger Schulmann's Martial Arts Paramus NJ	NJ	Paramus	https://tsk.com/locations/nj/paramus/
Echo Alpha Gracie Jiu Jitsu	NJ	Succasunna	http://www.echoalphabjj.com/
American Top Team Nevada	NV	Henderson	https://attnevada.com/
American Wrestling Club	NV	Henderson	http://www.americanwrestlingclub.com
Freestyle Martial Arts Academy	NV	Reno	http://www.freestylema.com
University of Ground Fighting	IL	New Lenox	http://www.uofgf.com/
Raptor Academy of Martial Arts	PA	Bellefonte	http://www.raptorbjj.com/
Hellfish Mixed Martial Arts	PA	Bridgeport	http://hellfishmma.com
REAKT - Team Renzo Gracie	PA	DuBois	http://reaktbjj.com/
Precision Jiu-Jitsu	PA	King of Prussia	http://precisionjj.com
Schuylkill County Brazilian Jiu Jitsu	PA	Orwigsburg	http://www.schuylkillbjj.com/
Nomad JiuJitsu	VA	Lynchburg	http://nomadjitsu.com/
Justin Lough Brazilian Jiu Jitsu	VA	Purcellville	http://www.jloughbjj.com/
Arte Suave Jiu-Jitsu	VA	Springfield	http://www.artesuave-bjj.com/
Capital MMA & Elite Fitness	VA	Sterling	https://www.capitalmma.com/loudoun-dulles/
Trident Academy MMA	VA	Woodbridge	http://www.tridentmartialarts.com/
American Top Team Atlanta	GA	Atlanta	http://attatl.com/
GB Lawrenceville	GA	Lawrenceville	https://graciebarra.com/lawrenceville-ga/
Thrive Jiu Jitsu & Fitness	GA	Tifton	http://www.thrivejj.com/
Fight Sports Charlotte	NC	Charlotte	https://fightsportscharlotte.com
Carolina Combat Sports and Fitness	NC	Indian Trail	https://www.carolinacombatsports.com/
