name	region	city	url
Combat Athletix	FL	Orange Park	https://smileyacademyjax.com/
Gracie Jiu-Jitsu Orlando	FL	Orlando	https://gjjorlando.com/
Oceans Brazilian Jiu-Jitsu Academy	FL	Weston	http://www.oceansbjj.com/
10th Planet Jiu-Jitsu Phoenix	AZ	Mesa	http://10thplanetphx.com
BJJ Social Club	AZ	Scottsdale	http://www.bjjsocialclubaz.com
UltraFit Systems	AZ	Scottsdale	http://ultrafitsystems.com/
Full Charge Brazilian Jiu-Jitsu	AZ	Thatcher	http://www.fullchargebjj.com/
Yuma Top Team	AZ	Yuma	http://www.yumatopteam.com/
PE Training Center	LA	Lake Charles	http://www.petrainingcenter.com/
Criterion Brazilian Jiu Jitsu of Louisville	KY	Louisville	https://criterionbjj.com
Go Do Ryu Mixed Martial Arts	KY	Walton	https://godoryu.com/
Delta Team Jiu Jitsu	OH	Heath	http://deltagrapplingacademy.com/
GB West County	MO	Ballwin	https://gbwestcounty.com/
Jefferson City Judo Club & Jujitsu	MO	Jefferson City	https://jeffersoncityjudoclub.com/
Cast Iron Bjj	MO	Pleasant Valley	http://libertybjj.com/
Kifaru Jitsu Martial Arts	MO	Salem	http://www.kifarujitsu.com/
Center of Defensive Arts	MO	Washington	https://www.centerofdefensivearts.com/
A-Force BJJ Missouri	MO	Webb City	http://www.aforcebjjmo.com/
Japanese Martial Arts Center	MI	Ann Arbor	http://japanesemartialartscenter.com/
Palm BJJ Brazilian Jiu-Jitsu	MI	Saginaw	http://www.palmbjj.com/
Rare Breed Mixed Martial Arts	NJ	Bloomfield	https://www.rarebreedmma.com/
Sidekick Martial Arts & Fitness	NJ	Hasbrouck Heights	https://sidekick-ma.maonrails.com/
White Tiger Martial Arts	NJ	Wayne	http://wtma-nj.com/
Cobra Kai Jiu Jitsu South	NV	Las Vegas	http://www.simgojj.com
Lagasca Brazilian Jiu Jitsu	NV	Las Vegas	https://www.lagascabjj.com
Zenith By Robert Drysdale	NV	Las Vegas	http://www.drysdalejiujitsu.com
Uflacker Academy	IL	Chicago	http://bjjsouthside.com
MMA Stop	IL	Crest Hill	http://www.mmastopfitness.com/
10th Planet Kansas City	MO	Kansas City	http://10wolf.com
Crush Crew Jiu Jitsu	PA	Erdenheim	http://crushcrewjiujitsu.com
Flood City JiuJitsu	PA	Johnstown	https://www.facebook.com/Flood-City-Jiu-Jitsu-102267197991568/
Octane Martial Arts	PA	Monongahela	https://octanemartialarts.com/
Lotus Thai Boxing and BJJ	VA	Annandale	http://lotusthaiboxing.com
UFC GYM Fairfax	VA	Fairfax	https://www.ufcgym.com/locations/fairfax/
Renaissance Academy of Martial Arts	VA	Lynchburg	https://ramarts.com/
Kaizen MMA Purcellville	VA	Purcellville	http://www.kzmma.com/
Independent MMA & Fitness - Villa Rica	GA	Villa Rica	https://villarica.independentmmafitness.com/
Serra BJJ Milledgeville	GA	Milledgeville	http://www.trainwithmamma.com/
Arte Suave Jiujitsu Academy	NC	Charlotte	http://www.artesuavejiujitsuacademy.com/
Ancient Arts Family Karate and Ju-Jitsu Academy	NC	Cary	http://www.aaafamilykarate.com/
GB Lake Norman	NC	Cornelius	https://gblakenorman.com/
Honest Grappling Company	NC	Kannapolis	http://www.honestgrappling.com
Bushido Hebron Brazilian Jiu Jitsu	CT	Hebron	http://bushidobjj.com/
Strikezone MMA	CT	New London	http://www.strikezonemma.com/
Culture of Jiu Jitsu	MD	Gaithersburg	cultureofjiujitsu.com
Ground Control Jiu-Jitsu Academy	MD	Rosedale	groundcontrolbaltimore.com
Infinity Jiu-jitsu Maryland	MD	Timonium	infinitybjjmaryland.com
Gracie Jiu-Jitsu Aurora	CO	Aurora	https://www.graciebjjcolorado.com/
Hybrid Nation Martial Arts	CO	Avon	https://hybridnationmma.wixsite.com/hybrid-nation-mma
Anvil Training Center	IN	Vincennes	anvilcenter.com
F-5 Grappling	OK	Mustang	https://www.facebook.com/f5grappling/
Newaza Brazilian Jiu-Jitsu Club	MA	Fitchburg	newazabjj.com
Soneca Brazilian Jiu Jitsu / Team NEU BJJ - Marlborough	MA	Marlborough	sonecabjj.com
Institute of Combative Arts (Gracie Jiu-Jitsu Quincy)	MA	Quincy	instituteofcombativearts.com
Rock Solid Martial Arts	WA	Bellingham	www.rocksolidmartialarts.com
Marcelo Alonso Brazilian Jiu-Jitsu Carlson Gracie Team	WA	Seattle	www.mabjj.com
Aim High Academy Of Martial Arts	OR	Beaverton	http://www.aimhighma.org/
Go Hard MMA & Fitness	OR	Portland	https://www.facebook.com/Gohardmmafitness/
Ashland Mixed Martial Art	OR	Ashland	https://ashlandheroacademy.com/
Enso Jiu Jitsu	OR	Oregon City	http://ensojj.com
Evolution Muay Thai	NY	New York	http://evolutionmuaythai.com
Gracie Barra Long Island	NY	New Hyde Park	https://gblongisland.com
Tiger Schulmann's Martial Arts Rego Park (Queens) NY	NY	Queens	https://tsk.com/locations/ny/queens-rego-park
Tiger Schulmann's Martial Arts Yonkers NY	NY	Yonkers	https://tsk.com/locations/ny/yonkers
Bronx Jiu-Jitsu	NY	Bronx	http://bronxjiujitsu.com
Revolution Combat & Fitness	AR	Benton	https://revolutionmma.com
Westside MMA	AR	Little Rock	https://westsidemma.com
Inferno Martial Arts Springdale	AR	Springdale	https://myinfernofitness.com
Moyo Jiu-Jitsu Academy	ON	Ajax	https://moyojiujitsu.com
MN Brazilian Jiu Jitsu Academy	ON	Burlington	https://mnbjj.ca
Steel City MMA	ON	Sault Ste. Marie	https://steelcitymma.com
Roots Combat Club	UT	Lehi	https://rootscombatclub.com
Iowa Top Team Boxing & Jiu-Jitsu	IA	Clinton	https://www.iowatopteam.com
Newton Jiu Jitsu	KS	Newton	https://newtonjiujitsu.com
Misfits Grappling Club	SD	Sioux Falls	https://www.misfitsgrapplingclub.com
Olsen Behring Vale Tudo/MMA	MT	Hamilton	http://olsenmma.com
Gracie Barra Aloha Stadium	HI	Honolulu	https://graciebarra.com/honolulu-hi
Gracie Jiu Jitsu Kailua	HI	Kailua	https://graciejiujitsukailua.com
Gracie Barra Caldwell	ID	Caldwell	https://graciebarra.com/id-caldwell
Gracie Barra Hayden	ID	Hayden	https://www.gbhayden.com
Silverback Jiu Jitsu	NM	Clovis	https://www.silverbacksoulbjj.com
Middlebury American Jiu Jitsu Academy	VT	Middlebury	https://mbjiujitsu.com
Imperial Training Center	MN	Rochester	https://imperialtrainingcenter.com
Precision Martial Arts Academy Flowood	MS	Flowood	https://www.mississippijiujitsu.com
10th Planet Jiu-Jitsu Auburn	NE	Auburn	https://10thplanetauburn.com
Mid America Martial Arts	NE	Omaha	https://midamericamartialarts.com
Narrow Path Martial Arts	NE	Omaha	https://npmaomaha.com
Renzo Gracie NH Windham	NH	Windham	https://renzogracienh.org
Spartanburg Jiu-Jitsu	SC	Spartanburg	https://www.spartanburgjiujitsu.com
Alavanca	AB	Calgary	https://www.alavanca.ca
Champion's Creed Martial Arts South	AB	Calgary	https://championscreed.ca/
Legacy Brazilian Jiu Jitsu Academy	BC	Coquitlam	https://www.legacybjjacademy.com
