name	region	city	url
Rilion Gracie Jiu-Jitsu of Miami Lakes	FL	Miami Lakes	http://www.riliongraciemiamilakes.com/
Renzo Gracie Academy Florida	FL	Sunrise	https://renzogracieflorida.com/
South Tampa Jiu-Jitsu & MMA	FL	Tampa	http://southtampajiujitsu.com/
Renzo Gracie Training Center	FL	Weston	http://www.renzogracieflorida.com/
Carlson Gracie Central Florida	FL	Winter Garden	http://www.rinaldosantos.com/
Ares BJJ Goodyear	AZ	Goodyear	http://aresbjjgoodyear.com
10th Planet Jiu Jitsu Scottsdale	AZ	Scottsdale	http://www.10thplanetscottsdale.com
Arizona Combat Sports	AZ	Tempe	http://azcombatsports.com/
10th Planet Jiu Jitsu Tucson	AZ	Tucson	http://10thplanettucson.com/
GB Saint Augustine	FL	St. Augustine	https://graciebarra.com/saint-augustine-fl/
Bluegrass Martial Arts	KY	Jeffersontown	https://bluegrassmartialarts.com/
Jujitsu School Of Self Defense	OH	Big Prairie	http://jujitsuschool.net/
GB Cincinnati	OH	West Chester	https://cincymma.com/
ES MMA and Fitness	MO	Fenton	http://esmmaandfitness.com/
Port Huron Jiu Jitsu Academy	MI	Port Huron	https://www.porthuronbjj.com/
Fresh Brazilian Jiu Jitsu	MI	St Clair Shores	http://www.saintclairshoresmma.com
College of Martial Arts	MI	Sterling Heights	http://comakarate.com/
Port City MMA	AL	Mobile	http://portcitymma.com/
Montgomery Brazilian Jiu-Jitsu	NJ	Belle Mead	https://www.montgomerybjj.com/
Carnicella MMA	NJ	Clifton	http://www.carnicellamma.com/
Tiger Schulmann's Martial Arts Englewood NJ	NJ	Englewood	https://tsk.com/locations/nj/englewood/
Tony Silva's Fusion Martial Arts & Brazilian Jiu Jitsu	NJ	Jackson Township	http://www.silvafusion.com/
Kao Muay Thai	NJ	Pennsauken Township	http://kaomuaythai.com/
Bill Stevens Karate	NJ	Ramsey	https://www.stevenskarate.com/brazilian-jiu-jitsu/
Douglas County Jiu Jitsu	NV	Gardnerville	http://www.dcjiujitsunv.com
Chris Engle Brazilian Jiu Jitsu	NV	Henderson	https://www.cebjj.net
Gracie Jiu Jitsu Henderson	NV	Henderson	http://www.gracielasvegas.com
Cascao Jiu Jitsu	NV	Las Vegas	https://cascaojiujitsu.org/
Vills Bros Brazilian Jiu-Jitsu	NV	Las Vegas	http://www.villsbrosbjj.com
Chicago School Of Grappling	IL	Chicago	http://chicagoschoolofgrappling.com
3D MMA Brazilian Jiu Jitsu	IL	Hanover Park	http://www.3dmmaacademy.com/
Norse Academy Martial Arts	IL	Lake Villa	https://uniphimma.com/
Tiger Schulmann's Mixed Martial Arts Allentown	PA	Allentown	https://tsk.com/jiu-jitsu-classes/allentown-jiu-jitsu/
10th Planet Jiu-Jitsu Bethlehem	PA	Bethlehem	http://finishersmma.com/
Pennsylvania Combat Sports	PA	Greensburg	https://pacombatsports.com/
Algeo MMA and Kickboxing	PA	King of Prussia	http://algeomma.com
Onyx Combat Sports	PA	Newtown Square	http://www.onyxcombatsports.com
Pride Lands MMA Academy	PA	Scranton	http://www.pridelandsmma.com/
Edge Fitness & Martial Arts	PA	Towanda	http://www.theedgefitness.com/
York Mixed Martial Arts Academy	PA	York	http://www.ymmaa.com/
EvolveAll - Martial Arts and Training Studio	VA	Arlington	https://evolveall.com/
American Top Team Ashburn	VA	Ashburn	https://attashburn.com/
Kenny Kim BJJ	GA	Marietta	https://kennykimbjj.com/
Carlos Machado Jiu-Jitsu North Atlanta	GA	Acworth	https://acworthjiujitsu.com/
Anchor Jiu Jitsu & Fitness	GA	Griffin	https://anchorjiujitsu.com/
Team Octopus Cartersville	GA	Cartersville	http://mmaatl.com/
Tect Center	GA	Eastman	https://middlegamartialarts.com/
