name	region	city	url
Martial Arts Nation Lake Nona BJJ	FL	Orlando	https://manationlakenona.com
Alers Martial Arts	FL	Pembroke Pines	http://www.alersmartialarts.com
Renzo Gracie Royal Palm Beach	FL	Royal Palm Beach	http://www.royalpalmbeachjj.com/
GB Stuart	FL	Stuart	https://graciebarra.com/stuart-fl/
Hellman's Mixed Martial Arts	FL	Tampa	https://hellmansmma.com/
GB Oro Valley	AZ	Oro Valley	https://graciebarraorovalley.com/
10th Planet San Diego	CA	San Diego	https://10thplanetsandiego.com
Gladiators Academy of Crowley	LA	Crowley	https://www.gladiatorsacademyofcrowley.com/
Church's Karate & Kickboxing Academy	LA	New Orleans	http://www.churchskarateacademy.com/
Acadiana Jiu Jitsu	LA	Scott	http://acadianajiujitsu.com/
Life's Ultimate Martial Arts Academy	KY	Maysville	https://www.lumaacademy.net/
Brazilian Jiu-Jitsu & Self Defense Academy	OH	Boardman	http://youngstownjiujitsu.com/
Team Rodrigo Vaghi	MO	Fenton	http://teamvaghi.com/
Ozark Mountain Brazilian Jiu Jitsu	MO	Marshfield	http://www.ozarkmountainbjj.com/
Cosens Martial Arts Grand Blanc LLC	MI	Grand Blanc	https://cosensmmagrandblanc.com/
Petoskey MMA	MI	Petoskey	http://petoskey-mma.business.site/
Shojin Judo	MI	Southfield	https://www.shojinjudo.com/
Metro Jiu-Jitsu	MI	Southgate	http://metrojj.com
True Martial Arts	MI	West Bloomfield	http://www.bloomfieldmartialarts.com
GB Huntsville	AL	Huntsville	https://www.graciebarrahuntsville.com
Tiger Schulmann's Martial Arts Short Hills NJ	NJ	Short Hills	https://tsk.com/locations/nj/short-hills/
Gary Grate Brazilian Jiu-Jitsu Academy of Reno NV	NV	Reno	https://www.bjjreno.com
Mequinho Jiu Jitsu	IL	Lisle	http://www.downersgrovejiujitsu.com
S.I.M.S. Martial Arts Academy	IL	O'Fallon	http://www.simsmartialartsacademy.com/
ROL Academy of Jiu Jitsu	IL	Orland Park	http://www.rolacademy.com/
Living Art Brazilian Jiu Jitsu	IL	Willowbrook	https://livingartbjj.com/
10th Planet Jiu Jitsu Denver	CO	Wheat Ridge	http://www.10thplanetdenver.com/
Spear Jiu Jitsu	PA	Havertown	http://spearjj.com
Zero Brazilian Jiu Jitsu	PA	York	http://www.zerobjj.com/
BOA BJJ Academy	VA	Mechanicsville	http://boabjj.com/
Shark Pit Jiu Jitsu	VA	Winchester	https://sharkpitbjj.com
Constant Expansion Jiu Jitsu / MMA	GA	Savannah	https://www.10psav.com
Rolling Panda Brazilian Jiu Jitsu	GA	Hiram	https://www.rollingpandabjj.com
Gracie Burlington Jiu Jitsu	NC	Burlington	http://www.gracieburlington.com/
Embrace Jiu Jitsu	NC	Wake Forest	https://embracemartialarts.com
Hammer Jiu Jitsu	CT	Fairfield	http://hammerbjj.com/
Soulcraft Brazilian Jiu-Jitsu	CT	Hamden	http://www.soulcraftbjj.com/
Renzo Gracie Milford	CT	Milford	http://www.renzograciemilford.com/
Way of Jiu Jitsu - Aurora	CO	Aurora	http://www.wayofjiujitsu.com
Tribal Society BJJ	CO	Carbondale	http://www.facebook.com/TribalSocietyBJJ
Motive Jiu-Jitsu Academy	CO	Erie	http://www.motivejiujitsu.com
Imperial Jiu Jitsu / Kickboxing	CO	Lakewood	http://imperialjiujitsu.com
House Of Martial Arts	IN	Carmel	houseofmartialarts.com
KruFit	IN	Fishers	krufit.com
Pollaro's Martial Arts	IN	Plainfield	pollaroma.com
Kraken Jiu Jitsu - Ardmore OK	OK	Ardmore	krakenardmore.com
Top Dawg BJJ	OK	Del City	topdawgbjj.com
Strike Martial Arts Academy	OK	Jenks	teamstrikemartialarts.com
Lovato Jiu-Jitsu Southside	OK	Oklahoma City	okbjjsouth.com
OKC Combat Sports	OK	Oklahoma City	okccombatsports.com
Team Link Northampton	MA	Northampton	teamlinknoho.com
Soneca Brazilian Jiu-Jitsu/ Team NEU – Worcester	MA	Worcester	sonecabjj.com
