region	city	name	url	hostname
AB	Airdrie	Airdrie Martial Arts Centre	https://airdriemartialartscentre.ca	airdriemartialartscentre.ca
AB	Airdrie	Jiu-Jitsu For Life Airdrie	https://jiujitsuforlifeairdrie.com	jiujitsuforlifeairdrie.com
AB	Ardrossan	Ground Control Academy	https://groundcontrolacademy.ca	groundcontrolacademy.ca
AB	Calgary	101 Academy	https://101academy.ca/	101academy.ca
AB	Calgary	Affinity Academy Nolan Hill	https://affinityacademy.ca	affinityacademy.ca
AB	Calgary	Affinity Academy Varsity	https://affinityacademy.ca	affinityacademy.ca
AB	Calgary	Alavanca	https://www.alavanca.ca	www.alavanca.ca
AB	Calgary	Alliance BJJ Calgary	https://www.alliancebjjcalgary.com/	www.alliancebjjcalgary.com
AB	Calgary	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	https://arashido.com/location/calgary-deerfoot-north/	arashido.com
AB	Calgary	Arashi-Do Martial Arts Calgary SE Deerfoot Douglasdale	https://arashido.com/location/calgary-deerfoot-south-douglasdale/	arashido.com
AB	Calgary	Arashi-Do Martial Arts Calgary SW Rutland Park	https://arashido.com/location/calgary-south-rutland-park/	arashido.com
AB	Calgary	Arashi-Do Martial Arts Calgary South Acadia	https://arashido.com/location/calgary-south-acadia/	arashido.com
AB	Calgary	Arashi-Do Martial Arts Calgary West Springbank	https://arashido.com/location/calgary-west-springbank/	arashido.com
AB	Calgary	Authentic Jiu Jitsu	https://authenticjiujitsu.com	authenticjiujitsu.com
AB	Calgary	Carlson Gracie Calgary	https://www.carlsongraciecalgary.com	www.carlsongraciecalgary.com
AB	Calgary	Champion's Creed Martial Arts North	https://championscreed.ca	championscreed.ca
AB	Calgary	Champion's Creed Martial Arts South	https://championscreed.ca/	championscreed.ca
AB	Calgary	Dynamic MMA Calgary	https://www.dynamicmma.ca	www.dynamicmma.ca
AB	Calgary	Elite Martial Arts Calgary	https://calgarymartialarts.com	calgarymartialarts.com
AB	Calgary	Gracie Barra Calgary	https://graciebarracalgary.ca	graciebarracalgary.ca
AB	Calgary	Main Quest BJJ	https://mainquestbjj.com	mainquestbjj.com
AB	Calgary	Rocky Mountain Brazilian Jiu Jitsu	https://rockymountainbjj.com	rockymountainbjj.com
AB	Calgary	Straight Blast Gym Calgary	https://sbgcalgary.com	sbgcalgary.com
AB	Calgary	The Old Way Jiu-Jitsu	https://www.theoldwayjiujitsu.com	www.theoldwayjiujitsu.com
AB	Calgary	Tried & True Jiu Jitsu	https://triedandtruejj.ca	triedandtruejj.ca
AB	Calgary	Upper Academy & Alliance Brazilian Jiu-Jitsu	https://upperacademy.ca	upperacademy.ca
AB	Calgary	YYC Brazilian Jiu Jitsu	https://www.yycbjj.ca	www.yycbjj.ca
AB	Cochrane	Arashi-Do Martial Arts Cochrane	https://arashido.com/location/cochrane/	arashido.com
AB	Edmonton	Arashi-Do Martial Arts Edmonton East	https://arashido.com/location/edmonton-east/	arashido.com
AB	Edmonton	Arashi-Do Martial Arts Edmonton North	https://arashido.com/location/edmonton-north/	arashido.com
AB	Edmonton	Arashi-Do Martial Arts Edmonton South	https://arashido.com/location/edmonton-south/	arashido.com
AB	Edmonton	Arashi-Do Martial Arts Edmonton West Mayfield	https://arashido.com/location/edmonton-west-mayfield/	arashido.com
AB	Edmonton	Bairro Brazilian Jiu-Jitsu Academy	https://bairro.ca	bairro.ca
AB	Edmonton	Bairro Martial Arts Academy South	https://bairro.ca	bairro.ca
AB	Edmonton	Black Sails Brazilian Jiu Jitsu	https://www.blacksailsbjj.com	www.blacksailsbjj.com
AB	Edmonton	Bravé MMA and Fitness	https://bravemmaandfitness.com	bravemmaandfitness.com
AB	Edmonton	Edmonton BJJ	https://edmontonbjj.com	edmontonbjj.com
AB	Edmonton	Edmonton Gracie Jiu-Jitsu	https://edmontongraciejiujitsu.com/	edmontongraciejiujitsu.com
AB	Edmonton	Elite Taekwondo and Brazilian Jiu Jitsu	https://eliteedmonton.ca	eliteedmonton.ca
AB	Edmonton	Gracie Barra Edmonton	https://graciebarra.com/edmonton-alberta-canada/	graciebarra.com
AB	Edmonton	Kamikaze Punishment Foundation	https://www.kpfit.ca	www.kpfit.ca
AB	Edmonton	Kazoku BJJ	https://kazokubjj.ca/	kazokubjj.ca
AB	Edmonton	Munduruca North Edmonton BJJ	https://northedmontonbjj.com	northedmontonbjj.com
AB	Edmonton	SBG Edmonton	https://www.straightblastgymedmonton.com	www.straightblastgymedmonton.com
AB	Edmonton	The Ludus Martial Arts Academy	https://www.ludusmartialarts.ca	www.ludusmartialarts.ca
AB	Edmonton	Wolfhouse MMA Edmonton	https://wolfhousemma.com	wolfhousemma.com
AB	Edson	Arashi-Do Martial Arts Edson	https://arashido.com/location/edson/	arashido.com
AB	Grande Prairie	Heiho Dojo	https://www.heihodojo.ca	www.heihodojo.ca
AB	Grande Prairie	The Komodo Academy	https://www.thekomodoacademy.com/	www.thekomodoacademy.com
AB	Hinton	Arashi-Do Martial Arts Hinton	https://arashido.com/location/hinton/	arashido.com
AB	Leduc	Arashi-Do Martial Arts Leduc	https://arashido.com/location/leduc/	arashido.com
AB	Lethbridge	Canadian Martial Arts Centre	https://cmcmma.com	cmcmma.com
