North Bay Jiu Jitsu	Novato	CA	snippets/tjjm-gyms-data-6.liquid
Kihon Traditional MMA	Oakhurst	CA	snippets/tjjm-gyms-data-6.liquid
10th Planet Jiu Jitsu Oakland	Oakland	CA	snippets/tjjm-gyms-data-6.liquid
Catch MMA	Oakland	CA	snippets/tjjm-gyms-data-6.liquid
Pacific Ring Sports	Oakland	CA	snippets/tjjm-gyms-data-6.liquid
Six Blades Jiu Jitsu	Oakland	CA	snippets/tjjm-gyms-data-6.liquid
Big Break Jiu Jitsu	Oakley	CA	snippets/tjjm-gyms-data-6.liquid
Growth Mindset Collective	Oakley	CA	snippets/tjjm-gyms-data-6.liquid
10th Planet Oceanside	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
760 Jiu-Jitsu / BJJ Oceanside CA 92057	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
Compound MMA & Fitness	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
CSG 360 Jiu Jitsu	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
EXCEL Jiu Jitsu MMA & Fitness	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
GB Oceanside	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
Oceanside Jiu Jitsu	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
UFC Gym Oceanside	Oceanside	CA	snippets/tjjm-gyms-data-6.liquid
10th Planet Jiu Jitsu Orange	Orange	CA	snippets/tjjm-gyms-data-6.liquid
OC Carlson Gracie Jiu Jitsu	Orange	CA	snippets/tjjm-gyms-data-6.liquid
Point of Impact MMA	Orange	CA	snippets/tjjm-gyms-data-6.liquid
UFC GYM Orange	Orange	CA	snippets/tjjm-gyms-data-6.liquid
West Coast Jiu Jitsu & Muay	Oxnard	CA	snippets/tjjm-gyms-data-6.liquid
Thrive Jiu Jitsu	Pacifica	CA	snippets/tjjm-gyms-data-6.liquid
GB Palm Desert	Palm Desert	CA	snippets/tjjm-gyms-data-6.liquid
10th Planet Palmdale	Palmdale	CA	snippets/tjjm-gyms-data-6.liquid
SoCal Fight Factory	Palmdale	CA	snippets/tjjm-gyms-data-6.liquid
MZ Brazilian Jiu-Jitsu	Palo Cedro	CA	snippets/tjjm-gyms-data-6.liquid
Silva BJJ Parlier CA (Aloisio Silva Affiliated Academy)	Parlier	CA	snippets/tjjm-gyms-data-6.liquid
Gracie Barra Pasadena	Pasadena	CA	snippets/tjjm-gyms-data-6.liquid
GB Paso Robles	Paso Robles	CA	snippets/tjjm-gyms-data-6.liquid
Crispim BJJ	Pleasanton	CA	snippets/tjjm-gyms-data-6.liquid
Guerrilla Jiu-Jitsu	Pleasanton	CA	snippets/tjjm-gyms-data-6.liquid
10th Planet Poway Jiu Jitsu	Poway	CA	snippets/tjjm-gyms-data-6.liquid
10th Planet Rancho Cucamonga	Rancho Cucamonga	CA	snippets/tjjm-gyms-data-6.liquid
Javier Vazquez Jiu Jitsu Rancho / BJJ Rancho Cucamonga CA 91730	Rancho Cucamonga	CA	snippets/tjjm-gyms-data-6.liquid
Millennia MMA Gym HQ Rancho Cucamonga	Rancho Cucamonga	CA	snippets/tjjm-gyms-data-6.liquid
Evolve Checkmat Jiu Jitsu / Muay Thai Academy	Rancho Mission Viejo	CA	snippets/tjjm-gyms-data-6.liquid
Next Generation MMA	Rancho Santa Margarita	CA	snippets/tjjm-gyms-data-6.liquid
