101 Academy Jiu Jitsu	Calgary	AB	snippets/tjjm-gyms-data.liquid
Airdrie BJJ	Airdrie	AB	snippets/tjjm-gyms-data.liquid
Alliance Jiu Jitsu Calgary	Calgary	AB	snippets/tjjm-gyms-data.liquid
Angry Monkey MMA	Calgary	AB	snippets/tjjm-gyms-data.liquid
Banff BJJ	Banff	AB	snippets/tjjm-gyms-data.liquid
Brooks BJJ	Brooks	AB	snippets/tjjm-gyms-data.liquid
Camrose BJJ	Camrose	AB	snippets/tjjm-gyms-data.liquid
Cochrane BJJ	Cochrane	AB	snippets/tjjm-gyms-data.liquid
Edmonton BJJ	Edmonton	AB	snippets/tjjm-gyms-data.liquid
Elite Martial Arts Calgary	Calgary	AB	snippets/tjjm-gyms-data.liquid
Fort McMurray BJJ	Fort McMurray	AB	snippets/tjjm-gyms-data.liquid
Grande Prairie BJJ	Grande Prairie	AB	snippets/tjjm-gyms-data.liquid
Lethbridge BJJ	Lethbridge	AB	snippets/tjjm-gyms-data.liquid
Medicine Hat BJJ	Medicine Hat	AB	snippets/tjjm-gyms-data.liquid
Okotoks BJJ	Okotoks	AB	snippets/tjjm-gyms-data.liquid
Phoenix Martial Arts Club	St. Albert	AB	snippets/tjjm-gyms-data.liquid
Red Deer BJJ	Red Deer	AB	snippets/tjjm-gyms-data.liquid
Sherwood Park BJJ	Sherwood Park	AB	snippets/tjjm-gyms-data.liquid
Straight Blast Gym Calgary	Calgary	AB	snippets/tjjm-gyms-data.liquid
Wetaskiwin BJJ	Wetaskiwin	AB	snippets/tjjm-gyms-data.liquid
Wolfhouse MMA Edmonton	Edmonton	AB	snippets/tjjm-gyms-data.liquid
YYC Brazilian Jiu Jitsu	Calgary	AB	snippets/tjjm-gyms-data.liquid
AK-49 Martial Arts	Soldotna	AK	snippets/tjjm-gyms-data.liquid
Alaska Center For The Martial Arts	Wasilla	AK	snippets/tjjm-gyms-data.liquid
Anchorage Brazilian Jui-Jitsu	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Anchorage Grappling Academy	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Arctic Warrior Brazilian Jiu-Jitsu	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Crazy Monkey Alaska	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Eclipse Martial Arts	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Evolution Jiu Jitsu	Juneau	AK	snippets/tjjm-gyms-data.liquid
Frostbite Vale-tudo	Fairbanks	AK	snippets/tjjm-gyms-data.liquid
Gracie Barra - Jiu Jitsu	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Greatland Martial Arts	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Ketchikan Jiu-Jitsu	Ketchikan	AK	snippets/tjjm-gyms-data.liquid
Krav Maga Anchorage	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Legacy Jiu Jitsu	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Revolution BJJ	Fairbanks	AK	snippets/tjjm-gyms-data.liquid
Shoshin Ryu	Anchorage	AK	snippets/tjjm-gyms-data.liquid
Shoshindo of Alaska	Wasilla	AK	snippets/tjjm-gyms-data.liquid
Team Caique Jiu-Jitsu Alaska	Palmer	AK	snippets/tjjm-gyms-data.liquid
