verdict	name	region	url	evidence
CLEAN	101 Academy	AB	https://101academy.ca/	clean
CLEAN	10th Planet BJJ Bloomsburg at Mid World Martial Arts	PA	https://www.midworldmartialarts.com/	clean
CLEAN	10th Planet Birmingham	AL	https://mmabirmingham.com/	clean
CLEAN	10th Planet Chino Hills	CA	https://www.10thplanetchinohills.com/	clean
CLEAN	10th Planet Corona	CA	https://10thplanetjjcor.com	clean
CLEAN	10th Planet El Paso	TX	https://10thplanetelpaso.com/contact/	clean
CLEAN	10th Planet Fredericksburg	VA	https://www.10thplanetfxbg.com/	clean
CLEAN	10th Planet Georgetown	TX	https://10pgtx.com/	clean
CLEAN	10th Planet Goodyear	AZ	https://www.10thplanetgoodyear.com/	clean
CLEAN	10th Planet Jiu JItsu Murrieta	CA	https://www.10thplanetjjmurrieta.com	clean
CLEAN	10th Planet Jiu Jitsu Albuquerque	NM	https://10pabq.com	clean
CLEAN	10th Planet Jiu Jitsu Allentown	PA	https://www.10thplanetallentown.com/	clean
CLEAN	10th Planet Jiu Jitsu Beaumont	TX	https://www.10thplanetbeaumontjiujitsumma.com/	clean
CLEAN	10th Planet Jiu Jitsu Chicago	IL	https://www.10thplanetchicago.com/	clean
CLEAN	10th Planet Jiu Jitsu Decatur	AL	https://decaturbrazilianjiujitsu.com/	clean
UNREACHABLE	10th Planet Jiu Jitsu Jacksonville	FL	https://www.10pjax.com/	Wix "Reconnect Your Domain" placeholder; site not live
CLEAN	10th Planet Jiu Jitsu Las Vegas	NV	https://www.10thplanetlasvegas.com	clean
CLEAN	10th Planet Jiu Jitsu Lombard	IL	https://www.10plombard.com/	clean
CLEAN	10th Planet Jiu Jitsu NYC	NY	https://www.10thplanetjjnyc.com	clean
CLEAN	10th Planet Jiu Jitsu Newark (Heath OH)	OH	https://10thplanetnewark.com	clean
CLEAN	10th Planet Jiu Jitsu Riverside CA	CA	https://www.10thplanetjjriverside.com/	clean
CLEAN	10th Planet Jiu Jitsu Santa Fe	NM	https://10thplanetsantafe.com	clean
CLEAN	10th Planet Jiu Jitsu Ventura / BJJ Ventura CA 93001	CA	https://10thplanetventura.com/	clean
CLEAN	10th Planet Jiu-Jitsu Auburn	NE	https://10thplanetauburn.com	clean
CLEAN	10th Planet Jiu-Jitsu Omaha	NE	https://10thplanetomaha.com	clean
CLEAN	10th Planet Jiu-Jitsu SLC	UT	https://10thplanetslc.com	clean
CLEAN	10th Planet Oceanside	CA	https://10thplanetoceanside.com	clean
CLEAN	10th Planet Palmdale	CA	https://10thplanetpalmdale.com/	clean
CLEAN	10th Planet Pleasant Grove	UT	https://10thplanetpleasantgrove.com	clean
CLEAN	10th Planet Poway Jiu Jitsu	CA	https://www.10thplanetpoway.com/	clean
CLEAN	10th Planet Redland	CA	https://10thplanetjiujitsuredlands.com/	clean
CLEAN	10th Planet Richmond	BC	https://www.10thplanetrichmond.ca	clean
CLEAN	10th Planet Sacramento	CA	https://www.10psac.com	clean
CLEAN	10th Planet San Antonio Huebner Oaks	TX	https://www.10psanantonio.com/	clean
CLEAN	10th Planet San Diego	CA	https://10thplanetsandiego.com	clean
CLEAN	10th Planet Santa Barbara	CA	https://www.10thplanetsantabarbara.com/	clean
CLEAN	10th Planet South Bay (Chula Vista CA)	CA	https://10thplanetsouthbay.com/	clean
CLEAN	10th Planet Thousand Oaks	CA	https://www.10thplanetthousandoaks.com/	clean
CLEAN	10th Planet Torrance	CA	https://10ptorrance.com/	clean
CLEAN	10th Planet Whittier	CA	https://www.join10pwhittier.com/	clean
CLEAN	12th Street Jiu-Jitsu	AZ	https://12stjiujitsu.com/	clean
CLEAN	144 Academy Jiu Jitsu/Self-Defense/Fitness	TX	https://144academy.com/	clean
CLEAN	360 BJJ	TX	https://360bjj.com/	clean
CLEAN	360 Defense Martial Arts (Macarra BJJ Affiliated Academy)	CT	https://www.360defensemartialarts.com/	clean
CLEAN	374 MMA	NS	https://374mma.com	clean
CLEAN	4S Brazilian Jiu Jitsu / Jiu-Jitsu San Diego CA 92127	CA	https://4sbjj.com/	clean
CLEAN	5 Elements Studio- Jiu-Jitsu & Fitness	TX	https://5elementsstudio.com/	clean
CLEAN	501 BJJ & Kickboxing	AR	https://501bjj.com	clean
CLEAN	66 JIU-JITSU	AZ	https://www.66jiu-jitsu.com/	clean
CLEAN	662 JiuJitsu	MS	https://www.jiujitsuoxford.com	clean
CLEAN	760 Jiu-Jitsu / BJJ Oceanside CA 92057	CA	https://760jiujitsu.com/	clean
CLEAN	7th Generation Jiu Jitsu	CA	https://www.7thgenerationbjj.com/	clean
CLEAN	88 BJJ	ON	https://eighteightbjj.com	clean
