verdict	id	city	name	url	note
OK	1	Airdrie	Airdrie Martial Arts Centre	https://airdriemartialartscentre.ca	Squarespace site; Muay Thai/BJJ/boxing gym, 28 Gateway Dr Airdrie
OK	2	Airdrie	Jiu-Jitsu For Life Airdrie	https://jiujitsuforlifeairdrie.com	live BJJ academy page, 46 Baysprings Way Airdrie; og:site_name still carries the vendor template name "Boat Rentals Single-Page" but all content is genuine BJJ
OK	3	Ardrossan	Ground Control Academy	https://groundcontrolacademy.ca	WordPress BJJ gym, 60 First Ave Ardrossan
OK	4	Calgary	Elite Martial Arts Calgary	https://calgarymartialarts.com	Muay Thai + BJJ academy, three South Calgary locations
OK	5	Calgary	Straight Blast Gym Calgary	https://sbgcalgary.com	SBG Calgary BJJ gym with full class schedule
OK	6	Calgary	YYC Brazilian Jiu Jitsu	https://www.yycbjj.ca	Wix site, BJJ academy 3507 17 Ave SW Calgary
OK	7	Calgary	101 Academy	https://101academy.ca/	BJJ gym in Calgary with full schedule
OK	8	Calgary	Affinity Academy Nolan Hill	https://affinityacademy.ca	BJJ + kickboxing, Varsity and Nolan Hill Calgary
OK	9	Calgary	Affinity Academy Varsity	https://affinityacademy.ca	same host as id 8; BJJ + kickboxing, Varsity and Nolan Hill Calgary
OK	10	Calgary	Alavanca	https://www.alavanca.ca	BJJ/MMA/Muay Thai academy, 209 16th Ave NE Calgary
OK	11	Calgary	Alliance BJJ Calgary	https://www.alliancebjjcalgary.com/	Alliance BJJ affiliate, Deer Run Shopping Centre Calgary
OK	12	Calgary	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	https://arashido.com/location/calgary-deerfoot-north/	live Arashi-Do location page, Calgary NE Deerfoot McCall Lake
OK	13	Calgary	Arashi-Do Martial Arts Calgary SE Deerfoot Douglasdale	https://arashido.com/location/calgary-deerfoot-south-douglasdale/	live Arashi-Do location page, 11488 24 St SE Calgary; karate/Muay Thai/BJJ
OK	14	Calgary	Arashi-Do Martial Arts Calgary SW Rutland Park	https://arashido.com/location/calgary-south-rutland-park/	live Arashi-Do location page, 3130 40 Ave SW Calgary
OK	15	Calgary	Arashi-Do Martial Arts Calgary South Acadia	https://arashido.com/location/calgary-south-acadia/	live Arashi-Do location page, 8318 Fairmount Dr SE Calgary
OK	16	Calgary	Arashi-Do Martial Arts Calgary West Springbank	https://arashido.com/location/calgary-west-springbank/	live Arashi-Do location page, 250021 Mountain View Trail Calgary
OK	17	Calgary	Authentic Jiu Jitsu	https://authenticjiujitsu.com	Squarespace BJJ academy, 3616 52 Ave NW Calgary
OK	18	Calgary	Carlson Gracie Calgary	https://www.carlsongraciecalgary.com	Carlson Gracie BJJ academy, 7060 Farrell Rd SE Bay D Calgary
OK	19	Calgary	Champion's Creed Martial Arts North	https://championscreed.ca	BJJ/Muay Thai/MMA; North location 5720 Silver Springs Blvd NW Calgary
OK	20	Calgary	Champion's Creed Martial Arts South	https://championscreed.ca/	same host as id 19; South location 119 42 Ave SW Calgary
OK	21	Calgary	Dynamic MMA Calgary	https://www.dynamicmma.ca	Weebly site, Calgary MMA/kickboxing/BJJ club; thin homepage but nav, programs and schedule pages intact
EMPTY	22	Calgary	Gracie Barra Calgary	https://graciebarracalgary.ca	resolves (A 66.102.133.110, Status 0 with Answer) and responds, but returns no readable body on either apex or www; JS-rendered or bot-blocked, needs a browser
OK	23	Calgary	JR Academy	https://www.jracademy.co	Squarespace BJJ academy (formerly Gracie Barra Calgary), 6031 3 St SE Calgary
OK	24	Calgary	Main Quest BJJ	https://mainquestbjj.com	BJJ / no-gi gym (formerly 10th Planet Calgary), 6020 1A St SW Calgary
OK	25	Calgary	Rocky Mountain Brazilian Jiu Jitsu	https://rockymountainbjj.com	Squarespace BJJ school, 6419 Bowness Rd NW Calgary
OK	26	Calgary	The Old Way Jiu-Jitsu	https://www.theoldwayjiujitsu.com	Wix site, BJJ academy 10233 Elbow Dr SW Calgary
OK	27	Calgary	Tried & True Jiu Jitsu	https://triedandtruejj.ca	WordPress BJJ gym in Calgary with full schedule
OK	28	Calgary	Upper Academy & Alliance Brazilian Jiu-Jitsu	https://upperacademy.ca	Alliance BJJ academy page, Calgary
OK	29	Canmore	Dark Horse Martial Arts	https://darkhorsemartialarts.ca/	GoDaddy-built BJJ club, 306 Bow Valley Trail Canmore
OK	30	Cochrane	Arashi-Do Martial Arts Cochrane	https://arashido.com/location/cochrane/	live Arashi-Do location page, 101 Sunset Dr Cochrane
OK	31	Edmonton	Edmonton BJJ	https://edmontonbjj.com	live BJJ site now branded Impact BJJ / Impact Martial Arts, 4912 93 Ave NW Edmonton
OK	32	Edmonton	Wolfhouse MMA Edmonton	https://wolfhousemma.com	live MMA/boxing/BJJ gym site with memberships and schedule
OK	33	Edmonton	Arashi-Do Martial Arts Edmonton East	https://arashido.com/location/edmonton-east/	live Arashi-Do location page, Edmonton East
OK	34	Edmonton	Arashi-Do Martial Arts Edmonton North	https://arashido.com/location/edmonton-north/	live Arashi-Do location page, 12730 St Albert Trail NW Edmonton
OK	35	Edmonton	Arashi-Do Martial Arts Edmonton South	https://arashido.com/location/edmonton-south/	live Arashi-Do location page, Edmonton South
OK	36	Edmonton	Arashi-Do Martial Arts Edmonton West Mayfield	https://arashido.com/location/edmonton-west-mayfield/	live Arashi-Do location page, Edmonton West Mayfield
