region	city	name	verdict	new_url	stored_url	evidence
AL	Birmingham	Samuel Puccio Brazilian Jiu-Jitsu	DEAD		https://bhmbjj.com/	NXDOMAIN (Status 3) for both bhmbjj.com and www.bhmbjj.com; no A records, SOA returned from com. gTLD servers
AZ	Chandler	Courage Honor Strength Brazilian Jiu-Jitsu	DEAD		http://www.chsbjj.com/	NXDOMAIN (Status 3) on both chsbjj.com and www.chsbjj.com
AZ	Chandler	The Desert Dojo	DEAD		https://thedesertdojo.com/	Cloudflare nameservers delegated but no A record at apex (Status 0, no Answer array); www.thedesertdojo.com is NXDOMAIN
AZ	Glendale	Black Flag Submission Co.	DEAD		https://www.blackflagsubco.com/	DNS NXDOMAIN (Status 3) on both blackflagsubco.com and www.blackflagsubco.com
AZ	Lake Havasu City	Bridge City Combat	WRONG_ENTITY		http://aaeamerica.com/	aaeamerica.com is Against All Enemies Armory, a firearms retailer/gunsmith at 2152 McCulloch Blvd (the gym is across the street at 2143 McCulloch). Site is Clou
AZ	Surprise	Baker's MMA & Fitness LLC	KEEP	http://www.bakersmmaandfitness.com/	http://bakersmmaandfitness.com/	"Stored apex returns an empty body (http and https); www renders the real Wix site: address ""13200 W Foxfire Dr #146-148 Surprise, AZ 85378"", head instructor Gle"
AZ	Tucson	TeckHit Boxing, Kickboxing, & MMA Gym	DEAD		https://teckhit.com/	DNS dead: apex teckhit.com Status 0 with NO Answer array (Cloudflare SOA only); www.teckhit.com Status 3 NXDOMAIN
CA	Bakersfield	Eric Nolan’s Xtreme Training Center	DEAD		http://www.ericnolan.com/	DNS Status 2 REFUSED for both apex and www; all six authoritative nameservers return REFUSED (lame delegation at ericnolan.com)
CA	Los Angeles	Marcelo Garcia Academy LA	UNRESOLVED		https://marcelogarciaacademy.com/la	Domain resolves (15.197.142.173 / 3.33.152.147, GoDaddy nameservers) but /la, apex, /robots.txt and /sitemap.xml ALL return an empty body - no readable content 
CA	Madera	Madera Martial Arts	PARKED		http://maderamma.com/	"Redirects to www.maderamma.com serving a Namecheap parking page: ""has been recently registered with namecheap.com"" plus domain-auction ads"
CA	Oakland	Catch MMA	PARKED	https://catchmma.com/	https://www.catchmma.com/	"Stored www host is a CNAME to exp.gname.net (Gname expired-domain host) and serves an empty document. Apex catchmma.com serves the real gym: ""Situated in the pu"
CA	Rocklin	SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	DEAD		http://sllgrapplingacademy.com/	DNS Status 2: nameservers 192.185.65.17 and 192.185.65.244 return REFUSED at delegation; no A record for apex or www.
CA	San Diego	4S Brazilian Jiu Jitsu / Jiu-Jitsu San Diego CA 92127	KEEP	https://4sbjj.com/	http://www.4sbjj.com/	"Host normalisation: www returned an empty body on both schemes; apex https renders the real school. Own page reads ""4S Brazilian Jiu Jitsu - San Diego - CA"" / """
CA	Torrance	Gracie Jiu-Jitsu Academy	DEAD	https://gracie-torrance.com/	http://www.gracieacademy.com/	gracieacademy.com resolves (162.0.229.11) but served an empty body on www and apex, http and https. The Torrance academy now operates as Gracie University HQ: o
CO	Fort Collins	The Dojo LLC	HIJACKED		http://www.thedojofc.com	"HIJACKED. thedojofc.com now serves a Chinese sports-gambling SEO farm titled ""开云·体育-开云online（中国）"" (Kaiyun Sports), fronted as a Guangzhou IT company ""腾展科技"", add"
CO	Loveland	Northern Colorado Jiu Jitsu	DEAD		http://www.nocojiujitsu.com	DNS REFUSED (Status 2, lame delegation at nocojiujitsu.com) for both apex and www
CO	Parker	Jit Pit Academy	KEEP	https://jitpit.com/	http://www.jitpit.com	"Stored www+http host returns an empty body; https apex is live and correct: ""We are based in Parker, CO"" and ""expert coaching in Brazilian jiu-jitsu (BJJ), Judo"
CT	Norwalk	Ronin Martial Arts - Westport	DEAD		https://www.westportmma.com/	Authoritative nameservers REFUSED (Status 2, lame delegation) for both westportmma.com and www.westportmma.com
CT	Stamford	Stamford Judo	PARKED		http://www.stamfordjudo.us/	"Trellian/Above.com domain parking: page title is bare ""stamfordjudo.us"" and the only content is ""Click here to enter"" linking back with a tr_uuid tracking param"
FL	Fort Pierce	Team Carvalho Treasure Coast	WRONG_ENTITY	https://www.teamcarvalhotreasurecoast.com/	http://www.teamcarvalho.com/	teamcarvalho.com is Team Carvalho Internacional Judo & BJJ - its contact page gives 20545 SW 5th Place, Dunnellon, FL 34431 and its only dojos are Dunnellon FL 
FL	Jacksonville Beach	Ludus Martial Arts LLC	KEEP	https://www.ludusmartialarts.com/	http://ludusmartialarts.com/	"Apex serves an empty body on http and https; www renders. www footer: ""730 Beach Blvd, Unit 105, Jacksonville Beach, FL 32250, (904) 374-4186""; classes page nam"
FL	Jupiter	Team Nogueira Bloise Academy	DEAD	https://jupiterbjj.com	http://www.teamnog.com/	"teamnog.com now redirects to https://jupiterbjj.com/page-not-found (live 404). Same owner, relocated site: footer reads ""Team Nogueira Bloise Academy ... Jupite"
FL	Longwood	Kokopelli's Gym	DEAD		http://www.kokogym.com/	DNS Status 2 REFUSED at both kokogym.com and www.kokogym.com (lame delegation at the kokogym.com delegation point)
FL	Orlando	American Combat Club	KEEP	http://americancombatclub.com/	http://www.americancombatclub.com/	"Host normalisation: www returned an empty body on both schemes; apex renders. Own page: ""American Combat Club, 1016 West Church Street, Orlando, FL 32805, (321)"
FL	Palm Beach Gardens	Gamblers Jiu-Jitsu & Kickboxing Club	KEEP	http://gamblersjiujitsuclub.com/	http://gamblersjiujitsuclub.com/sign-up-for-free-trial/	"Stored deep link /sign-up-for-free-trial/ returns an empty page; homepage is live and is the right school: ""10415 Riverside Dr Suite 105, Palm Beach Gardens, FL"
FL	Pembroke Pines	Valente Brothers Jiu-Jitsu Pembroke Pines	WRONG_ENTITY	https://pembrokepinesselfdefense.com/	http://www.graciemiami.com	graciemiami.com serves the legacy Valente Brothers HEADQUARTERS site (North Miami Beach), not the Pembroke Pines school; its newest content is from 2015 and it 
