id	region	city	name	stored_w	current_override	override_file	new_w	verified	note
1	AL	Athens	Athens Jiu Jitsu	https://www.athensjiujitsu.info/		websites-2	https://www.ajjathens.com	PASS	Body names Athens Jiu Jitsu, 1659 S Jefferson St Athens AL 35613, with Jiu Jitsu and kids programs.
2	FL	Aventura	Marcus Aurelio Jiu Jitsu Academy	http://www.maximusmartialarts.com/		websites-2	https://aureliobjj.com/	PASS_WITH_CAVEAT	Site is real BJJ academy but describes itself as North Miami with map pin 1928 NE 154th St (North Miami Beach), not Aventura.
3	FL	Boca Raton	GB Boca Raton	http://braziliantopteamflorida.com/		websites-2	https://gbbocaraton.com/	PASS_WITH_CAVEAT	Address 1141 S Rogers Cir Boca Raton and phone confirm, but two body sections say Gracie Barra Boynton Beach (sibling-school template copy).
4	FL	Boca Raton	Gracie Jiu-Jitsu Boca Raton			NEW	https://graciejiujitsubocaraton.com/	PASS	Certified Gracie training centre at 11401 West Palmetto Park Rd Boca Raton with full BJJ program list.
6	FL	Boynton Beach	Xcell Jiu Jitsu	https://www.xcelljiujitsu.com/		websites-2	https://www.xcellbjj.com/	PASS	Body confirms Xcell Jiu-Jitsu, 975 Gateway Blvd Boynton Beach FL 33426, kids and adult BJJ.
8	FL	Cape Coral	Brazilian Jiu Jitsu Academy Cape Coral			NEW	https://steve6139.wixsite.com/bjjacademy	PASS_WITH_CAVEAT	Own site, 1423 SE 10th St Cape Coral, BJJ confirmed, but visibly stale (dead Google Plus link, Wix free subdomain, AdvoCare promo); no newer domain found.
14	FL	Crestview	GB Crestview			NEW	https://graciebarra.com/crestview-fl/	PASS	Real location subpage: 751 N Ferdon Blvd Crestview FL 32536, phone 850-634-7248, GB1/GB2/GB3 classes.
16	FL	Davie	GB Davie			NEW	https://gbdavie.com/	PASS_WITH_CAVEAT	Body confirms a Brazilian Jiu Jitsu academy in Davie with kids and adult classes, but the words Gracie Barra appear only in logo images and the domain, not in readable text.
21	FL	Destin	Destin Academy of Mixed Martial Arts			NEW	https://www.destinmma.com/About/about.html	PASS_WITH_CAVEAT	Root redirects to graciejiujitsudestin.com which renders an empty JS-only body; the About subpath reads fine and shows Gracie Jiu-Jitsu Destin at 12273 Emerald Coast Pkwy, Miramar Beach FL 32550.
22	FL	Fort Lauderdale	Renzo Gracie Fort Lauderdale	https://www.renzogracieftlauderdale.com/		websites-2	https://renzogracieftl.com/	PASS	Body confirms Renzo Gracie Fort Lauderdale, 535 NE 13th St #1 Fort Lauderdale FL 33304, gi and no-gi BJJ.
25	FL	Gulf Breeze	Gulf Breeze Jiu Jitsu	https://gulfbreezejiujitsu.com/		websites-2	https://gulfbreezebjj.com/	PASS_WITH_CAVEAT	Same school and address (1626 Beechwood Dr, Gulf Breeze FL 32563) with a named BJJ program, but it now brands as Checkmat Gulf Breeze.
27	FL	Hialeah	GB Hialeah			NEW	https://graciebarrahialeah.com/	PASS	Gracie Barra Hialeah, 1001 W 49th St Suite 6 Hialeah FL 33012, kids/adult/women jiu-jitsu programs.
35	FL	Kendale Lakes	The Hidden Lotus			NEW	https://www.zenroninmma.com/	PASS_WITH_CAVEAT	Page never says Hidden Lotus, but rename corroborated: same address 8530 SW 124th Ave Ste 201 and same phone 786-343-0332 as the Hidden Lotus listing; the school's own Instagram is Hidden Lotus MMA/Zen Jiu Jitsu.
36	FL	Key Biscayne	Alliance Jiu Jitsu	http://www.alliancekb.com		websites-2	https://alliancejjkb.com/	PASS	Alliance Key Biscayne Jiu-Jitsu Academy, 971 Crandon Blvd Unit 927-929 Key Biscayne FL 33149, adult/kids jiu jitsu.
38	FL	Lake Worth	Combat Club Lake Worth	https://combatclublakeworth.com/		websites-2	https://www.combatclub.com/	PASS_WITH_CAVEAT	Named Submission Grappling (No-Gi BJJ) program confirmed, but the listed address is 6240 S Congress Ave Suite G1, Lantana FL 33462, not Lake Worth.
39	FL	Largo	Gracie Jiu-Jitsu Largo			NEW	https://gracielargowest.com/	PASS_WITH_CAVEAT	This is the West branch at 12662 Starkey Rd Largo FL 33773; graciejiujitsulargo.com now redirects here and the East branch at 5047 Ulmerton Rd Clearwater is listed as closed.
42	FL	Miami	Teknica MMA	https://www.teknicamartialarts.com/		websites-2	https://teknicajj.com/	PASS_WITH_CAVEAT	Teknica Jiu Jitsu with gi and no-gi classes, but the address is 11829 S Dixie Hwy 2nd floor, Pinecrest FL 33156, not Miami proper.
45	FL	Miami	Team Alpha Miami			NEW	https://alphamiamigrappling.com/	PASS	Alpha Miami Grappling, 850 SW 69th Ave Miami FL 33144, named Submission Grappling and Wrestling programs.
52	FL	Ocala	Ocala Brazilian Jiu Jitsu Academy			NEW	https://www.bjjocala.com/	PASS	Ocala BJJ, 7365 SW 38th St #203 Ocala FL 34474, fundamentals/advanced/kids jiu jitsu classes.
56	FL	Orlando	Alliance Jiu Jitsu Orlando	https://alliancejiujitsuorlando.com		websites-2	https://brunomalfacine.com/	PASS_WITH_CAVEAT	The /academy path just redirects to the site root; the root confirms Alliance Jiu Jitsu Orlando / Bruno Malfacine at 3029 Edgewater Dr Orlando FL 32804.
58	FL	Orlando	GB Palm Coast			NEW	https://graciebarra.com/palm-coast-fl/	PASS_WITH_CAVEAT	Live location subpage with full GB class list, but the school is at 160 Cypress Point Pkwy Palm Coast FL 32164 - the city field in the source row says Orlando, which is wrong.
59	FL	Orlando	Gracie Jiu-Jitsu Orlando			NEW	https://gjjorlando.com/	PASS	Body states Certified Gracie Jiu-Jitsu Training Center in East Orlando teaching the Gracie University curriculum; page is sparse and lists no street address.
65	FL	Port Orange	Fight Sports Daytona	https://www.fightsportsdaytona.com/freetrial		websites-2	https://www.cutlerbjj.com/	PASS_WITH_CAVEAT	Site brands as Todd Cutler Martial Arts (logo alt Fight Sports Club, Todd Cutler is a Cyborg Abreu black belt) at 2841 S Nova Rd Ste 9, South Daytona FL 32119, adjacent to Port Orange.
66	FL	Sanford	Cogito Jiu Jitsu	http://cogitojiujitsu.com/		websites-2	https://www.sanfordmartialarts.com/	PASS	Cogito Jiu-Jitsu, 2499 Old Lake Mary Rd STE 106 Sanford FL 32771, Brazilian Jiu-Jitsu and Muay Thai programs.
69	FL	St. Augustine	GB Saint Augustine	https://gbsaintaugustine.com/		websites-2	https://graciebarra.com/saint-augustine-fl/	PASS	Real location subpage: 3501 N Ponce De Leon Blvd #K, St. Augustine FL 32084, phone 904-815-2734, GB class list.
74	FL	Stuart	GB Stuart			NEW	https://graciebarra.com/stuart-fl/	PASS	Real location subpage: 2250 SE Federal Hwy Stuart FL 34994, phone 772-600-7857, GB class list and local news post.
77	FL	Vero Beach	American Top Team – Vero Beach	http://www.attverobeach.com/		websites-2	https://rtmartialartsvb.com/	PASS_WITH_CAVEAT	Site is RT Martial Arts (Renato Tavares) at 6200 20th St Ste 382 Vero Beach FL 32966 with a named BJJ class; ATT Vero Beach was the same owner at 6200 20th St Ste 210, so the rebrand is corroborated but not stated on the page, and the footer carries a stray Austin area boilerplate line.
80	FL	West Melbourne	GB Melbourne			NEW	https://graciebarra.com/melbourne-fl/	PASS	Live location subpage: 1131 S Wickham Rd, West Melbourne FL 32904, phone 321-802-9022, full GB1/GB2/GB3/GBK class list.
81	FL	West Palm Beach	GB West Palm Beach	http://gbwestpalmbeach.com/		websites-2	https://graciebarrawestpalm.com/	PASS	Gracie Barra West Palm Beach, 721 Village Blvd West Palm Beach FL 33409, age-banded BJJ programs; distinct from the dead gbwestpalm.com.
85	NC	Wilmington	Ethos BJJ	https://ubjjnc.com/		websites-2	https://ethosjitsu.com/	PASS	ETHOS Jiu-Jitsu, 5424 Oleander Dr #6 Wilmington NC 28403, adult and youth BJJ programs.
88	TX	Bedford	Ironside Martial Arts	http://www.ironsidemartialarts.com/		websites-2	https://doublefivemidcities.com/	PASS_WITH_CAVEAT	Renamed to Double Five Mid Cities at 1805 Airport Fwy Bedford TX 76021; rename corroborated because the page's own map links still read Ironside Martial Arts at that address and the signup link is doublefiveironside.kicksite.net.
