region	name	verdict	removed_url	what_it_served
LA	Active Martial Arts	DEAD	http://www.activegonzales.com/	
MO	Hahn Mixed Martial Arts & Fight Promotions	HIJACK	http://www.hahnmma.com/	Chinese Kaiyun (开元) gambling-branded rigging-equipment site
NC	ECF Martial Arts & Fitness / Brazilian Top Team BTT Charlotte	HIJACK	http://www.eastcoastfighter.com	redirects to SportHiatus, a generic sports/nutrition content farm
NC	Cornerstone Brazilian Jiu Jitsu	HIJACK	http://www.cornerstonebjj.com/	redirects to LOGOTOTO Indonesian slots/togel gambling site
IL	Midwest Judo & Jujitsu Club	PARKED	http://www.midwestjudo.com	HugeDomains domain-for-sale lander
MI	Black Tie Jiu Jitsu Clare	PARKED	http://www.sbardellamma.com/	GoDaddy domain-for-sale lander ($3,799)
MO	Dot Your Eye, INC MMA	PARKED	http://rivercitywarriors.com/	GoDaddy domain-for-sale lander
MT	Grit Training Center	PARKED	http://www.gritmartialarts.com	GoDaddy domain-for-sale lander
NC	Fight to Win Jiu Jitsu Asheville	PARKED	http://www.ftwbjjasheville.com/	ExpiredDomains.com domain-for-sale listing
NC	Fusion Jiu Jitsu	PARKED	http://fusionjiujitsu.com/	"bare ""coming soon"" placeholder"
NC	Satsuma Jiu Jitsu	PARKED	http://www.satsumaspiders.com	"cPanel ""Coming Soon"" placeholder"
