id	region	city	name	stored_w	current_override	override_file	new_w	verified	note
1	CO	Arvada	Genesis Training Academy	http://www.fightgta.com		websites-2	https://genesis-fight.com/	PASS_WITH_CAVEAT	Site address is 4300 Kipling St, Wheat Ridge CO (adjacent to Arvada) while about-us copy still says Arvada; BJJ named only inside the kids class and legacy about-us text, no adult BJJ class listed.
6	CO	Canon City	Gracie Jiu-Jitsu Canon City	https://graciejiujitsu-canon.com		websites-2	https://www.gjj-canoncity.com	PASS	Domain redirects to the school's own Gracie University CTC page showing 309 Main St, Canon City CO 81212, 719-922-1238 and a full BJJ class schedule.
13	CO	Colorado Springs	GB Colorado Springs	https://gbcoloradosprings.com		websites-2	https://graciebarra.com/colorado-springs-co/	PASS	School-specific page with 1360 N Academy Blvd, Colorado Springs CO 80909, 719-246-1111 and GB1/GB2/kids jiu-jitsu classes.
20	CO	Englewood	Nova Mente Jiu Jitsu Academy	http://www.novamenteacademy.com		websites-2	https://www.novamentebjj.com	PASS	Page gives 2761 W Oxford Ave Unit 7, Englewood CO 80110, 303-209-1830 and a full weekly gi/no-gi jiu-jitsu schedule.
23	CO	Grand Junction	Gracie Jiu-Jitsu Grand Junction			NEW	https://www.gracieuniversity.com/Pages/Public/AffiliateDetail?enc=iDCGTlWq4tRja4132BcL9g%3D%3D	PASS	CTC detail page lists Mesa Mall, 2424 US Hwy 6 Ste 224B, Grand Junction CO 81505, 970-901-0201 and a Gracie BJJ class schedule.
28	CO	Loveland	Infinite MMA Academy	http://www.infinitemixedmartialarts.com		websites-2	https://infinitemixedmartialarts.perfectmind.com/SocialSite/about-us	PASS	Proposed page has no address; the same site's contact page gives 329 E 3rd St, Loveland CO 80537 and 970-593-1965, with a named Gracie Jiu Jitsu program under Adam Martinez.
47	LA	Houma	Extreme Mix Martial Arts			NEW	https://extremefitnessmma.com	PASS	Site shows 1221 Grand Caillou Rd, Houma LA, phone 985-873-5722, with dedicated Kids BJJ and Adult BJJ class pages.
56	LA	New Orleans	Mid City Martial Arts & Fitness Academy	https://www.midcitymartialarts.com/		websites-2	https://www.midcitymma.com	PASS	Mid City MMA, New Orleans LA, phone 504-309-7018; its booking link is midcitymartialartsfitnessacademy.perfectmind.com, matching the record name; jiu-jitsu is a named class.
57	LA	New Orleans	NOLA MMA	https://www.nolammaacademy.com/		websites-2	https://www.nolamma.com/	PASS	Site gives 401 North Galvez St, New Orleans LA 70119 and names Jiu Jitsu, Combat BJJ and wrestling classes under BJJ black belt Ray Lopez.
58	LA	New Orleans	The Dojang New Orleans	https://www.thedojangneworleans.com/		websites-2	https://thedojangnola.com/	PASS_WITH_CAVEAT	Address is 1920 Williams Blvd, Kenner LA 70062 (New Orleans metro, not Orleans Parish), phone 504-353-4434; Carlos Machado BJJ classes are on the timetable.
