id	region	city	name	stored_w	current_override	override_file	new_w	verified	note
1	CA	Agoura Hills	GB Agoura			NEW	https://gbagoura.com/	PASS	Own site; 5883 Kanan Rd Ste 16-17 Agoura Hills CA 91301, +1 805-800-9681, GB BJJ kids/adults.
2	CA	Alameda	Gracie Jiu-Jitsu Alameda			NEW	https://www.graciealameda.com/	PASS	Own site, phone (510) 260-0226, Gracie Combatives/Bullyproof; no street address published anywhere on site.
5	CA	Bakersfield	The Chute MMA, Jiu Jitsu and Wrestling	http://www.chutetraining.com		websites-2	https://thechutemma.com/	PASS	6801 White Ln Ste E3-4 Bakersfield CA 93309, (661) 369-0342; named No-Gi Jiu Jitsu classes.
6	CA	Barstow	Gracie Jiu-Jitsu Barstow			NEW	https://graciebarstow.com/	PASS	312 E. Main St. Barstow CA 92311, 760-600-9087; Gracie CTC with full BJJ curriculum.
8	CA	Beverly Hills	Gracie Jiu-Jitsu Beverly Hills			NEW	https://www.graciejiujitsubeverlyhills.com/	PASS	Root is a splash page; /contact gives 324 S. Beverly Dr 2nd Fl, Beverly Hills CA 90212, (310) 553-0500.
12	CA	Chula Vista	GB Chula Vista			NEW	https://graciebarrachulavista.com/	PASS	2015 Birch Rd #1207 Chula Vista CA 91915, +1 619-240-3404; schedules dated 29-06-26.
13	CA	Clovis	Gracie Jiu-Jitsu Clovis			NEW	https://www.bjjclovis.com/	PASS	1521 Tollhouse Road Ste F Clovis CA 93611, 559-318-3136.
22	CA	Hawthorne	Pedigo Submission Fighting Los Angeles			NEW	https://www.psflosangeles.com/	PASS	12958 Hawthorne Blvd, Hawthorne CA 90250, (731) 513-0341; coach Derek Featherstun.
24	CA	Indio	Flow Academy BJJ Indio			NEW	https://flowacademybjjindio.com/	PASS	42425 Jackson Street Ste C112 Indio CA 92203, (951) 337-3781; Prof. Carlos Miller.
25	CA	Indio	Gracie Jiu-Jitsu Indio			NEW	https://gjjindio.com/	PASS	80150 Hwy 111 C1 Indio CA 92201, 760-775-0982.
28	CA	La Crescenta	GB La Crescenta			NEW	https://graciebarra.com/la-canada-ca/	PASS_WITH_CAVEAT	Page renders as GB La Canada Flintridge, 645 Foothill Blvd, La Canada Flintridge CA 91011, 818-790-2500 - adjacent municipality, not La Crescenta.
31	CA	Los Angeles	Alliance Jiu Jitsu Los Angeles	https://alliancejiujitsusla.com		websites-2	https://www.cobrinhabjj.com/	PASS	Alliance LA by Cobrinha, 4929 Wilshire Blvd #104, Los Angeles CA 90010.
35	CA	Los Angeles	Uactp			NEW	https://www.uactp.com/	PASS	2200 Beverly Blvd, Los Angeles CA 90057, 213.352.4042; jiu-jitsu group classes listed.
38	CA	Monterey	Gracie Jiu-Jitsu Monterey			NEW	https://graciemonterey.com/	PASS	800 Lighthouse Avenue Monterey CA 93940, 831-633-7141.
43	CA	Redlands	10th Planet Redland	http://www.10thplanetredlands.com		websites-2	https://10thplanetjiujitsuredlands.com/	PASS	821 West Colton Ave, Redlands CA 92374, (909) 809-6694.
46	CA	Riverside	Academy Of Striking & Grappling	http://www.asgfacility.com/		websites-2	https://www.asgmma.com/	PASS_WITH_CAVEAT	Correct school (owner Karl Glover, Wrestling/Jiu Jitsu Grappling page) but address is 24210 Postal Ave, Moreno Valley CA 92553, not Riverside.
48	CA	San Diego	Alliance Jiu Jitsu San Diego	https://alliancejiujitsusandiego.com		websites-2	https://alliancesandiego.com/	PASS	8990 Miramar Rd Suite 225, San Diego CA 92126.
52	CA	Santa Clarita	Gracie Jiu-Jitsu Santa Clarita			NEW	https://graciejiujitsuscv.com/	PASS	26370 Diamond Pl Suite 501, Santa Clarita CA 91350, 661-513-3150.
53	CA	Santa Cruz	Gracie Jiu-Jitsu Santa Cruz			NEW	https://www.graciesantacruz.com/	PASS_WITH_CAVEAT	Address is 1408 41st Avenue, Capitola CA 95010 - adjacent city to Santa Cruz; no phone published.
56	CA	Stanford	Stanford BJJ			NEW	https://stanfordclubsports.com/sports/brazilian-jiu-jitsu	PASS_WITH_CAVEAT	Official Stanford Club Sports BJJ page exists, but carries no address, phone or current content; schedule link still points to 2023-24 and events list is empty.
62	CA	Torrance	10th Planet Torrance	https://www.darkartsacademy.net		websites-2	https://10ptorrance.com/	PASS	24433 Hawthorne Blvd, Torrance CA 90505, (424) 999-0787; nogi jiu jitsu.
63	CA	Torrance	GB Redondo Beach			NEW	https://www.gbredondobeach.com/	PASS	Own site for Gracie Barra Redondo Beach, mobile (424) 409-6755, Prof. Murillo; no street address published, Yelp link is the Torrance listing.
65	CA	Vacaville	Rodrigo Cardoso Brazilian Jiu-Jitsu Academy	https://rodrigocardosoacademy.com/		websites-2	https://atlasbjj.com/	PASS	Rebrand to Atlas BJJ Vacaville, 2068 Harbison Drive Vacaville CA 95687, (415) 466-5800; Facebook is /rodrigocardosoacademy and Prof. Rodrigo still teaches.
67	CA	Ventura	GB Ventura			NEW	https://www.graciebarraventura.com/	PASS	3503 Arundell Circle, Ventura CA, (805) 663-9220.
