# ON-verify-02 - 23 Ontario candidates needing a body read
city	name	url	address	status	bodyread
Hamilton	Hamilton BJJ	hamilton-bjj.com	166 Green Mountain Rd E	DUPCHECK	N
Hamilton	PURA BJJ	purabjj.ca	1200 Stone Church Rd E	NETNEW	N
Hamilton	The Grappling Garden	grapplinggarden.ca		NETNEW	N
Hamilton	Joslin's MMA	joslinsmma.com	436 Concession St	NETNEW	N
Hamilton	Hamilton School of Martial Arts	hsma1.com	1200 Stone Church Rd E Unit 3	NETNEW	N
St. Catharines	Renzo Gracie Niagara	renzogracieniagara.com	486 Grantham Ave	NETNEW	N
St. Catharines	SBG Niagara	sbgniagara.ca		NETNEW	N
Niagara Falls	Passador BJJ	passadorbjj.com		NETNEW	N
Niagara Falls	Evolve MMA & Fitness	evolvemma.ca		NETNEW	N
Ottawa	Ottawa Academy of Martial Arts	oama.ca		NETNEW	N
Ottawa	Gracie Barra Ottawa	gb-ottawa.com		NETNEW	N
Ottawa	The Ottawa Jiu Jitsu Club	theottawajiujitsuclub.com		DUPCHECK	N
Ottawa	Zen MMA	zenmma.ca		NETNEW	N
Ottawa	Silver 7 Martial Arts	silver7martialarts.com		NETNEW	N
Ottawa	Jiujitsu Culture	jiujitsuculture.ca		NETNEW	N
Ottawa	De la Costa Academy	delacosta.ca		NETNEW	N
Ottawa	Brave Martial Arts Institute	bravemai.com		NETNEW	N
London	The Submission Academy	subacademyldn.com	1068 Dundas St E	NETNEW	N
London	Bindner Academy	bindner.academy	19-1615 North Routledge Park	NETNEW	N
London	Enhanced BJJ	enhancedbjj.com		NETNEW	N
London	Gracie Barra London	graciebarra.com	1712 Hyde Park Rd	NETNEW	N
Waterloo	The Jiu-Jitsu Lab	labjiujitsu.com	420 Weber St N	NETNEW	N
Kitchener	Guardhouse BJJ	guardhousebjj.ca	41 Ardelt Pl 1b	NETNEW	N
